N	3gram	Medvedev_F	Vladivir
1	в том что	3	29
2	тем не менее	2	18
3	что же касается	1	14
4	во всяком случае	6	12
5	в связи с	9	12
6	более или менее	7	11
7	в конце концов	2	11
8	не может быть	11	10
9	в то же	13	10
10	вместе с тем	5	10
11	с точки зрения	17	10
12	то что он	1	9
13	в этом смысле	3	9
14	как раз и	4	9
15	то же время	13	9
16	а также и	1	8
17	это значит что	1	7
18	на первый план	1	7
19	в это время	1	7
20	так или иначе	1	6
21	в данном случае	2	6
22	в отличие от	2	6
23	с другой стороны	4	6
24	и в этом	6	6
25	как мы знаем	2	6
26	в настоящее время	11	6
27	как мы видели	5	6
28	но даже и	2	5
29	на первом плане	1	5
30	и в то	4	5
31	и в его	1	5
32	бы то ни	4	5
33	и в том	1	5
34	не говоря уже	1	5
35	что и в	2	5
36	говоря уже о	1	4
37	для того чтобы	3	4
38	в этом отношении	7	4
39	сам по себе	2	4
40	и т д	11	4
41	в том чтобы	3	4
42	по крайней мере	1	4
43	заключается в том	1	4
44	не что иное	1	4
45	вовсе не есть	1	4
46	что иное как	1	4
47	с одной стороны	5	4
48	что он не	1	3
49	он уже не	1	3
50	хотя бы и	1	3
51	в самом деле	5	3
52	в том числе	1	3
53	не в том	3	3
54	во что бы	3	3
55	мы знаем что	1	3
56	в том случае	2	3
57	ничего общего с	2	3
58	иметь в виду	1	3
59	не только на	1	3
60	не только не	2	3
61	в последнее время	1	3
62	по этому поводу	1	3
63	к тому что	3	3
64	самом же деле	1	3
65	только то что	1	3
66	на самом же	1	3
67	раз и навсегда	2	3
68	в свою очередь	6	3
69	мы знаем в	1	3
70	и до конца	3	3
71	так и не	1	3
72	и в дальнейшем	1	3
73	в связи со	2	3
74	только в том	1	3
75	что бы то	3	3
76	и в частности	2	3
77	мы бы сказали	1	3
78	и притом в	1	3
79	с самого начала	2	3
80	с начала и	2	3
81	между прочим и	1	3
82	то ни стало	4	3
83	нам кажется что	1	3
84	начала и до	2	3
85	так же как	1	2
86	одной стороны и	4	2
87	но вместе с	1	2
88	и не в	2	2
89	но из этого	1	2
90	оно должно быть	1	2
91	в этот период	1	2
92	в этой статье	1	2
93	в таком случае	1	2
94	так и в	6	2
95	и в конце	1	2
96	до сих пор	7	2
97	есть не что	1	2
98	том и заключается	1	2
99	в этой области	1	2
100	и прежде всего	2	2
101	мы уже знаем	1	2
102	то ни было	1	2
103	не может не	1	2
104	но как раз	1	2
105	но что же	1	2
106	все дело в	1	2
107	даже и не	1	2
108	только и может	4	2
109	в том и	1	2
110	к нему и	1	2
111	едва ли можно	1	2
112	ни в чем	1	2
113	то едва ли	1	2
114	связи с этим	4	2
115	как это было	2	2
116	до тех пор	1	2
117	но в то	3	2
118	в своих ранних	1	2
119	в этом случае	1	2
120	и заключается что	1	2
121	это конечно не	1	2
122	этом отношении он	1	2
123	что в нем	2	2
124	этом не было	1	2
125	оно не может	1	2
126	с тем что	3	2
127	как мы увидим	3	2
128	том случае если	1	2
129	по этому вопросу	1	2
130	до конца и	1	2
131	сводится к тому	2	2
132	может быть и	4	2
133	от нее и	1	1
134	лишь в том	1	1
135	место в системе	1	1
136	в самом начале	1	1
137	но все эти	2	1
138	потому что никаких	1	1
139	и как бы	1	1
140	как и всякая	2	1
141	все то что	1	1
142	со всеми своими	1	1
143	и если в	1	1
144	ни на минуту	1	1
145	можно найти у	1	1
146	что же это	1	1
147	атмосферы в которой	1	1
148	но вовсе не	1	1
149	в той же	2	1
150	мы видим что	1	1
151	отнюдь не является	1	1
152	до известной степени	3	1
153	выдвинуть на первый	1	1
154	и наконец в	2	1
155	с этой последней	1	1
156	в том как	1	1
157	в известной степени	1	1
158	и отчасти в	1	1
159	же это за	1	1
160	ни о какой	2	1
161	не в этом	1	1
162	он не дает	1	1
163	она должна быть	1	1
164	не было и	1	1
165	о гораздо более	1	1
166	не выходит за	1	1
167	в этом первом	1	1
168	не в результате	1	1
169	и ни на	2	1
170	в жизни и	1	1
171	и литературы и	1	1
172	и в сознании	1	1
173	но оно не	1	1
174	а наоборот только	1	1
175	только с точки	1	1
176	в строгом смысле	2	1
177	можно сказать так	1	1
178	сообщение о том	1	1
179	не только с	1	1
180	но не с	1	1
181	каждое из этих	1	1
182	необходим критический анализ	1	1
183	в ее конкретном	2	1
184	время может быть	1	1
