N	4gram	Propp_Morf	Tvorches
1	в то же время	1	24
2	может быть определен как	1	2
3	это не значит что	2	2
4	и т д такое	1	1
5	не что иное как	2	1
6	это еще не все	1	1
7	все более и более	1	1
8	но это еще не	1	1
9	с точки зрения их	1	1
10	за той или иной	1	1
11	ничего не зная о	1	1
12	не могут быть поняты	1	1
13	или во всяком случае	1	1
14	и т д и	1	1
15	как же может быть	1	1
16	то во всяком случае	1	1
17	и т д в	2	1
18	бы то ни было	2	1
19	и тем не менее	2	1
20	говорить о том что	2	1
21	и т д все	1	1
