N	2gram	Medvedev_I	EvropaiC
1	и в	1	24
2	все эти	1	19
3	в этом	2	13
4	все это	1	13
5	по отношению	1	11
6	отношению к	1	11
7	так и	1	10
8	что в	2	9
9	и не	2	9
10	того же	1	9
11	для того	1	8
12	если бы	1	8
13	того чтобы	1	8
14	что при	1	7
15	того что	1	7
16	по существу	1	7
17	с другой	1	6
18	другой стороны	1	5
19	и с	3	5
20	и без	1	5
21	в целом	1	5
22	не так	1	4
23	самого себя	2	4
24	а с	1	4
25	что для	1	4
26	он не	2	4
27	никогда не	1	4
28	только что	1	3
29	очевидно что	1	3
30	а в	1	3
31	бы в	1	3
32	от нее	1	2
33	для него	1	2
34	то и	1	2
35	и сам	1	2
36	жизни и	1	2
37	я не	1	2
38	есть только	1	2
39	должен быть	2	2
40	в эту	1	2
41	в них	1	2
42	а для	1	2
43	в основе	1	2
44	доказать что	1	2
45	говорить о	1	2
46	тех же	1	2
47	теперь я	1	1
48	у всех	1	1
49	тем что	1	1
50	бы все	1	1
51	как о	1	1
52	получилось не	1	1
53	ученый но	1	1
54	но когда	1	1
55	от этого	1	1
56	только для	1	1
57	и со	1	1
58	это было	1	1
59	понятий и	1	1
60	а если	1	1
61	в значительной	1	1
62	на котором	1	1
63	точно и	1	1
64	и та	1	1
65	не случайно	1	1
66	и еще	1	1
67	нее и	1	1
68	оба они	2	1
69	а позднее	1	1
70	еще одной	1	1
71	ничего не	2	1
