N	3gram	Berdyaev_V	DiskursI
1	в том что	2	28
2	как и в	1	7
3	так и в	1	6
4	по крайней мере	1	6
5	с другой стороны	1	5
6	бы то ни	1	2
7	в этом мире	1	2
8	никогда не было	1	2
9	в мире и	1	2
10	но и в	2	2
11	это еще не	2	2
12	и в форме	1	2
13	все о чем	1	1
14	не имеет своим	1	1
15	по сравнению с	1	1
16	хотя бы и	1	1
17	веры а не	1	1
18	одно целое и	1	1
19	и вообще в	1	1
20	но прежде всего	1	1
21	но все же	1	1
22	в нем нет	2	1
23	на этом пути	1	1
24	и в этом	1	1
25	за то что	3	1
26	вместе с тем	1	1
27	все тот же	2	1
28	одна из сторон	1	1
29	в разные эпохи	1	1
30	в одно целое	1	1
31	в известном смысле	1	1
32	добра и зла	2	1
33	другой стороны в	1	1
34	к богу и	1	1
35	есть то что	1	1
36	том что он	2	1
37	не могут быть	1	1
38	в своей сущности	1	1
39	так ли это?	1	1
40	да будет так	1	1
41	как бы в	1	1
42	хоть и не	1	1
43	после того как	1	1
