N	2gram	Medvedev_I	slovoVRo
1	и в	1	92
2	и не	2	51
3	в этом	2	36
4	так и	1	30
5	и др	1	29
6	все это	1	25
7	себя в	1	18
8	в основе	1	17
9	все эти	1	17
10	в них	1	16
11	и с	3	15
12	с другой	1	13
13	никогда не	1	12
14	а в	1	12
15	для него	1	11
16	он не	2	9
17	в значительной	1	8
18	автора и	1	7
19	того же	1	7
20	жизни и	1	7
21	в целом	1	7
22	что в	2	6
23	другой стороны	1	6
24	автор не	1	6
25	говорить о	1	6
26	а также	1	6
27	ничего не	2	6
28	по отношению	1	5
29	для того	1	5
30	отношению к	1	5
31	должен быть	2	5
32	и сам	1	5
33	по существу	1	4
34	со всеми	1	4
35	если бы	1	4
36	как только	1	4
37	того чтобы	1	4
38	того что	1	4
39	и о	1	4
40	автор и	1	3
41	тем что	1	3
42	человеке и	1	3
43	от этого	1	3
44	в эту	1	3
45	произведения и	1	3
46	на котором	1	3
47	и без	1	3
48	нисколько не	1	3
49	это было	1	3
50	следовательно в	1	3
51	как о	1	2
52	то и	1	2
53	есть только	1	2
54	что для	1	2
55	этим и	1	2
56	не остается	1	2
57	и со	1	2
58	а с	1	2
59	и та	1	2
60	бы его	1	2
61	них не	1	2
62	произведения это	1	1
63	и еще	1	1
64	только для	1	1
65	о достоевском	2	1
66	и широко	1	1
67	то она	1	1
68	его произведения	1	1
69	о творчестве	1	1
70	что при	1	1
71	не здесь	1	1
72	с жизнью	1	1
73	нам в	1	1
74	ибо и	1	1
75	и дети	1	1
76	бы в	1	1
77	не дает	1	1
78	творчестве так	1	1
79	тех же	1	1
80	в материале	1	1
81	и тот	1	1
82	жил в	1	1
83	и ничего	1	1
