N	2gram	Medvedev_B	KFilosof
1	и не	2	28
2	и в	1	28
3	а не	1	17
4	в своей	1	11
5	все это	2	10
6	не было	1	8
7	было бы	1	8
8	совершенно не	1	7
9	отнюдь не	1	7
10	со всем	1	5
11	не только	1	5
12	все же	1	5
13	еще не	1	5
14	что в	1	4
15	должна быть	1	4
16	прежде всего	1	4
17	и на	1	3
18	для которой	1	3
19	на самом	1	3
20	в ней	2	3
21	до конца	1	3
22	не со	1	2
23	так и	1	2
24	не о	1	2
25	не следует	1	2
26	следует конечно	1	2
27	и потому	1	2
28	было и	1	2
29	в данном	1	2
30	вопрос о	1	2
31	говорить о	1	2
32	в области	1	2
33	и ее	1	2
34	всего в	1	1
35	видеть в	2	1
36	так по	1	1
37	же не	1	1
38	творчества и	1	1
39	бы только	1	1
40	более что	1	1
41	и исторической	1	1
42	и полнее	1	1
43	представляется нам	1	1
44	между ними	1	1
45	об этом	1	1
46	можно в	1	1
47	во всяком	1	1
48	как таковому	1	1
49	признать его	1	1
50	всяком случае	1	1
51	области методологии	1	1
52	его не	1	1
53	нет но	1	1
54	точке зрения	1	1
55	к ней	1	1
56	этой книги	1	1
57	и во	1	1
58	одной из	1	1
59	значительной степени	1	1
60	что все	1	1
61	и о	1	1
62	в значительной	1	1
63	говорить об	1	1
64	является только	1	1
