N	2gram	Losev_Prob	Tragedij
1	и в	62	18
2	в этом	25	9
3	не только	33	8
4	и на	4	7
5	и не	56	7
6	может быть	39	7
7	и с	11	7
8	как бы	11	7
9	он сам	7	7
10	что он	16	6
11	у него	1	6
12	в образе	1	6
13	но в	17	6
14	и его	12	6
15	это не	10	5
16	несмотря на	4	5
17	что это	3	5
18	так и	16	5
19	все же	10	5
20	в дальнейшем	1	5
21	то же	23	5
22	как и	15	5
23	не может	14	5
24	в то	18	5
25	что в	11	4
26	в себе	23	4
27	и даже	21	4
28	он всегда	1	4
29	все это	9	4
30	прежде всего	13	4
31	презрение к	1	4
32	и все	13	4
33	я не	1	4
34	этот образ	1	4
35	об этом	7	4
36	еще не	12	4
37	но и	20	4
38	том что	25	4
39	и что	9	4
40	так же	11	4
41	то что	42	4
42	в этой	10	4
43	в нем	13	4
44	но это	13	4
45	в целом	9	4
46	своего рода	1	3
47	и он	3	3
48	что с	1	3
49	должно быть	1	3
50	уже в	5	3
51	в его	10	3
52	для него	4	3
53	в своем	7	3
54	с ним	11	3
55	о чем	4	3
56	и сам	6	3
57	что за	1	3
58	в конце	7	3
59	и как	4	3
60	как в	10	3
61	никто не	5	3
62	то есть	63	3
63	при этом	9	3
64	жизнь и	3	3
65	как это	4	3
66	тем самым	9	3
67	с ее	5	3
68	мог бы	1	3
69	как будто	11	3
70	отнюдь не	16	3
71	все эти	14	3
72	к нему	3	3
73	в самом	4	2
74	не так	8	2
75	вместе со	1	2
76	и то	17	2
77	в душе	1	2
78	еще раз	2	2
79	писателя и	1	2
80	и здесь	8	2
81	и лучше	1	2
82	данном случае	12	2
83	и за	2	2
84	в том	35	2
85	это уже	4	2
86	он и	3	2
87	с тем	9	2
88	в ее	6	2
89	для искусства	1	2
90	по мнению	2	2
91	говорит о	1	2
92	не участвует	1	2
93	даже если	4	2
94	что и	11	2
95	ни в	17	2
96	бы и	7	2
97	но при	1	2
98	чем он	2	2
99	к области	1	2
100	что все	2	2
101	не могут	1	2
102	в виде	20	2
103	его в	4	2
104	как же	3	2
105	не в	21	2
106	в первом	1	2
107	но все	5	2
108	даже на	1	2
109	но эта	4	2
110	от всего	3	2
111	в таком	11	2
112	ничем не	2	2
113	вопрос о	2	2
114	состоит из	6	2
115	имеет в	2	2
116	знает что	1	2
117	и это	11	2
118	нет в	2	2
119	она как	1	2
120	отца и	1	2
121	во сне	1	2
122	уже не	12	2
123	к тому	4	2
124	о том	14	2
125	перед нами	8	2
126	не был	3	2
127	с первого	3	2
128	не имеет	12	2
129	что эти	1	2
130	бросается в	1	2
131	в данном	14	2
132	только к	4	2
133	что этот	1	2
134	отличие от	3	2
135	раз и	6	2
136	то и	9	2
137	потому что	40	2
138	не играют	1	2
139	так что	21	2
140	он не	10	2
141	по поводу	3	2
142	в частности	4	2
143	пусть мы	2	2
144	но они	4	2
145	в это	1	2
146	точно так	5	2
147	в одном	4	2
148	говорит что	1	2
149	и до	3	2
150	я буду	1	2
151	в глаза	1	2
152	в отличие	2	2
153	отношение к	1	2
154	собой но	1	2
155	не за	1	2
156	о его	3	2
157	до конца	1	2
158	столь же	1	2
159	что она	5	2
160	который в	2	2
161	а как	2	2
162	тут же	12	2
163	поведение в	1	2
164	тем что	8	2
165	не просто	36	2
166	только о	3	2
167	и ее	7	2
168	никогда не	7	2
169	в известной	3	2
170	ничего не	4	2
171	друг друга	5	2
172	в той	8	1
173	для самого	2	1
174	все в	4	1
175	во всем	2	1
176	и которое	1	1
177	это могло	1	1
178	то в	4	1
179	от нее	2	1
180	от него	2	1
181	близок к	1	1
182	этом случае	8	1
183	утверждать что	3	1
184	могут быть	2	1
185	только не	6	1
186	мы бы	2	1
187	к сожалению	1	1
188	не скажет	2	1
189	самостоятельное значение	8	1
190	над ними	1	1
191	мы видим	1	1
192	в настоящем	3	1
193	что оно	4	1
194	мы встречаем	1	1
195	таким образом	13	1
196	является ее	1	1
197	на путях	1	1
198	например что	1	1
199	с начала	1	1
200	только что	4	1
201	первом же	1	1
202	что петр	1	1
203	непосредственного чувства	1	1
204	известно что	1	1
205	и эту	1	1
206	русский перевод	1	1
207	свидетельствует о	2	1
208	часто и	1	1
209	к этой	2	1
210	если он	1	1
211	перестает быть	3	1
212	с одной	3	1
213	и вот	1	1
214	что даже	6	1
215	должна быть	1	1
216	но еще	1	1
217	самое большее	2	1
218	что уже	1	1
219	с этой	3	1
220	и при	2	1
221	ко всему	1	1
222	сколько угодно	4	1
223	дело с	3	1
224	начала и	1	1
225	и далее	1	1
226	синтеза и	1	1
227	новую жизнь	1	1
228	то для	4	1
229	естественно что	1	1
230	всегда стремится	1	1
231	отдельные черты	1	1
232	содержит в	13	1
233	так ли	1	1
234	т е	1	1
235	подчеркнуть что	1	1
236	что при	5	1
237	того что	10	1
238	сам по	11	1
239	тем не	23	1
240	о нем	2	1
241	без цели	2	1
242	о существовании	1	1
243	нам еще	1	1
244	не как	1	1
245	всегда будут	1	1
246	так можно	1	1
247	не думает	1	1
248	для нас	23	1
249	и всегда	2	1
250	не любят	1	1
251	как он	2	1
252	xix века	2	1
253	дается в	2	1
254	же не	2	1
255	в результате	8	1
256	ведь с	1	1
257	есть с	2	1
258	в виду	20	1
259	и один	1	1
260	смысле этого	1	1
261	быть может	1	1
262	разговоре с	1	1
263	с собой	6	1
264	внешней формы	1	1
265	только в	33	1
266	нельзя ли	2	1
267	не столько	2	1
268	по себе	36	1
269	третий раз	1	1
270	есть такая	2	1
271	нас от	1	1
272	в самой	4	1
273	я даже	1	1
274	у чиновников	1	1
275	и притом	7	1
276	не было	6	1
277	но он	1	1
278	здесь мы	5	1
279	мы понимаем	1	1
280	ли мы	1	1
281	излишним и	1	1
282	имеет для	2	1
283	наших дней	1	1
284	а также	6	1
285	искусство для	1	1
286	на улицу	1	1
287	что под	2	1
288	заключается в	8	1
289	на нее	1	1
290	одним из	2	1
291	мы начинаем	4	1
292	эти образы	1	1
293	на себя	1	1
294	что не	4	1
295	как его	1	1
296	развития в	1	1
297	в эпоху	2	1
298	на нечто	5	1
299	не есть	57	1
300	с балкона	1	1
301	именно в	4	1
302	в третий	1	1
303	и пусть	1	1
304	представление о	1	1
305	указывает на	13	1
306	вообще не	5	1
307	думать о	1	1
308	тому что	5	1
309	эдгара по	1	1
310	эти черты	1	1
311	свой моральный	1	1
312	она стремится	1	1
313	из тех	1	1
314	в связи	9	1
315	с ними	2	1
316	и она	2	1
317	самой действительности	1	1
318	переплетается с	1	1
319	страха и	1	1
320	есть в	6	1
321	на земле	1	1
322	сливается с	1	1
323	в своей	8	1
324	рядом с	1	1
325	вместе с	3	1
326	на этом	1	1
327	при таком	2	1
328	образе петра	1	1
329	всю эту	1	1
330	них он	1	1
331	не менее	24	1
332	и т	20	1
333	это происходит	1	1
334	перед собой	1	1
335	не тип	1	1
336	на все	1	1
337	контекст в	1	1
338	и могут	2	1
339	бы не	2	1
340	в такой	1	1
341	со своей	1	1
342	потому как	1	1
343	и жизнь	1	1
344	но у	1	1
345	связаны между	2	1
346	между собой	3	1
347	нечто большее	1	1
348	именно эта	1	1
349	сравнению с	3	1
350	по самой	1	1
351	когда в	4	1
352	это было	4	1
353	но уже	4	1
354	выходящее за	2	1
355	в чем	5	1
356	а тип	1	1
