N	2gram	Ircho_Kome	PoTuStor
1	может быть	14	17
2	и в	37	16
3	таким образом	16	9
4	в этом	18	9
5	прежде всего	7	9
6	мы можем	7	9
7	и только	1	9
8	совершенно не	2	8
9	точки зрения	8	8
10	и с	5	8
11	не может	9	8
12	и его	10	8
13	не только	13	7
14	сказать что	4	7
15	с его	6	7
16	и к	4	6
17	при этом	11	6
18	для него	1	6
19	самом деле	13	6
20	к отцу	2	6
21	я и	2	6
22	и это	4	6
23	конечно не	4	6
24	с точки	6	6
25	ни в	14	5
26	все эти	1	5
27	только для	2	5
28	в чем	7	5
29	еще не	10	5
30	как бы	7	5
31	отношение к	7	5
32	нуждается в	2	5
33	в него	1	5
34	все что	6	4
35	и на	6	4
36	так как	16	4
37	все это	7	4
38	в его	12	4
39	так и	4	4
40	его в	9	4
41	и даже	6	4
42	и все	6	4
43	с ними	1	4
44	только в	3	4
45	и не	28	4
46	но мы	1	4
47	можно сказать	1	4
48	с самого	5	4
49	но и	18	4
50	хотя бы	5	4
51	и может	2	4
52	и их	1	4
53	самого начала	5	4
54	в этой	7	4
55	как мы	6	4
56	отнюдь не	5	4
57	в нем	8	4
58	в один	1	4
59	и ее	3	4
60	и наконец	1	4
61	но в	7	4
62	и вот	3	3
63	ребенка и	1	3
64	до сих	12	3
65	в основном	1	3
66	к себе	9	3
67	в том	24	3
68	мы знаем	2	3
69	те же	1	3
70	с другими	2	3
71	между ними	4	3
72	в конечном	2	3
73	их в	3	3
74	отношения к	2	3
75	и как	3	3
76	что в	11	3
77	и она	1	3
78	том что	22	3
79	вместе с	16	3
80	на этом	3	3
81	в этих	2	3
82	сравнению с	3	3
83	во всех	4	3
84	во всяком	3	3
85	и потому	2	3
86	в основе	3	3
87	и притом	1	3
88	тех же	3	3
89	только как	2	3
90	по сравнению	3	3
91	по крайней	1	3
92	назад в	2	3
93	и теперь	2	3
94	как это	5	3
95	только на	1	3
96	в одном	3	3
97	даже не	5	3
98	чем не	2	3
99	а в	12	3
100	в большинстве	1	3
101	то что	5	3
102	могут быть	3	3
103	и есть	3	3
104	сих пор	12	3
105	жизни и	1	3
106	в области	3	3
107	всяком случае	3	3
108	во время	8	3
109	крайней мере	1	3
110	едва ли	16	3
111	в самом	17	2
112	в свое	2	2
113	мы видим	2	2
114	это делает	2	2
115	и мы	5	2
116	они не	2	2
117	почти не	1	2
118	мы не	6	2
119	с этой	5	2
120	по всему	3	2
121	ни было	3	2
122	нашего времени	1	2
123	аналогии с	2	2
124	и говорить	1	2
125	для нас	7	2
126	и этим	3	2
127	но как	1	2
128	что и	12	2
