N	3gram	Medvedev_S	KulturaY
1	в том что	2	33
2	во всяком случае	1	19
3	по отношению к	2	13
4	по крайней мере	1	13
5	в связи с	1	12
6	не в том	2	8
7	а с другой	1	7
8	чуть ли не	1	7
9	с одной стороны	1	7
10	то же время	1	6
11	в то же	1	6
12	дело не в	2	5
13	и в этом	1	5
14	в конечном счете	1	4
15	а в том	1	4
16	в том и	1	4
17	только то что	1	4
18	именно в том	1	4
19	дает нам право	1	4
20	в этой области	1	4
21	о том как	1	3
22	в конце концов	2	3
23	в наше время	1	3
24	сама по себе	1	3
25	и что на	1	3
26	в настоящее время	1	3
27	в противном случае	1	3
28	в лучшем случае	1	3
29	это дает нам	1	2
30	не выходит за	1	2
31	что все это	1	2
32	друг от друга	1	2
33	что в них	1	2
34	и в то	1	2
35	далеко еще не	1	2
36	это вовсе не	1	2
37	ровно ничего не	1	2
38	отношению к которому	1	1
39	формальный метод и	1	1
40	все это как	1	1
41	что он говорит	1	1
42	связь между ними	1	1
43	ничего не значат	1	1
44	пришлось бы в	1	1
45	с ним все	1	1
46	но только в	1	1
47	а тем более	1	1
48	то же самое	1	1
49	по существу это	1	1
50	бы в этом	1	1
51	но как и	1	1
52	хотя бы о	1	1
53	в те же	1	1
54	не было бы	1	1
55	в его системе	1	1
56	главным образом в	1	1
57	они ни были	1	1
58	представить себе чтобы	1	1
59	но она может	1	1
60	между тем именно	1	1
61	выходит за пределы	1	1
62	этот основной вопрос	1	1
63	не должна быть	1	1
