N	2gram	Bakhtin_sl	VelikijI
1	и не	32	20
2	и в	69	16
3	так как	7	9
4	то что	2	9
5	в истории	6	8
6	еще не	9	8
7	и потому	9	7
8	что они	2	7
9	а не	29	7
10	к людям	1	6
11	человека и	3	6
12	не есть	2	6
13	о конечно	1	5
14	хотя и	4	5
15	того что	4	5
16	все это	14	5
17	как бы	16	5
18	в мире	1	5
19	но и	37	5
20	все что	1	4
21	в котором	2	4
22	в этом	21	4
23	что мы	1	4
24	потому что	2	4
25	в его	19	4
26	в ней	7	4
27	так и	22	4
28	говорить о	2	4
29	и есть	2	4
30	и все	9	4
31	что не	1	4
32	что все	2	4
33	как и	8	4
34	что он	2	4
35	в нем	44	4
36	во всех	25	3
37	что в	3	3
38	нет ничего	1	3
39	бы и	6	3
40	за ним	1	3
41	в конце	1	3
42	должно быть	3	3
43	нас и	1	3
44	в первый	1	3
45	хотя бы	6	3
46	в том	7	3
47	первый раз	1	3
48	тому что	2	3
49	личности и	1	3
50	от которого	1	3
51	не в	14	3
52	и что	2	3
53	что и	2	3
54	ни в	4	3
55	они в	2	3
56	в этих	8	3
57	в них	11	3
58	оно не	12	3
59	не было	4	3
60	лишь в	6	3
61	в жизни	1	3
62	и они	1	3
63	как не	1	3
64	их от	2	3
65	в своей	8	3
66	должна быть	3	3
67	с его	8	3
68	от этого	2	3
69	но это	3	3
70	и для	7	3
71	жизни и	5	3
72	в чем	2	3
73	все эти	15	3
74	тот же	1	3
75	но в	13	3
76	к тому	3	3
77	никогда не	9	3
78	людей в	1	3
79	всего в	1	2
80	во всяком	9	2
81	от него	5	2
82	нас за	1	2
83	его и	5	2
84	один из	9	2
85	освобождения от	1	2
86	мы и	2	2
87	в последнем	1	2
88	которые не	1	2
89	на том	2	2
90	его не	4	2
91	того чтобы	1	2
92	это не	8	2
93	между тем	5	2
94	не только	37	2
95	для него	8	2
96	ивана карамазова	1	2
97	с ним	12	2
98	является в	1	2
99	которой они	1	2
100	под разными	1	2
101	понимает и	2	2
102	для нас	7	2
103	и то	2	2
104	и за	1	2
105	не с	5	2
106	прежде всего	14	2
107	для них	2	2
108	можно было	2	2
109	в форме	3	2
110	людей и	2	2
111	а между	2	2
112	и это	1	2
113	соединение в	1	2
114	мы не	4	2
115	конечно не	7	2
116	только в	9	2
117	все равно	1	2
118	а с	2	2
119	те которые	1	2
120	а в	10	2
121	в духе	3	2
122	в прошлом	2	2
123	и сам	4	2
124	нет и	1	2
125	но не	7	2
126	и никогда	1	2
127	тем что	1	2
128	и во	3	2
129	могут быть	25	2
130	и т	56	2
131	одна из	6	2
132	мы слышим	1	2
133	его к	1	2
134	свободной и	1	2
135	не могут	7	2
136	т д	7	2
137	да и	2	2
138	есть уже	1	2
139	том что	6	2
140	мир и	1	2
141	но мы	2	2
142	в себя	3	2
143	уже не	5	2
144	мира в	2	2
145	не к	1	2
146	я говорю	1	2
147	своим предметом	3	1
148	жизни но	2	1
149	и мир	9	1
150	звучит в	2	1
151	в новом	3	1
152	с которыми	2	1
153	в самом	6	1
154	во всем	3	1
155	бы то	1	1
156	ли они	1	1
157	перестает быть	2	1
158	в образах	1	1
159	художественный образ	3	1
160	конечно это	1	1
161	могли бы	2	1
162	связь с	2	1
163	и другие	3	1
164	то есть	46	1
165	только себя	1	1
166	а потому	1	1
167	человека в	5	1
168	но как	2	1
169	возможно в	1	1
170	мы видим	2	1
171	и самое	3	1
172	если оно	2	1
173	что оно	4	1
174	уже сказано	2	1
175	на котором	3	1
176	слова которое	1	1
177	речь идет	1	1
178	и столь	1	1
179	от необходимости	2	1
180	он говорит	1	1
181	и на	17	1
182	ничем не	1	1
183	далее и	1	1
184	на этом	4	1
185	же и	4	1
186	может быть	40	1
187	они не	3	1
188	видим что	1	1
189	не имеют	1	1
190	и было	1	1
191	и свою	1	1
192	слова для	2	1
193	указать на	1	1
194	того как	2	1
195	которая в	1	1
196	лишено всякого	1	1
197	из образов	1	1
198	мы увидим	2	1
199	и вообще	2	1
200	своей целью	1	1
201	его с	1	1
202	она не	8	1
203	но она	2	1
204	уже в	2	1
205	конечно ни	1	1
206	которое может	1	1
207	на новый	1	1
208	мира вне	1	1
209	в состоянии	1	1
210	и два	1	1
211	у них	2	1
212	что уже	1	1
213	с этой	3	1
214	то же	17	1
215	и если	1	1
216	слово только	1	1
217	для всякого	1	1
218	и сказал	1	1
219	в исторических	1	1
220	то ни	1	1
221	для того	2	1
222	и могли	1	1
223	это только	1	1
224	образ и	1	1
225	освободиться от	1	1
226	свободного и	1	1
