N	2gram	Voloshinov	Tragedij
1	и в	12	18
2	в этом	4	9
3	не только	4	8
4	и на	4	7
5	и не	10	7
6	может быть	14	7
7	и с	3	7
8	как бы	13	7
9	у него	1	6
10	же время	1	6
11	но в	5	6
12	и его	13	6
13	это не	2	5
14	несмотря на	1	5
15	что это	1	5
16	так и	4	5
17	все же	4	5
18	то же	5	5
19	он вдруг	1	5
20	как и	5	5
21	не может	16	5
22	в то	2	5
23	что в	2	4
24	в себе	3	4
25	все это	3	4
26	прежде всего	8	4
27	и все	2	4
28	еще не	3	4
29	но и	3	4
30	том что	5	4
31	и что	2	4
32	так же	3	4
33	то что	5	4
34	что я	1	4
35	в нем	6	4
36	но это	2	4
37	в целом	1	4
38	и он	1	3
39	должно быть	1	3
40	в основном	2	3
41	уже в	2	3
42	в его	2	3
43	для него	3	3
44	в своем	2	3
45	с ним	3	3
46	о чем	1	3
47	как в	5	3
48	то есть	1	3
49	при этом	6	3
50	жизнь и	1	3
51	как это	2	3
52	с ее	1	3
53	как будто	1	3
54	отнюдь не	5	3
55	все эти	3	3
56	к нему	4	3
57	в самом	4	2
58	не так	2	2
59	вместе со	2	2
60	и то	2	2
61	в душе	2	2
62	еще раз	2	2
63	и здесь	2	2
64	данном случае	2	2
65	первого же	1	2
66	ненависть к	1	2
67	в том	6	2
68	это уже	1	2
69	в ее	1	2
70	по мнению	1	2
71	говорит о	1	2
72	что и	2	2
73	отказывается от	1	2
74	ни в	3	2
75	но при	1	2
76	что все	1	2
77	не могут	1	2
78	в виде	1	2
79	его в	4	2
80	как же	2	2
81	не в	4	2
82	но все	2	2
83	но эта	1	2
84	было в	1	2
85	от всего	1	2
86	в таком	1	2
87	имеет в	3	2
88	и это	1	2
89	она как	1	2
90	но особенно	1	2
91	уже не	4	2
92	к тому	1	2
93	о том	3	2
94	перед нами	1	2
95	с первого	1	2
96	в данном	2	2
97	только к	1	2
98	она должна	1	2
99	он не	2	2
100	в частности	1	2
101	в одном	1	2
102	отношение к	4	2
103	до конца	2	2
104	столь же	1	2
105	что она	1	2
106	с его	2	2
107	и ее	3	2
108	никогда не	5	2
109	ничего не	2	2
110	жизнью и	2	2
111	друг друга	1	2
112	в особенности	2	1
113	все в	1	1
114	комнате в	1	1
115	ситуации и	1	1
116	то в	1	1
117	от нее	1	1
118	с помощью	6	1
119	от него	1	1
120	могут быть	2	1
121	проникает в	1	1
122	социальной жизни	2	1
123	в окончательном	1	1
124	что оно	1	1
125	по природе	2	1
126	таким образом	12	1
127	опирается на	1	1
128	является ее	1	1
129	не нужен	1	1
130	перестает быть	2	1
131	и который	1	1
132	с одной	2	1
133	и вот	1	1
134	я знаю	1	1
135	должна быть	5	1
136	что уже	1	1
137	с этой	2	1
138	дело с	2	1
139	в стиле	1	1
140	это часто	1	1
141	не утратить	1	1
142	подчеркнуть что	2	1
143	того что	3	1
144	сам по	1	1
145	тем не	3	1
146	любит и	2	1
147	не как	1	1
148	так можно	1	1
149	для нас	7	1
150	не способен	2	1
151	одно из	1	1
152	же не	1	1
153	в результате	1	1
154	в виду	5	1
155	только в	6	1
156	по себе	3	1
157	без слов	1	1
158	и притом	2	1
159	не было	1	1
160	ко всем	2	1
161	здесь мы	1	1
162	мы понимаем	1	1
163	выражают его	1	1
164	героя с	1	1
165	на себя	1	1
166	позицию по	1	1
167	что не	4	1
168	как его	1	1
169	на нечто	1	1
170	не есть	2	1
171	именно в	1	1
172	я и	1	1
173	и психологически	1	1
174	с жизнью	1	1
175	и она	1	1
176	есть в	1	1
177	сливается с	2	1
178	в переводе	1	1
179	в своей	3	1
180	рядом с	1	1
181	вместе с	2	1
182	на этом	1	1
183	при таком	1	1
184	жизни в	1	1
185	не менее	3	1
186	именно такую	1	1
187	на все	2	1
188	бы не	2	1
189	в такой	3	1
190	между собой	2	1
191	сводится только	1	1
192	именно эта	1	1
193	в двух	1	1
194	но уже	1	1
195	героя и	5	1
196	в чем	2	1
