N	2gram	Tiupa_Narr	VelikijI
1	и не	34	20
2	и в	22	16
3	так как	1	9
4	то что	14	9
5	еще не	6	8
6	и потому	2	7
7	что они	1	7
8	а не	27	7
9	на земле	1	7
10	хотя и	8	5
11	того что	7	5
12	все это	1	5
13	по пути	1	5
14	как бы	11	5
15	на себя	5	5
16	в мире	8	5
17	но и	39	5
18	все что	4	4
19	в котором	3	4
20	в этом	23	4
21	что мы	2	4
22	потому что	7	4
23	в его	12	4
24	в ней	5	4
25	так и	12	4
26	это еще	1	4
27	и есть	1	4
28	смысла жизни	1	4
29	и все	7	4
30	что не	2	4
31	в образе	1	4
32	мировой жизни	1	4
33	что все	1	4
34	как и	15	4
35	что он	7	4
36	и я	1	4
37	в нем	9	4
38	во всех	2	3
39	что в	6	3
40	не верят	1	3
41	и мы	1	3
42	в конце	4	3
43	должно быть	1	3
44	в первый	1	3
45	если не	4	3
46	хотя бы	4	3
47	в том	20	3
48	первый раз	2	3
49	любовь к	1	3
50	тому что	4	3
51	от которого	3	3
52	не в	12	3
53	и что	1	3
54	что и	3	3
55	ни в	1	3
56	превращается в	2	3
57	в этих	3	3
58	оно не	4	3
59	не было	3	3
60	христа в	1	3
61	лишь в	3	3
62	к чему	3	3
63	не верит	1	3
64	в жизни	9	3
65	что я	4	3
66	человечества и	1	3
67	и они	1	3
68	как не	1	3
69	их в	4	3
70	в своей	8	3
71	должна быть	2	3
72	с его	6	3
73	к бытию	1	3
74	не имеет	3	3
75	но это	2	3
76	и для	4	3
77	жизни и	7	3
78	в чем	3	3
79	все эти	3	3
80	тот же	1	3
81	но в	10	3
82	к тому	13	3
83	никогда не	8	3
84	чтобы сделать	1	2
85	что было	1	2
86	тем кто	1	2
87	во всяком	2	2
88	его и	2	2
89	что теперь	1	2
90	ее и	1	2
91	а к	3	2
92	в смысл	2	2
93	один из	8	2
94	мы и	2	2
95	не могли	1	2
96	личности а	1	2
97	в последнем	1	2
98	они и	2	2
99	которым можно	1	2
100	которые не	1	2
101	более чем	2	2
102	и люди	1	2
103	на том	2	2
104	его не	1	2
105	того чтобы	7	2
106	это не	6	2
107	это все	1	2
108	вместо того	1	2
109	между тем	5	2
110	не только	50	2
111	для него	8	2
112	человека как	2	2
113	и тогда	2	2
114	с ним	6	2
115	является в	1	2
116	не будет	2	2
117	понимает и	1	2
118	ее в	1	2
119	для нас	2	2
120	и то	3	2
121	своей истории	2	2
122	не с	1	2
123	прежде всего	7	2
124	в личности	1	2
125	а есть	1	2
126	лишь из	1	2
127	для них	2	2
128	можно было	2	2
129	в форме	7	2
130	людей и	2	2
131	вслед за	4	2
132	от этих	3	2
133	мы не	5	2
134	и теперь	1	2
135	только в	23	2
136	все равно	2	2
137	а с	2	2
138	а в	19	2
139	в бога	1	2
140	истории и	1	2
141	и сам	4	2
142	людей так	1	2
143	верит в	1	2
