N	2gram	Losev_Dial	SlovoVZh
1	не может	16	16
2	может быть	30	14
3	точки зрения	25	14
4	как бы	19	13
5	и его	6	13
6	таким образом	5	12
7	и в	35	12
8	и не	51	10
9	так как	24	9
10	если бы	12	9
11	прежде всего	14	8
12	для нас	1	7
13	сказать что	19	7
14	все время	4	6
15	в ней	4	6
16	слова и	1	6
17	в том	20	6
18	только в	7	6
19	в нем	25	6
20	при этом	2	6
21	и др	2	5
22	можно сказать	10	5
23	что мы	3	5
24	хотя бы	6	5
25	должна быть	5	5
26	то же	21	5
27	поэтическое произведение	2	5
28	а не	24	5
29	в виду	9	5
30	то что	25	5
31	в жизни	3	5
32	как и	10	5
33	как в	3	5
34	отнюдь не	13	5
35	том что	18	5
36	и следовательно	7	5
37	но в	8	5
38	никогда не	18	5
39	в самом	6	4
40	и к	8	4
41	в литературе	1	4
42	не только	26	4
43	ни было	2	4
44	и является	2	4
45	на самом	5	4
46	за пределы	4	4
47	от того	2	4
48	его в	3	4
49	литературы и	1	4
50	мы все	1	4
51	с другой	10	4
52	не в	12	4
53	дело в	1	4
54	отношение к	5	4
55	что не	13	4
56	так и	18	4
57	уже не	3	4
58	жизни и	9	4
59	в этом	18	4
60	все же	9	4
61	зависимости от	2	4
62	к нему	12	4
63	и с	10	3
64	только ему	1	3
65	до сих	4	3
66	это как	3	3
67	и более	7	3
68	в котором	5	3
69	и по	5	3
70	в поэзии	8	3
71	и пр	7	3
72	мы не	1	3
73	или не	5	3
74	между тем	3	3
75	для него	2	3
76	отношении к	3	3
77	с ним	9	3
78	не должна	2	3
79	того что	6	3
80	быть и	7	3
81	и уже	4	3
82	когда он	2	3
83	тем не	3	3
84	все это	14	3
85	ни в	20	3
86	сколько бы	1	3
87	конечно не	9	3
88	по себе	39	3
89	так же	6	3
90	в них	4	3
91	в каком	10	3
92	этой точки	2	3
93	самом деле	6	3
94	только на	3	3
95	но для	2	3
96	в себе	23	3
97	ясно что	11	3
98	все эти	4	3
99	о том	8	3
100	в своей	9	3
101	здесь не	1	3
102	не менее	5	3
103	из этого	2	3
104	и проч	1	3
105	в такой	1	3
106	нуждается в	6	3
107	да и	11	3
108	но и	17	3
109	бы мы	2	3
110	ведь и	1	3
111	и для	2	3
112	точек зрения	3	3
113	точка зрения	3	3
114	на границе	1	3
115	и ее	1	3
116	и наконец	1	3
117	сих пор	4	3
118	и вообще	10	3
119	не к	2	3
120	еще не	4	3
121	в особенности	6	2
122	что в	19	2
123	этих двух	1	2
124	все они	2	2
125	нет ничего	1	2
126	но это	12	2
127	не так	1	2
128	и потому	6	2
129	и другие	1	2
130	смысл и	6	2
131	ни на	8	2
132	и то	15	2
133	выражение в	1	2
134	ясность и	2	2
135	опираясь на	1	2
136	мы можем	5	2
137	и самое	1	2
138	в данном	5	2
139	в душе	8	2
140	в то	10	2
141	еще раз	2	2
142	по природе	1	2
143	и содержания	1	2
144	и поэтическое	1	2
145	данном случае	1	2
146	нас и	1	2
147	зависит от	1	2
148	поскольку они	1	2
149	с одной	4	2
150	уже в	5	2
151	там где	1	2
152	в его	4	2
153	с этой	3	2
154	она не	10	2
155	это не	18	2
156	одной стороны	3	2
157	относится к	2	2
158	с точки	18	2
159	мы имеем	4	2
160	была бы	4	2
161	вещи и	5	2
162	нашего сознания	1	2
163	на него	2	2
164	кроме того	2	2
165	тогда когда	6	2
166	как это	8	2
167	рождается из	2	2
168	но все	5	2
169	от этой	1	2
170	мы в	2	2
171	если же	2	2
172	одно и	8	2
173	и та	8	2
174	из него	1	2
