N	2gram	Bakhtin_fo	VrazhdaK
1	не только	16	9
2	в этом	41	8
3	и в	84	8
4	и что	1	8
5	что в	9	7
6	и все	10	7
7	но и	14	7
8	то что	13	7
9	как и	15	6
10	и даже	5	6
11	и с	10	6
12	в романе	40	6
13	все же	12	6
14	в котором	8	6
15	в начале	3	6
16	в нем	28	6
17	но в	16	6
18	то же	18	5
19	у него	8	5
20	и не	19	5
21	между тем	1	5
22	об этом	3	5
23	не было	8	5
24	же время	13	5
25	в то	13	5
26	это не	8	4
27	при этом	8	4
28	несмотря на	1	4
29	с ним	5	4
30	для нас	2	4
31	все это	10	4
32	в виду	5	4
33	в своих	1	4
34	что он	2	4
35	уже в	5	4
36	о том	4	4
37	может быть	18	4
38	в ней	4	4
39	целый ряд	2	4
40	в истории	6	4
41	как бы	11	4
42	так же	7	4
43	во многом	2	4
44	в его	19	3
45	в том	16	3
46	имел в	2	3
47	его в	8	3
48	раз в	4	3
49	связи с	14	3
50	но он	4	3
51	в связи	13	3
52	я не	1	3
53	и как	12	3
54	далеко не	3	3
55	тем что	4	3
56	в те	1	3
57	в чем	3	3
58	и у	8	3
59	человека в	22	3
60	в париже	1	3
61	он был	2	3
62	том что	7	3
63	в этот	5	3
64	он не	6	3
65	и уже	4	3
66	в конце	11	3
67	и о	1	3
68	наряду с	7	3
69	что есть	1	3
70	одним из	1	3
71	в своем	8	3
72	он использовал	1	3
73	на то	1	3
74	с его	10	3
75	и его	26	3
76	к этому	5	3
77	который был	1	3
78	и во	13	3
79	в той	5	2
80	таким образом	14	2
81	начиная с	1	2
82	и то	5	2
83	и он	3	2
84	после этого	2	2
85	приехал в	1	2
86	в момент	1	2
87	время и	4	2
88	его с	2	2
89	к себе	8	2
90	с точки	9	2
91	для него	5	2
92	его и	2	2
93	этот момент	2	2
94	о чем	4	2
95	как раз	13	2
96	о которой	1	2
97	в честь	2	2
98	в них	11	2
99	а также	5	2
100	же в	6	2
101	отношения к	7	2
102	его на	3	2
103	в мире	4	2
104	там же	1	2
105	их в	6	2
106	же как	2	2
107	в своей	2	2
108	рядом с	4	2
109	вместе с	9	2
110	так в	2	2
111	в это	5	2
112	и это	5	2
113	в эту	1	2
114	и стал	2	2
115	к типу	1	2
116	на первый	2	2
117	еще не	8	2
118	ко мне	1	2
119	но как	1	2
120	в свою	2	2
121	на основе	5	2
122	п в	1	2
123	после смерти	1	2
124	и т.п	6	2
125	в письмах	1	2
126	в этой	3	2
127	человека с	1	2
128	при помощи	1	2
129	а в	6	2
130	мотивы и	2	2
131	к ним	3	2
