N	4gram	Losev_Vlad	formyVre
1	в то же время	7	18
2	и в то же	3	8
3	как мы уже сказали	2	6
4	одно и то же	1	5
5	в то время как	2	4
6	ни в чем не	1	3
7	но в то же	2	3
8	дело в том что	7	2
9	само собой разумеется что	1	2
10	и не без основания	1	1
11	в том что в	2	1
12	можно сказать что здесь	1	1
13	вместе с тем и	1	1
14	одной и той же	1	1
15	и вместе с тем	1	1
16	приходит к выводу что	1	1
17	и это было вполне	1	1
18	том что он не	1	1
19	все больше и больше	1	1
20	как мы уже знаем	1	1
21	в том что он	2	1
22	он как мы уже	1	1
23	но во всяком случае	1	1
24	в заключение мы должны	1	1
25	в конце концов он	1	1
26	но вместе с тем	1	1
27	но дело в том	2	1
28	на другой день после	1	1
29	и для него самого	1	1
