N	3gram	Vinokur_St	Sovremen
1	с точки зрения	10	5
2	в каждом отдельном	1	5
3	каждом отдельном случае	1	5
4	в зависимости от	2	4
5	не может быть	5	4
6	не может не	1	3
7	что же это	1	3
8	с самого начала	3	3
9	каждого из них	3	2
10	само собою разумеется	2	2
11	во всяком случае	8	2
12	тем не менее	4	2
13	же это за	1	2
14	в отличие от	1	2
15	в настоящее время	2	2
16	может быть и	2	2
17	во многом не	1	1
18	как видит читатель	1	1
19	всяком случае не	2	1
20	наук может быть	1	1
21	то ни было	1	1
22	в том что	29	1
23	и те же	1	1
24	сих пор в	1	1
25	но все эти	1	1
26	на самом деле	7	1
27	совершенно независимо от	1	1
28	как и во	1	1
29	до сих пор	12	1
30	одни и те	1	1
31	мы говорим о	1	1
32	в которой он	1	1
33	может не быть	1	1
34	а может быть	1	1
35	в свое время	3	1
36	сами по себе	2	1
37	представление о том	1	1
38	в обоих случаях	2	1
39	в самом деле	7	1
40	дело в том	7	1
41	в том случае	1	1
42	тот факт что	5	1
43	и могут быть	1	1
44	той или иной	1	1
45	ясно что при	1	1
46	же мере в	1	1
47	в данном случае	7	1
48	и не было	1	1
49	и во всей	1	1
50	но все же	3	1
51	совершенно так же	1	1
52	и пр но	1	1
53	с одной стороны	2	1
54	и по его	1	1
55	в этой области	5	1
56	со всеми его	1	1
57	в известном смысле	1	1
58	так же как	5	1
59	то же время	5	1
60	не в том	3	1
61	же как у	1	1
62	прежде всего необходимо	1	1
63	из этих двух	2	1
64	быть и речи	1	1
65	по отношению к	3	1
66	в том как	3	1
67	в то же	5	1
68	но ведь это	1	1
69	бы то ни	2	1
70	только и могут	1	1
71	на этот раз	2	1
72	на этот вопрос	2	1
73	и в этом	4	1
74	по крайней мере	2	1
75	те или иные	1	1
76	ведь это не	1	1
77	в этом случае	3	1
78	можно было бы	8	1
79	именно в том	1	1
80	в этом смысле	2	1
81	и в то	1	1
82	и не может	1	1
83	ни о каком	1	1
84	по его мнению	1	1
85	не давая себе	1	1
86	из них это	1	1
