N	2gram	Vygotskiy_	Poddanst
1	не только	24	17
2	и в	55	14
3	и не	19	12
4	в области	2	11
5	в этом	30	10
6	в отношении	2	10
7	в том	50	9
8	то же	16	9
9	в качестве	2	9
10	но в	7	9
11	хотя бы	5	8
12	в пределах	3	8
13	только в	12	7
14	же время	2	7
15	в то	6	7
16	в ней	5	6
17	быть может	1	6
18	было бы	15	6
19	но и	16	6
20	в смысле	1	6
21	может быть	34	5
22	с другой	12	5
23	не в	12	5
24	и о	5	5
25	в которых	4	5
26	в русской	1	4
27	и к	5	4
28	что в	43	4
29	в котором	5	4
30	по себе	13	4
31	тех кто	1	4
32	и если	13	4
33	и потому	8	4
34	мы должны	10	4
35	на пути	1	4
36	не может	15	4
37	а в	7	4
38	то что	69	4
39	как бы	33	4
40	если бы	21	4
41	а также	1	4
42	в своем	12	4
43	же в	3	4
44	том что	46	4
45	наряду с	1	3
46	в себе	13	3
47	что мы	12	3
48	ей в	1	3
49	с одной	15	3
50	мы не	8	3
51	это не	9	3
52	одной стороны	15	3
53	для того	45	3
54	между тем	4	3
55	с точки	5	3
56	хотя и	1	3
57	с тем	10	3
58	потому что	48	3
59	она есть	2	3
60	прежде всего	6	3
61	вслед за	3	3
62	сводится к	7	3
63	тем самым	1	3
64	сами по	2	3
65	в россии	1	3
66	заключается в	13	3
67	но не	9	3
68	могут быть	8	3
69	и т	12	3
70	и как	10	3
71	с ними	1	3
72	столь же	3	3
73	в нем	13	3
74	и без	1	3
75	тот же	5	3
76	точки зрения	15	3
77	с этим	4	2
78	во всех	6	2
79	сказывается в	1	2
80	именно как	1	2
81	является в	2	2
82	и это	13	2
83	и других	2	2
84	в полной	2	2
85	осуществляется в	2	2
86	и мы	28	2
87	ней не	1	2
88	которую мы	2	2
89	если в	1	2
90	и вот	7	2
91	в значительной	1	2
92	еще более	2	2
93	по сравнению	4	2
94	каждый в	1	2
95	так называемые	1	2
96	в ее	3	2
97	и тем	6	2
98	того что	12	2
99	никак не	10	2
100	как раз	19	2
101	в частности	6	2
102	в его	8	2
103	не о	1	2
104	а не	16	2
105	нужно было	1	2
106	для нас	9	2
107	все это	8	2
108	говорить о	1	2
109	для них	1	2
110	заключает в	7	2
111	может и	2	2
112	и есть	7	2
113	стороны и	5	2
114	в русском	1	2
115	в виде	3	2
116	в них	7	2
117	только это	1	2
118	знать что	1	2
119	не было	2	2
120	весьма вероятно	1	2
121	подошел к	1	2
122	и с	3	2
123	из важнейших	2	2
124	в начале	1	2
125	как на	15	2
126	через духовное	1	2
127	полной мере	1	2
128	мысль о	5	2
129	которое в	2	2
130	в сфере	1	2
131	главным образом	3	2
132	именно в	9	2
133	значительной мере	1	2
134	должно быть	6	2
135	в жизни	2	2
136	отношения к	2	2
137	в последние	1	2
138	есть нечто	3	2
139	имеет не	1	2
140	в силу	3	2
141	одна из	6	2
142	например в	2	2
143	не менее	1	2
144	не столько	1	2
145	думать что	3	2
146	с с	1	2
147	со стороны	3	2
