N	4gram	Vygotskiy_	TeoriaLi
1	в то же время	1	8
2	состоит в том что	3	5
3	одного и того же	3	4
4	в том числе и	2	2
5	с этой точки зрения	4	2
6	в том что он	2	2
7	одно и то же	3	2
8	приводит к тому что	3	2
9	природу каждой из них	1	1
10	той мере в какой	2	1
11	отличием внутренней речи от	1	1
12	том что он не	1	1
13	в том что в	2	1
14	не что иное как	1	1
15	заключается в том что	9	1
16	в той мере в	2	1
17	в том что она	2	1
18	и по отношению к	1	1
19	как это имеет место	1	1
20	с одной стороны и	4	1
21	по одним и тем	1	1
22	одном и том же	3	1
23	не содержит в себе	2	1
24	во всей своей полноте	1	1
25	состоит как раз в	1	1
26	исходит из того что	1	1
27	одним и тем же	2	1
28	мы имеем дело с	1	1
29	внутренней речи от внешней	1	1
30	точно так же как	3	1
31	есть не что иное	1	1
