N	2gram	Tiupa_Lite	Psycholo
1	то что	14	193
2	и в	26	190
3	в том	22	163
4	что в	7	123
5	потому что	5	114
6	том что	19	113
7	и что	2	108
8	может быть	24	107
9	таким образом	4	102
10	в этом	19	100
11	то есть	11	97
12	все время	1	86
13	в самом	4	82
14	как бы	8	80
15	для того	2	78
16	того чтобы	1	78
17	что он	8	76
18	не только	29	75
19	на то	2	73
20	и не	19	73
21	самом деле	2	70
22	точки зрения	8	69
23	и т	2	69
24	не может	10	68
25	если мы	1	66
26	так же	1	63
27	так как	2	63
28	было бы	4	56
29	если бы	1	55
30	то же	13	54
31	о том	3	54
32	и мы	2	54
33	при этом	23	52
34	как и	13	51
35	что и	3	50
36	а не	28	50
37	что это	1	49
38	сказать что	1	46
39	только в	8	46
40	в сущности	5	46
41	к тому	3	45
42	в искусстве	4	45
43	не в	11	45
44	искусства и	6	43
45	в этой	7	43
46	показать что	1	43
47	никогда не	5	42
48	и все	1	42
49	вместе с	5	41
50	как это	9	40
51	но и	25	40
52	как раз	6	39
53	того что	7	39
54	т п	2	38
55	что искусство	1	37
56	и как	2	36
57	с тем	2	35
58	вовсе не	3	34
59	как на	3	34
60	и если	1	34
61	и его	7	34
62	тому что	1	33
63	все же	6	33
64	когда он	1	33
65	в себе	8	32
66	художественного произведения	1	32
67	он не	4	31
68	мы не	5	31
69	в его	9	31
70	для нас	3	31
71	в ней	4	31
72	как будто	2	30
73	никак не	2	30
74	как в	5	30
75	с одной	9	29
76	и для	1	29
77	одной стороны	8	29
78	с точки	4	29
79	в нем	4	29
80	искусства в	2	29
81	что они	1	28
82	и когда	1	28
83	мы можем	1	28
84	и то	3	28
85	в своих	5	27
86	в основе	5	27
87	на деле	1	27
88	и на	5	27
89	а в	5	27
90	с другой	11	27
91	все то	2	27
92	искусство как	1	26
93	так что	4	26
94	совершенно не	1	26
95	произведение искусства	8	26
96	только что	1	25
97	и здесь	1	25
98	жизни и	6	25
99	до сих	1	24
100	до конца	3	24
101	тем что	6	24
102	художественное произведение	2	24
103	сущности говоря	1	24
104	в целом	10	24
105	в своем	12	23
106	сих пор	1	23
107	из этого	2	23
108	один из	7	23
109	целый ряд	1	23
110	для этого	5	23
111	могут быть	4	23
112	казалось бы	6	22
113	из них	5	22
114	между тем	2	22
115	и даже	9	22
116	в котором	1	21
117	том чтобы	1	21
118	в которых	1	21
119	той же	5	21
120	в своей	5	21
121	в конце	6	21
122	но только	3	21
123	как мы	2	21
124	и вот	2	21
125	и только	4	21
126	другой стороны	5	20
127	в то	12	20
128	тот же	1	20
129	мы имеем	2	20
130	она не	1	20
131	дело с	1	20
132	несмотря на	3	20
133	на этом	3	20
134	это не	4	20
135	все эти	2	20
136	в одном	2	19
137	что при	1	19
138	в какой	2	19
139	в ее	1	19
140	у него	5	19
141	он говорит	2	19
142	с этой	6	18
143	в которой	1	18
144	можно было	3	18
145	но в	5	18
146	зависимости от	1	18
147	в каком	1	18
148	вслед за	1	18
149	на самом	1	18
150	но не	8	18
151	и есть	3	18
152	был бы	1	18
153	перед нами	1	18
154	есть не	2	18
155	в виду	4	17
156	во всяком	3	17
157	иначе говоря	2	17
158	что для	2	17
159	из этих	2	17
160	но это	2	17
161	одна из	8	17
162	у нас	5	17
163	и о	1	17
164	и к	1	16
165	из которых	3	16
166	к этому	2	16
167	в психологии	1	16
168	та же	2	16
169	сводится к	4	16
170	говорит о	1	16
171	то это	2	16
172	самого начала	1	16
173	с самого	1	16
174	в таком	1	16
175	же как	3	16
176	и тем	4	16
177	не имеет	2	16
178	так и	7	16
179	тому как	4	16
180	в результате	2	15
181	в них	1	15
182	этого рассказа	1	15
183	только на	3	15
184	во всех	4	15
185	мы знаем	1	15
186	могли бы	1	15
187	не могут	1	15
188	искусства как	2	15
189	и потому	1	15
190	в зависимости	1	15
191	не просто	2	15
192	далеко не	4	15
193	еще не	4	15
194	для него	6	15
195	в частности	18	15
196	не можем	2	15
197	хотя бы	3	14
198	но он	1	14
199	очевидно что	2	14
200	в художественном	6	14
201	того как	1	14
202	прежде всего	14	14
203	такой же	3	14
204	в жизни	7	14
205	при таком	1	14
206	бы в	1	14
207	столь же	5	14
208	должна быть	3	14
209	всяком случае	2	14
210	этом отношении	5	14
211	с той	1	14
212	или в	1	14
213	по существу	4	14
214	в области	5	14
215	с ним	2	14
216	именно в	1	13
217	не могли	1	13
218	а с	2	13
219	отнюдь не	4	13
220	в гамлете	1	13
221	с такой	1	13
222	в той	1	13
223	речь идет	3	13
224	едва ли	5	13
225	и он	3	13
226	могло бы	1	13
227	как он	2	13
228	должен был	1	13
229	со стороны	6	13
230	в этих	2	12
231	не менее	11	12
232	может служить	1	12
233	того же	5	12
234	в конечном	9	12
235	я не	8	12
236	в рассказе	1	12
237	тогда когда	1	12
238	в свою	2	12
239	и уже	1	12
240	состоит в	18	12
241	и этот	1	12
242	идет о	4	12
243	конце концов	1	12
244	и с	4	12
245	например в	3	12
246	что по	1	12
247	что этот	1	12
248	что его	3	12
249	что не	3	12
250	этой точки	3	12
251	и до	1	12
252	ничего не	3	12
253	в поэзии	4	12
254	в нашей	2	12
255	конечном счете	8	11
256	так например	1	11
257	не было	5	11
258	мы видели	1	11
259	была бы	1	11
260	подобно тому	4	11
261	поэзии и	3	11
262	но мы	1	11
263	как к	4	11
264	уже в	7	11
265	мы никогда	1	11
266	и других	4	11
267	отличие от	6	11
268	искусства с	1	11
269	исходя из	3	11
270	есть в	1	11
271	искусство и	1	11
272	исходит из	3	11
273	по поводу	2	11
274	его в	4	11
275	совершенно справедливо	1	11
276	отдельного человека	1	11
277	с его	5	11
278	на это	2	11
279	во всем	1	10
280	только из	1	10
281	в другом	3	10
282	не так	1	10
283	искусства но	1	10
284	данном случае	6	10
285	в их	3	10
286	что ни	1	10
287	в одной	1	10
288	от него	2	10
289	отличается от	1	10
290	в данном	7	10
291	должно быть	1	10
292	в состоянии	1	10
