N	3gram	Losev_Vlad	Literetu
1	в том что	13	21
2	в то же	7	21
3	то же время	7	21
4	с одной стороны	1	12
5	не может быть	4	11
6	так или иначе	3	10
7	о том что	9	10
8	в этом отношении	2	10
9	не говоря уже	3	8
10	с другой стороны	3	7
11	говоря уже о	3	6
12	в том числе	1	6
13	к тому же	3	6
14	не только в	3	6
15	тем не менее	8	5
16	еще в году	2	5
17	в том чтобы	4	5
18	в связи с	7	5
19	при этом в	2	4
20	и тем самым	1	4
21	то ни было	1	4
22	бы то ни	2	4
23	и то что	7	4
24	и наконец в	1	3
25	в самом деле	1	3
26	в том же	3	3
27	ничего общего с	1	3
28	в свою очередь	2	3
29	на то что	6	3
30	по крайней мере	1	3
31	том же году	1	3
32	не в одном	1	3
33	во всяком случае	8	3
34	то что я	1	3
35	и в частности	3	3
36	тех пор пока	2	2
37	в самом начале	1	2
38	все той же	1	2
39	в первый раз	1	2
40	для того чтобы	3	2
41	и то же	1	2
42	в то что	1	2
43	и вместе с	1	2
44	к этой книге	1	2
45	для своего времени	2	2
46	а с другой	1	2
47	не только не	1	2
48	может быть названа	1	2
49	в целом и	1	2
50	к тому что	1	2
51	только то что	1	2
52	мы имеем дело	1	2
53	за то что	2	2
54	чуть ли не	1	2
55	вместе с тем	2	2
56	так и не	3	2
57	в свое время	6	2
58	что он сам	1	2
59	до тех пор	2	2
60	и если это	1	2
61	дело в том	7	2
62	одно и то	1	2
63	в сравнении с	2	2
64	как и следовало	1	2
65	в этом случае	1	2
66	во второй половине	3	2
67	место в этом	1	2
68	что же касается	8	2
69	к жизни в	1	2
70	на эту тему	2	2
71	было сказано в	1	1
72	как было сказано	2	1
73	в стихотворении с	1	1
74	и когда он	1	1
75	что он не	3	1
76	т и с	2	1
77	на первом слоге	1	1
78	что уже в	1	1
79	почти никогда не	1	1
80	но отнюдь не	1	1
81	это не только	1	1
82	то что в	1	1
83	о гораздо более	1	1
84	чем он сам	1	1
85	то было у	1	1
86	в году когда	1	1
87	соловьева с его	2	1
88	за собой и	1	1
89	жизни а к	1	1
90	и говорил что	1	1
91	не в том	3	1
92	то в чем	1	1
93	более или менее	5	1
94	и следовало ожидать	1	1
95	но даже и	3	1
96	а в том	3	1
97	в году к	1	1
98	соловьева о том	1	1
99	всех такого рода	1	1
100	потому что в	2	1
101	а также в	1	1
102	очень сильное впечатление	1	1
103	в конце концов	6	1
104	в последнее время	2	1
105	но только в	1	1
106	но и его	1	1
107	во многих случаях	1	1
108	и в то	3	1
109	том что в	3	1
110	вот в чем	1	1
111	том что только	1	1
112	не так просто	1	1
113	а за ними	1	1
114	а по существу	1	1
115	в году но	2	1
116	в высшей степени	1	1
117	как раз и	2	1
118	ни к какой	1	1
119	на себя всю	1	1
120	с по год	1	1
121	по этому поводу	2	1
122	у него не	3	1
123	но все же	1	1
124	и с и	1	1
125	по существу это	1	1
126	но это не	2	1
127	в истории русской	1	1
128	и в том	2	1
129	для тех кто	1	1
130	на всю жизнь	1	1
131	речь шла о	1	1
132	не было на	1	1
133	а иной раз	4	1
134	и в этом	1	1
135	а также и	2	1
136	с этих позиций	1	1
137	в ответ на	2	1
138	и только в	1	1
139	после того как	2	1
140	и тем не	1	1
141	а в конце	2	1
142	вместе с ним	1	1
143	кто из них	1	1
144	я люблю но	1	1
145	по существу своему	1	1
146	никак не мог	2	1
147	не могли быть	1	1
148	в частности для	1	1
149	в году и	2	1
150	он говорит в	1	1
151	как мы знаем	3	1
152	на жизнь как	1	1
153	но дело в	2	1
154	и в особенности	1	1
155	и на его	2	1
156	в это время	5	1
157	я не помню	2	1
158	в этом же	2	1
159	как и сам	1	1
160	эти самые годы	1	1
161	как это было	1	1
162	в последний год	3	1
163	мы с ним	1	1
164	одно что со	1	1
165	и для всех	1	1
166	пор пока не	1	1
167	не что иное	2	1
168	тем более что	2	1
169	он не может	1	1
170	между прочим и	2	1
171	уже не может	1	1
172	хотя и не	2	1
173	несмотря на свою	1	1
174	хотя бы на	2	1
175	в итоге все	1	1
176	на нее и	1	1
177	сам он в	1	1
178	тех кто не	1	1
179	но в то	2	1
180	нам представляется что	1	1
181	содержит в себе	1	1
182	как мы видели	1	1
183	как раз в	1	1
184	мысль о том	1	1
185	того чтобы стать	1	1
186	о том с	1	1
187	я в этом	2	1
188	в ноябре года	2	1
189	в году он	5	1
190	было бы и	1	1
191	в себе не	1	1
192	том что он	4	1
193	то что для	1	1
194	сказать что по	1	1
195	в эти самые	1	1
196	и в литературе	1	1
197	что иное как	2	1
198	в те годы	3	1
199	и в году	3	1
200	и притом в	1	1
201	и не может	1	1
202	это и есть	1	1
203	само по себе	1	1
204	не только как	1	1
205	нет и не	1	1
206	что в сравнении	1	1
207	в своем внутреннем	1	1
208	никогда не любил	1	1
209	с ней в	1	1
210	имеем дело с	1	1
211	но и для	1	1
212	в чем дело	1	1
213	что несмотря на	1	1
214	жизнь как на	1	1
215	может быть и	1	1
