N	2gram	Propp_Morf	KulturaY
1	и т	62	143
2	т е	25	102
3	и в	17	84
4	в том	10	74
5	потому что	7	68
6	не только	8	60
7	точки зрения	7	59
8	в этом	18	57
9	было бы	5	53
10	и не	16	52
11	может быть	61	47
12	что в	10	44
13	том что	7	44
14	того чтобы	4	44
15	т д	60	42
16	для того	3	41
17	у нас	3	38
18	хотя бы	5	37
19	самом деле	4	37
20	так как	20	36
21	с точки	6	36
22	в области	1	34
23	таким образом	26	33
24	а не	11	33
25	если бы	3	32
26	можно было	4	32
27	не в	3	30
28	и пр	45	30
29	в его	1	30
30	прежде всего	14	30
31	все же	9	29
32	не менее	7	28
33	того что	3	28
34	все эти	5	28
35	уже не	4	26
36	в силу	1	26
37	то что	10	25
38	вовсе не	6	25
39	не может	19	25
40	вопрос о	10	24
41	с другой	9	24
42	еще не	4	24
43	то же	10	23
44	с помощью	1	23
45	только в	3	23
46	так и	10	23
47	иными словами	1	22
48	тем не	7	21
49	во всяком	2	20
50	и что	3	20
51	но и	9	20
52	тем что	4	19
53	о том	6	19
54	что он	5	19
55	что же	2	19
56	всяком случае	2	19
57	но в	4	19
58	и с	1	18
59	с тем	2	18
60	к тому	5	18
61	в сущности	3	18
62	в качестве	8	18
63	связи с	12	18
64	между тем	5	18
65	как бы	6	18
66	русском языке	1	18
67	все это	2	18
68	в той	1	17
69	можно говорить	1	17
70	другой стороны	5	17
71	как это	7	17
72	что это	3	17
73	как раз	1	17
74	это не	6	17
75	в виду	1	16
76	что и	10	16
77	что не	1	16
78	тот же	1	16
79	ничего не	5	16
80	но не	8	16
81	при этом	1	15
82	именно в	1	15
83	в данном	2	15
84	как на	1	15
85	в нашем	6	15
86	и тем	3	15
87	один из	7	15
88	по отношению	7	15
89	ни к	2	15
90	целый ряд	3	15
91	того как	2	15
92	а в	8	15
93	должно быть	1	15
94	в них	1	14
95	и на	1	14
96	сказать что	4	14
97	хотя и	5	14
98	что такое	3	14
99	в связи	10	14
100	сих пор	1	14
101	до сих	1	14
102	если мы	6	14
103	как мы	8	14
104	мы имеем	19	14
105	также и	6	14
106	отношению к	7	14
107	что она	2	13
108	между прочим	1	13
109	в этой	3	13
110	там где	5	13
111	не могут	7	13
112	в которых	2	13
113	для нас	2	13
114	это и	3	13
115	по существу	13	13
116	в пределах	3	13
117	и его	3	13
118	с этой	3	12
119	говорить о	4	12
120	в результате	8	12
121	язык есть	1	12
122	ясно что	5	12
123	вопроса о	3	12
124	этот вопрос	4	12
125	могут быть	21	12
126	как в	5	12
127	в рамках	1	12
128	те же	1	11
129	он не	5	11
130	и здесь	7	11
131	должна быть	2	11
132	и то	1	11
133	еще и	1	11
134	совершенно не	1	11
135	из этих	2	11
136	этом отношении	2	11
137	в их	1	11
138	в таких	3	11
139	в какой	3	11
140	или иной	1	11
141	в особенности	1	10
142	в первом	5	10
143	как и	4	10
144	так же	4	10
145	к этому	4	10
146	несмотря на	4	10
147	бы в	2	10
148	ту же	2	10
149	в то	4	10
150	вряд ли	2	10
151	после того	1	10
152	со стороны	5	10
153	в каком	2	10
154	с этим	14	10
155	они не	3	10
156	того или	1	10
157	тех же	4	10
158	в нашей	1	10
159	от того	4	10
160	в своей	1	9
161	можно сказать	2	9
162	что все	1	9
163	в которой	3	9
164	но для	3	9
165	здесь не	3	9
166	и есть	3	9
167	ни в	3	9
168	не имеет	2	9
169	что мы	2	9
170	не потому	1	9
171	но это	6	9
172	и для	4	9
173	дает нам	1	9
174	и вот	1	9
175	то мы	5	9
176	а также	7	9
177	на то	3	9
178	в целом	5	9
179	в этих	17	8
180	но все	4	8
181	что они	5	8
182	с одной	2	8
183	в таком	1	8
184	тому что	5	8
185	не есть	1	8
186	в чем	2	8
187	в своих	2	8
188	в тех	8	8
189	а потому	2	8
190	убедиться что	1	8
191	тех пор	1	8
192	что я	1	8
193	состоит в	3	8
194	с его	3	8
195	этом случае	10	8
196	независимо от	4	8
