N	2gram	Bakhtin_sl	Sotsiolo
1	истории литературы	1	10
2	все это	14	7
3	в том	7	5
4	в этом	21	5
5	не только	37	3
6	не в	14	3
7	и в	69	3
8	и только	2	3
9	в его	19	3
10	для нас	7	3
11	ввести в	1	2
12	что в	3	2
13	то что	2	2
14	таким образом	16	2
15	том что	6	2
16	или даже	5	2
17	дело не	2	2
18	как бы	16	2
19	в результате	4	2
20	было бы	3	2
21	в смысле	7	2
22	в частности	3	2
23	но и	37	2
24	может быть	40	2
25	по существу	3	2
26	и что	2	2
27	это и	1	2
28	исторической жизни	3	2
29	за пределы	6	2
30	по отношению	2	2
31	в конце	1	2
32	как только	4	2
33	отношению к	2	2
34	исторического развития	2	2
35	должна быть	3	2
36	далеко не	7	2
37	тем более	1	2
38	только в	9	2
39	только как	2	2
40	то же	17	2
41	еще не	9	2
42	и стиля	2	1
43	а в	10	1
44	что он	2	1
45	автор с	1	1
46	образом в	4	1
47	вне пределов	1	1
48	столь же	2	1
49	даже в	4	1
50	входящие в	1	1
51	науки о	2	1
52	быть не	1	1
53	в таких	1	1
54	в целом	3	1
55	на этот	1	1
56	все эти	15	1
57	не было	4	1
58	представить себе	1	1
59	остается в	5	1
60	развития и	1	1
61	связи с	4	1
62	точке зрения	2	1
63	не мешает	1	1
64	в своей	8	1
65	во всяком	9	1
66	в мире	1	1
67	и потому	9	1
68	все же	10	1
69	по крайней	1	1
70	с другой	8	1
71	мы понимаем	1	1
72	вытекающих из	1	1
73	невозможно никакое	1	1
74	с ним	12	1
75	к вопросам	1	1
76	противном случае	1	1
77	между тем	5	1
78	и более	3	1
79	но как	2	1
80	формальных признаков	1	1
81	в этой	1	1
82	время в	1	1
83	и разрешить	1	1
84	из себя	3	1
85	в свои	1	1
86	и его	45	1
87	перейти к	1	1
88	они ни	1	1
89	в данном	5	1
90	на все	3	1
91	только для	1	1
92	в области	1	1
93	и по	3	1
94	есть процесс	1	1
95	первый план	1	1
96	с помощью	5	1
97	один из	9	1
98	так и	22	1
99	в противном	1	1
100	в то	17	1
101	бы они	1	1
102	может не	9	1
103	слова но	2	1
104	в котором	2	1
105	те же	3	1
106	именно на	3	1
107	не выходит	3	1
108	между собой	3	1
109	произведение как	1	1
110	отнюдь не	1	1
111	и не	32	1
112	выходит за	3	1
113	но она	2	1
114	всяком случае	7	1
115	эти два	1	1
116	индивидуальность и	1	1
117	тем именно	1	1
118	не исчерпываются	1	1
119	по самому	1	1
120	или нет	1	1
121	и о	3	1
122	к изучению	1	1
123	вступает в	2	1
124	но не	7	1
125	может служить	1	1
126	жанра и	1	1
127	они не	3	1
128	лучшем случае	3	1
129	в него	9	1
130	для этого	4	1
131	прежде всего	14	1
132	тем что	1	1
133	что она	1	1
134	в систему	1	1
135	стиля как	1	1
136	в каждом	5	1
137	он по	1	1
138	в чем	2	1
139	не из	2	1
140	на основании	1	1
141	а с	2	1
142	мы еще	1	1
143	а между	2	1
144	новые и	2	1
145	же не	1	1
146	но только	1	1
147	не дает	1	1
148	в лучшем	3	1
149	в сущности	18	1
150	он говорит	1	1
151	его в	7	1
152	этой задаче	1	1
153	не от	1	1
154	пришлось бы	1	1
155	два типа	1	1
156	в наше	1	1
157	на определенных	1	1
158	крайней мере	1	1
159	в процессе	14	1
160	автор не	4	1
161	ни были	3	1
162	этого и	1	1
163	вовсе не	16	1
164	даже не	1	1
165	с одной	7	1
166	и наконец	9	1
167	для изучения	1	1
168	конечно не	7	1
169	о том	5	1
170	мы не	4	1
171	тому что	2	1
172	но именно	5	1
173	в методологии	1	1
174	его исторической	1	1
175	том и	2	1
176	в этих	8	1
177	сама по	2	1
178	у него	5	1
179	по себе	4	1
180	на первый	1	1
181	лингвистику и	1	1
182	перед нами	7	1
183	и остаются	1	1
184	литературе и	1	1
185	все то	2	1
186	хотя бы	6	1
187	же время	15	1
188	наконец в	5	1
189	это не	8	1
190	одной стороны	7	1
191	в связи	2	1
192	бы в	1	1
193	и должно	1	1
194	работы в	1	1
195	в виде	4	1
196	процессе живого	1	1
197	именно в	5	1
198	никогда не	9	1
199	и есть	2	1
200	не может	27	1
201	между ними	2	1
202	и как	3	1
203	что все	2	1
204	место в	2	1
205	для наших	1	1
206	как и	8	1
207	изучения и	1	1
208	ничего не	5	1
209	в них	11	1
