N	3gram	Propp_Morf	Vladivir
1	в том что	4	29
2	о том что	3	22
3	тем не менее	6	18
4	что же касается	1	14
5	в то время	3	13
6	во всяком случае	2	12
7	в связи с	9	12
8	более или менее	2	11
9	не может быть	9	10
10	в то же	1	10
11	с точки зрения	6	10
12	то что он	1	9
13	то же время	1	9
14	а также и	5	8
15	на то что	3	8
16	точно так же	2	7
17	это значит что	1	7
18	в данном случае	2	6
19	с другой стороны	5	6
20	в настоящее время	3	6
21	том что он	1	6
22	ни в каких	1	5
23	бы то ни	3	5
24	то что в	2	5
25	то время как	3	5
26	что и в	1	5
27	можно сказать что	1	4
28	как мы уже	1	4
29	для того чтобы	3	4
30	в этом отношении	2	4
31	мы увидим ниже	6	4
32	то это значит	1	4
33	и т д	60	4
34	не что иное	2	4
35	мы будем говорить	1	4
36	можно было бы	2	4
37	что иное как	2	4
38	с одной стороны	2	4
39	во что бы	1	3
40	потому что в	1	3
41	в том случае	3	3
42	иметь в виду	1	3
43	к тому что	4	3
44	но это не	1	3
45	в свою очередь	1	3
46	только в том	1	3
47	хотя и не	2	3
48	что бы то	1	3
49	с самого начала	1	3
50	между прочим и	1	3
51	уже не только	1	3
52	что несмотря на	1	3
53	то ни стало	1	3
54	но то что	1	2
55	имеет ничего общего	1	2
56	и тот же	1	2
57	с этим в	1	2
58	здесь перед нами	1	2
59	также и не	1	2
60	мы уже видели	2	2
61	в таком случае	1	2
62	но и она	1	2
63	до сих пор	1	2
64	есть не что	1	2
65	бросается в глаза	1	2
66	это нисколько не	1	2
67	за это время	1	2
68	в этой области	1	2
69	из них не	1	2
70	так как это	1	2
71	мы уже знаем	1	2
72	не имеет ничего	1	2
73	то ни было	2	2
74	и по существу	1	2
75	не то что	1	2
76	те или иные	1	2
77	сих пор не	1	2
78	и тем не	2	2
79	но и здесь	1	2
80	на обратном пути	1	2
81	один и тот	1	2
82	в тех же	4	2
83	связи с этим	5	2
84	независимо от того	4	2
85	но и его	1	2
86	так же и	1	2
87	одно и то	1	2
88	и то же	1	2
89	в этом случае	10	2
90	при таких условиях	1	2
91	как мы увидим	5	2
92	том случае если	2	2
93	мы не будем	2	2
94	если бы мы	1	2
95	после того как	1	2
96	может быть и	2	2
97	том случае когда	1	1
98	при помощи которых	1	1
99	мы прежде всего	1	1
100	и даже не	1	1
101	с ними и	1	1
102	мы видим что	11	1
103	до известной степени	1	1
104	можно себе представить	1	1
105	может состоять из	1	1
106	и сразу же	1	1
107	он не дает	1	1
108	она должна быть	1	1
109	потому что его	2	1
110	наряду с этим	5	1
111	в первый раз	1	1
112	дело не в	2	1
113	он не может	1	1
114	но это нисколько	1	1
115	не значит что	3	1
116	далеко не всегда	1	1
117	является то что	1	1
118	и другие материалы	1	1
119	но об этом	1	1
120	т д в	2	1
121	не потому что	1	1
122	той или иной	1	1
123	и не с	1	1
124	входить в подробности	1	1
125	надо сказать что	1	1
126	то во всяком	1	1
127	нет не только	1	1
128	и в нашем	1	1
129	всяком случае это	1	1
130	может быть названа	1	1
131	что в основе	1	1
132	и об отношении	1	1
133	другой стороны оно	1	1
134	здесь как и	1	1
135	в целом и	1	1
136	в нашей работе	1	1
137	с тех пор	1	1
138	в высшей степени	1	1
139	лишь постольку поскольку	1	1
140	что вопрос о	1	1
141	но все же	4	1
142	в последнем случае	3	1
143	к чему не	2	1
144	о том как	2	1
145	того чтобы начать	1	1
146	а в с	1	1
147	во многих отношениях	1	1
148	на вопрос что	1	1
149	можно сказать о	1	1
150	собственном смысле слова	3	1
151	нечто иное чем	1	1
152	ответить на вопрос	1	1
153	тому что в	1	1
154	первый раз он	1	1
155	и не всегда	1	1
156	еще не значит	1	1
157	но кроме того	1	1
158	с этим мы	1	1
159	и были то	1	1
160	не столько по	1	1
161	с этой точки	1	1
162	и действительно в	1	1
163	и предметом его	1	1
164	одна из них	1	1
165	в иных случаях	2	1
166	в таких случаях	2	1
167	но как бы	1	1
168	тем и другим	2	1
169	говорить о том	2	1
170	здесь мы имеем	1	1
171	в этой работе	1	1
172	и многое другое	1	1
173	на этот вопрос	1	1
174	здесь не может	1	1
175	дает нам возможность	1	1
176	состоит в том	3	1
177	в нашем распоряжении	1	1
178	уже не может	1	1
179	в подробности этой	1	1
180	начинается с того	2	1
181	то прежде всего	2	1
182	в противном случае	1	1
183	то же с	1	1
184	же время и	1	1
185	далеко не все	3	1
186	с другой не	1	1
187	при помощи которой	2	1
188	или вовсе не	1	1
189	не существует ix	1	1
190	точки зрения совершенно	1	1
191	в собственном смысле	3	1
192	бы мы имели	1	1
193	а вовсе не	2	1
194	большей частью в	1	1
195	ни к чему	2	1
196	а для того	1	1
197	указанием на то	1	1
198	вопрос о том	2	1
199	этой точки зрения	1	1
200	оно может быть	2	1
201	самого начала в	1	1
202	мы не можем	1	1
203	потому что они	1	1
204	только в тех	1	1
205	но как мы	1	1
206	это было бы	1	1
