N	2gram	Losev_Vesc	Narrotol
1	не только	48	62
2	и не	57	50
3	при этом	1	47
4	но и	19	45
5	а не	34	38
6	в качестве	4	35
7	в частности	3	31
8	может быть	37	30
9	и в	44	30
10	в том	15	29
11	в этом	17	28
12	тогда как	3	28
13	том что	13	28
14	а в	6	27
15	только в	23	25
16	в данном	6	24
17	как и	15	24
18	не в	14	23
19	то что	47	23
20	то есть	2	22
21	не может	44	20
22	в себе	23	17
23	данном случае	2	17
24	так и	4	17
25	а также	1	17
26	со стороны	9	16
27	в его	5	16
28	к тому	3	15
29	можно сказать	8	15
30	но в	8	15
31	в жизни	5	14
32	и его	4	14
33	то же	12	13
34	в своей	6	13
35	уже не	15	13
36	о том	11	13
37	в своем	9	13
38	у него	3	13
39	времени и	1	13
40	все же	18	12
41	сводится к	4	12
42	как в	3	12
43	перед нами	3	12
44	как бы	19	12
45	прежде всего	17	12
46	об этом	5	11
47	к себе	4	11
48	хотя и	5	11
49	если бы	8	11
50	и тем	7	11
51	в этой	4	11
52	в нем	6	11
53	жизни в	3	11
54	в отличие	1	11
55	отличие от	1	11
56	тем самым	2	11
57	один из	5	10
58	никогда не	5	10
59	тому же	1	10
60	точки зрения	10	10
61	как это	4	10
62	в то	11	10
63	и все	6	10
64	не является	3	10
65	жизни и	6	10
66	с его	2	10
67	ничего не	12	10
68	того что	16	10
69	но не	9	10
70	как раз	16	9
71	тем не	11	9
72	той или	3	9
73	я в	3	9
74	отнюдь не	8	9
75	что в	11	9
76	с ним	8	9
77	что он	7	9
78	еще не	12	9
79	потому что	25	9
80	для него	8	9
81	далеко не	2	9
82	в той	6	8
83	и к	1	8
84	в самом	13	8
85	в таком	1	8
86	о чем	2	8
87	не менее	11	8
88	не мог	3	8
89	одна из	6	8
90	он не	4	8
91	и он	1	8
92	самом деле	7	8
93	того чтобы	4	8
94	внимание на	1	8
95	мы имеем	8	8
96	же время	4	8
97	и для	13	8
98	этом отношении	2	8
99	у нас	9	8
100	у нее	1	8
101	или иной	1	8
102	в принципе	1	7
103	в котором	4	7
104	с другой	8	7
105	едва ли	1	7
106	в ее	8	7
107	на себя	5	7
108	в конце	3	7
109	в чем	10	7
110	в силу	4	7
111	и на	2	7
112	же в	1	7
113	в свою	5	7
114	это не	9	7
115	вслед за	1	7
116	из наиболее	2	7
117	или в	3	7
118	также и	9	7
119	в ней	14	7
120	одного из	2	7
121	в целом	3	7
122	все что	3	6
123	в результате	9	6
124	двух или	1	6
125	между двумя	1	6
126	сказать что	21	6
127	на него	3	6
128	имеем дело	3	6
129	о ней	5	6
130	то в	4	6
131	что у	5	6
132	с одной	3	6
133	что и	11	6
134	могло бы	1	6
135	в случае	1	6
136	не могла	1	6
137	в современной	1	6
138	однако в	3	6
139	однако и	1	6
140	во втором	2	6
141	таким образом	16	6
142	никак не	7	6
143	к его	2	6
144	в слове	2	6
145	то и	7	6
146	из этих	1	6
147	в сознании	1	6
148	здесь не	2	6
149	ответ на	1	6
150	они не	1	6
151	о нем	1	6
152	слова в	2	6
153	одной стороны	3	6
154	на то	9	6
155	человеческой жизни	1	5
156	только что	2	5
157	дело с	1	5
158	не столько	2	5
159	в своих	3	5
160	и даже	12	5
161	и сам	3	5
162	именно в	2	5
163	а именно	1	5
164	и того	2	5
165	свою очередь	5	5
166	в другом	3	5
167	для того	3	5
168	не всегда	1	5
169	о них	4	5
170	в одном	6	5
171	он сам	2	5
172	точка зрения	5	5
173	себя в	11	5
174	из них	7	5
175	к нему	3	5
176	от его	2	5
177	бы и	9	5
178	не было	4	5
179	или не	7	5
180	но для	2	5
181	я не	7	5
182	такова что	1	5
183	между собой	2	5
184	по поводу	1	5
185	и от	4	5
186	с ее	10	5
187	и здесь	5	5
188	что это	18	5
189	подобно тому	5	5
190	если не	3	5
191	их в	6	5
192	и у	4	5
193	с ними	4	5
194	да и	5	5
195	о котором	2	5
196	том как	4	5
197	стало быть	3	5
198	было бы	24	5
199	и уже	2	5
200	для нее	2	5
201	за пределами	1	5
202	и то	14	5
203	свидетельствует о	3	5
204	мы не	8	5
205	на самом	1	5
206	в какой	1	5
207	тем более	3	5
208	тому как	5	5
209	в начале	1	5
210	в пределах	1	5
211	не случайно	2	5
212	и о	4	5
213	этом и	2	5
214	как будто	2	5
215	еще раз	1	4
216	и мира	2	4
217	даже в	1	4
218	строго говоря	1	4
219	от этих	1	4
220	в виду	2	4
221	по себе	22	4
222	в них	1	4
223	в первом	2	4
224	и с	11	4
225	не вполне	2	4
226	когда в	1	4
227	не существует	4	4
228	хотя бы	9	4
229	только на	3	4
230	но они	2	4
231	и когда	5	4
232	к этому	2	4
233	представить себе	1	4
234	что они	12	4
235	жизни так	1	4
236	на том	1	4
237	несмотря на	6	4
238	в третьем	1	4
239	и притом	4	4
240	не о	2	4
241	не говорит	3	4
242	тому что	2	4
243	в себя	13	4
244	пребывания в	1	4
245	не будет	13	4
246	но зато	2	4
247	по своей	3	4
248	и по	1	4
249	и ее	19	4
250	жизни а	1	4
251	на ее	3	4
252	для себя	6	4
253	это уже	2	4
254	свою позицию	1	4
255	о которой	3	4
256	не на	2	4
257	со всеми	1	4
258	оно не	6	4
259	вместе с	4	4
260	не имеет	2	4
261	которая не	1	4
262	в аспекте	1	4
263	в основе	4	4
264	могла бы	3	4
265	в сфере	6	4
266	мог бы	7	4
267	что я	26	4
268	но именно	3	4
269	всяком случае	2	4
270	исключительно в	1	4
271	ему в	1	4
272	зависит от	1	4
273	во всяком	4	4
274	для нас	2	4
275	раз в	2	4
276	а на	1	4
277	и как	12	4
278	так в	1	4
279	ли не	1	4
280	это было	2	4
281	не все	3	4
282	человека в	1	4
283	она не	9	4
284	быть и	5	4
285	бытия в	2	4
286	не с	8	4
287	как он	2	4
288	как по	1	4
289	к ней	4	4
290	как мы	6	4
291	что на	2	4
292	не к	3	4
293	что было	1	3
294	более не	1	3
295	и составляет	1	3
296	на одном	1	3
297	с этой	6	3
298	говорит о	3	3
299	ни слова	1	3
300	в этих	1	3
301	имеет смысл	5	3
302	и опять	1	3
303	жизненный опыт	1	3
304	говорить о	9	3
305	не обязательно	2	3
306	так же	4	3
307	ни одного	1	3
308	жизни как	1	3
309	наряду с	2	3
310	в зависимости	1	3
311	все время	1	3
312	что она	23	3
313	что именно	4	3
314	к ее	3	3
315	только не	5	3
316	ее и	2	3
317	по природе	2	3
318	но еще	3	3
319	ведь есть	1	3
320	с точки	6	3
321	и сама	4	3
322	одно из	2	3
323	видит в	1	3
324	связи с	1	3
325	но он	2	3
326	в которой	5	3
327	к чему	2	3
328	что не	11	3
329	происходит и	1	3
330	в связи	1	3
331	между ними	6	3
332	же как	3	3
333	и это	17	3
334	сих пор	1	3
335	а потом	3	3
336	должен был	1	3
337	могли бы	1	3
338	но как	3	3
339	а с	3	3
340	природе своей	2	3
341	за ними	2	3
342	и что	22	3
343	можно было	6	3
344	не просто	23	3
345	первом случае	2	3
346	даже если	1	3
347	в первой	2	3
348	здесь мы	1	3
349	в него	1	3
350	чем и	1	3
351	до сих	1	3
352	я уже	2	3
353	то они	1	3
354	ни о	3	3
355	с таким	1	3
356	себя с	5	3
357	где в	1	3
358	и т	37	3
359	приводит к	2	3
360	зависимости от	1	3
361	жизни мы	2	3
362	еще и	11	3
363	и другая	1	3
364	что мы	17	3
365	быть не	5	3
366	и тогда	7	3
367	речь идет	1	3
368	было и	2	3
369	тем же	2	3
370	той же	2	3
371	одной из	1	3
372	на этот	1	3
373	но это	14	3
374	в едином	1	3
375	жизни не	1	3
376	собственно говоря	5	3
377	как к	5	3
378	и уж	2	3
379	и вот	4	3
380	он и	2	3
381	же не	4	3
382	чем он	1	3
383	этом в	2	3
384	все равно	6	3
385	в виде	3	3
386	дело в	6	3
387	как она	5	3
388	все эти	5	3
389	должен быть	5	3
390	и потому	8	3
391	того или	1	3
392	только к	2	3
393	а его	1	3
394	дело не	4	3
395	не следует	1	3
396	идет о	1	3
397	лишь в	1	3
398	же самое	1	3
399	со своими	1	3
400	для обозначения	1	3
401	и самого	1	3
402	и только	11	3
403	ли в	3	3
404	если она	11	3
405	является в	2	2
406	мы и	1	2
407	которая в	1	2
408	еще более	4	2
409	но о	2	2
410	не зависит	2	2
411	какой бы	1	2
412	смысл не	2	2
413	нас в	3	2
414	другой стороны	3	2
415	быть может	3	2
416	с собой	2	2
417	в настоящем	5	2
418	границы между	1	2
419	более или	4	2
420	но все	3	2
421	жизнь в	1	2
422	людей а	1	2
423	где они	1	2
424	иначе как	1	2
425	тем что	7	2
426	от всего	15	2
427	и делает	2	2
428	одновременно и	1	2
429	тем или	2	2
430	другое дело	2	2
431	в это	2	2
432	мир и	1	2
433	как только	6	2
434	на первый	1	2
435	казалось бы	3	2
436	на мой	1	2
437	было не	1	2
438	было в	3	2
439	и наиболее	1	2
440	в действительности	7	2
441	один и	2	2
442	раз и	2	2
443	и который	2	2
444	своей природе	1	2
445	отрыве от	3	2
446	и такого	1	2
447	когда она	4	2
448	чего не	2	2
449	превращается в	3	2
450	принадлежит не	1	2
451	можно ли	7	2
452	и внутренней	1	2
453	и еще	4	2
454	то чтобы	3	2
455	с такою	1	2
456	в реальной	1	2
457	вовсе не	11	2
458	личность же	1	2
459	именно так	2	2
460	быть в	1	2
461	к которому	1	2
462	главное в	1	2
463	же она	2	2
464	тут же	4	2
465	выходя из	1	2
466	в системе	1	2
467	бы в	9	2
468	того же	5	2
469	они могут	1	2
470	первые две	1	2
471	смысловом отношении	2	2
472	от ее	6	2
473	в смысловом	1	2
474	и значимость	1	2
475	и мы	5	2
476	что иное	12	2
477	к одному	3	2
478	должно быть	8	2
479	они все	1	2
480	происходит это	1	2
481	и кажется	1	2
482	что создает	1	2
483	этого человека	2	2
484	от тех	1	2
485	а за	1	2
486	ни от	7	2
487	сознания не	1	2
488	установки и	2	2
489	будто бы	1	2
490	одним из	1	2
491	быть только	6	2
492	очевидно что	2	2
493	в последние	2	2
494	ясно что	10	2
495	не есть	79	2
496	и всякий	3	2
497	в двух	1	2
498	себе и	2	2
499	в других	1	2
500	во всех	5	2
501	только от	2	2
502	смысл и	12	2
503	мы можем	4	2
504	сами по	3	2
505	теперь уже	1	2
506	так что	9	2
507	является его	1	2
508	оно и	4	2
509	если же	5	2
510	одно и	6	2
511	хотя в	1	2
512	и является	1	2
513	все те	1	2
514	даже не	8	2
515	также не	1	2
516	в нее	1	2
517	она была	2	2
518	вот я	1	2
519	и событий	1	2
520	его как	2	2
521	внимание и	1	2
522	могут быть	1	2
523	что может	1	2
524	и есть	40	2
525	мы будем	3	2
526	с которым	1	2
527	в общем	1	2
528	без этой	1	2
529	я сам	3	2
530	одного и	1	2
531	сливаются в	2	2
532	опыта который	2	2
533	и ничего	2	2
534	себя но	1	2
535	в особенности	3	2
536	она сама	5	2
537	а потому	2	2
538	но после	1	2
539	та же	1	2
540	они и	1	2
541	если в	1	2
542	должна быть	8	2
543	но также	1	2
544	чтобы стать	1	2
545	в сущности	7	2
546	в наиболее	1	2
547	его внутреннего	1	2
548	из которых	3	2
549	себе не	3	2
550	необходимо должна	1	2
551	теперь на	1	2
552	все то	2	2
553	увидеть в	1	2
554	на столе	2	2
555	в россии	2	2
556	о самом	1	2
557	можно назвать	1	2
558	как о	5	2
559	в которых	1	2
560	никто не	1	2
561	была на	1	2
562	говоря и	1	2
563	ли он	1	2
564	другому человеку	1	2
565	том смысле	1	2
566	в каком	6	2
567	к другому	3	2
568	это и	12	2
569	его и	4	2
570	тот кто	1	2
571	бы с	1	2
572	собственного я	1	2
573	своей собственной	2	2
574	внутренняя жизнь	1	2
575	в течение	1	2
576	с нами	1	2
577	наконец в	1	2
578	это все	3	2
579	которое не	1	2
580	у меня	3	2
581	слова и	7	2
582	себя не	2	2
583	всего на	1	2
584	в отрыве	3	2
585	смысл именно	1	2
586	что же	17	2
587	переход от	2	2
588	на две	2	2
589	в данной	2	2
590	она может	4	2
591	и во	3	2
592	с нею	19	2
593	именно то	1	2
594	только с	3	2
595	только потому	1	2
596	из него	1	2
597	же ему	1	2
598	обратиться к	1	2
599	такова природа	1	2
600	именно к	1	2
601	или просто	1	2
602	в более	2	2
603	в смысл	2	2
604	после этого	1	2
605	сам себя	4	2
606	ни с	8	2
607	бы на	3	2
608	что с	1	2
609	все это	7	2
610	со своим	8	2
611	сознания и	2	2
612	в их	4	2
613	когда же	2	2
614	как именно	1	2
615	однако не	4	2
616	но с	2	2
617	это всегда	1	2
618	себе но	1	2
619	и более	4	2
620	или иначе	5	2
621	на нее	2	2
622	это еще	1	2
623	в бытии	2	2
624	указывает на	8	2
625	за которым	1	2
626	не предполагает	4	2
627	есть в	4	2
628	как можно	5	2
629	своего существования	3	2
630	но уже	3	2
631	своего читателя	1	2
632	говорит об	1	2
633	или менее	4	2
634	и вообще	6	2
635	мере в	2	2
636	этих двух	2	2
637	личности в	1	2
638	он говорит	2	2
639	могут служить	1	2
640	не могу	1	2
641	может идти	2	2
642	вся жизнь	1	2
643	субъекта и	1	2
644	нельзя назвать	1	2
645	мы его	1	2
646	когда он	2	2
647	предполагает со	1	2
648	чего же	3	2
649	признать что	2	2
650	на это	5	2
651	могло быть	1	2
652	отношение к	4	2
653	во многом	1	2
654	не можем	3	2
655	ее из	1	2
656	зрения на	1	2
657	никому не	1	2
658	бытия и	6	2
659	это в	1	2
660	на своих	1	2
661	сосредоточимся на	1	2
662	таким же	1	2
663	и наконец	1	2
664	и действия	1	2
665	иное как	12	2
666	к подлинному	1	1
667	во всем	2	1
668	и останется	1	1
669	себе ее	1	1
670	и объяснить	1	1
671	в единую	1	1
672	оно все	1	1
673	этого в	1	1
674	сходство с	1	1
675	которые не	1	1
676	к этой	1	1
677	собою все	1	1
678	тех кто	2	1
679	за исключением	1	1
680	случае мы	1	1
681	стороны внутренней	1	1
682	всей жизни	1	1
683	с самим	4	1
684	из всех	1	1
685	будет не	1	1
686	эта новая	1	1
687	в некую	1	1
688	в разных	6	1
689	не имеющее	1	1
690	и стало	1	1
691	их жизни	1	1
692	и наличие	2	1
693	бытия на	2	1
694	мысли и	5	1
695	человек есть	1	1
696	никто ничего	2	1
697	это явление	1	1
698	к смысловой	3	1
699	не как	2	1
700	так можно	1	1
701	и говорить	1	1
702	что человек	1	1
703	например с	1	1
704	пространства времени	1	1
705	а есть	5	1
706	чем говорить	1	1
707	его от	2	1
708	то не	7	1
709	свете в	1	1
710	ее то	1	1
711	для всех	1	1
712	в живом	1	1
713	но что	9	1
714	данности и	1	1
715	однако при	1	1
716	что слово	1	1
717	которая была	2	1
718	не вытекает	1	1
719	предполагает в	1	1
720	читателя и	1	1
721	в духе	1	1
722	он остается	1	1
723	из двух	1	1
724	только когда	1	1
725	и этот	2	1
726	самом общем	1	1
727	но по	1	1
728	связана с	1	1
729	у людей	1	1
730	представление о	1	1
731	к другим	1	1
732	том или	2	1
733	и должен	1	1
734	его на	4	1
735	кроме самого	1	1
736	на эту	1	1
737	например что	2	1
738	может существовать	1	1
739	к бытию	3	1
740	предмета и	1	1
741	ней не	1	1
742	ничего а	1	1
743	них мы	1	1
744	но у	1	1
745	отличается от	8	1
746	в интересующей	1	1
747	быть определена	1	1
748	этой стороны	1	1
749	и целостность	1	1
750	отца и	1	1
751	сравнение со	1	1
752	относиться к	1	1
753	и нет	3	1
754	эти момента	1	1
755	и образ	3	1
756	впрочем для	1	1
757	с этим	4	1
758	если я	6	1
759	сам же	1	1
760	к смыслу	1	1
761	все и	1	1
762	я вижу	2	1
763	а субъект	1	1
764	во все	1	1
765	на этой	2	1
766	сразу же	1	1
767	человеческой мысли	2	1
768	которые мы	2	1
769	не могли	1	1
770	можно не	1	1
771	что этот	1	1
772	вопрос о	6	1
773	важно и	1	1
774	по тем	1	1
775	как принцип	2	1
776	сущность явления	1	1
777	нельзя было	4	1
778	характер так	1	1
779	мы увидим	1	1
780	действительности как	2	1
781	вполне уместно	1	1
782	имеет в	1	1
783	важное и	2	1
784	но то	4	1
785	но эти	2	1
786	являются не	1	1
787	внутри себя	3	1
788	из их	1	1
789	как очень	1	1
790	уже было	1	1
791	этой связи	1	1
792	структуру в	1	1
793	общения и	2	1
794	втором случае	1	1
795	картину в	1	1
796	в различных	1	1
797	он думает	1	1
798	образом что	1	1
799	ее по	1	1
800	что еще	1	1
801	не что	12	1
802	что ее	2	1
803	этом по	1	1
804	рассуждение о	1	1
805	даже с	1	1
806	в окружающей	1	1
807	не я	2	1
808	то его	1	1
809	указания на	1	1
810	религиозной практики	1	1
811	и тоже	3	1
812	бы совершенно	1	1
813	и мышления	1	1
814	это существенно	1	1
815	самом начале	1	1
816	еще нет	1	1
817	чтобы они	2	1
818	ее как	4	1
819	а сам	1	1
820	называть его	1	1
821	языка как	2	1
822	это так	4	1
823	как я	6	1
824	предполагал возможность	1	1
825	что все	2	1
826	во всей	1	1
827	подобное рассуждение	2	1
828	момент в	6	1
829	воли и	1	1
830	не мыслится	1	1
831	на три	2	1
832	ее внутренняя	1	1
833	под именем	2	1
834	от себя	1	1
835	и внешней	1	1
836	друг с	2	1
837	она уже	3	1
838	а мы	1	1
839	нет никаких	1	1
840	из живой	1	1
841	себя что	1	1
842	она есть	12	1
843	но так	1	1
844	на свет	1	1
845	смысле как	1	1
846	не то	4	1
847	бессмысленный набор	1	1
848	свое собственное	1	1
849	гораздо более	2	1
850	может обойтись	1	1
851	самой себе	1	1
852	внутренней жизни	1	1
853	ближе к	2	1
854	бы то	12	1
855	о принципе	1	1
856	реально и	1	1
857	есть выражение	2	1
858	эпохи не	1	1
859	наружу и	1	1
860	этого сказать	1	1
861	она и	2	1
862	только а	4	1
863	личности а	1	1
864	сказать и	1	1
865	необходимо должно	1	1
866	к человеку	1	1
867	это будет	4	1
868	указать на	1	1
869	стороны и	2	1
870	теперь же	2	1
871	в состоянии	2	1
872	мы знаем	1	1
873	лампы на	1	1
874	что сама	1	1
875	получает в	2	1
876	если у	1	1
877	знанием и	1	1
878	проявляется в	1	1
879	ни было	12	1
880	я беру	1	1
881	к появлению	3	1
882	и личности	1	1
883	с другими	8	1
884	не обладает	1	1
885	стремится к	1	1
886	ибо за	1	1
887	в каждый	1	1
888	не годится	2	1
889	что между	2	1
890	его в	8	1
891	и сознания	2	1
892	и восприятие	1	1
893	ни в	11	1
894	что составляет	1	1
895	как же	6	1
896	тут тоже	1	1
897	как изменение	1	1
898	чем собственно	1	1
899	кажется все	1	1
900	и чисто	4	1
901	собой и	1	1
902	есть жизнь	1	1
903	всем миром	1	1
904	или хотя	1	1
905	если под	2	1
906	между этими	1	1
907	не остается	1	1
908	но ведь	2	1
909	другое но	1	1
910	большею частью	1	1
911	лишь на	1	1
912	бы один	1	1
913	и само	3	1
914	эти три	1	1
915	время как	4	1
916	и она	3	1
917	того и	2	1
918	смысл но	2	1
919	уже давно	1	1
920	зрения и	2	1
921	о которых	2	1
922	что только	4	1
923	а только	3	1
924	мы воспринимаем	1	1
925	не нужно	3	1
926	однако подобное	1	1
927	я все	1	1
928	но все-таки	1	1
929	отождествление с	2	1
930	это тоже	2	1
931	на другом	1	1
932	не иначе	1	1
933	есть личность	1	1
934	вопроса о	3	1
935	нас есть	1	1
936	на которую	1	1
937	период его	1	1
938	проявляет себя	1	1
939	чрезвычайно существенно	1	1
940	к истине	1	1
941	слово есть	1	1
942	для его	2	1
943	и быть	2	1
944	и пустая	1	1
945	своих прежних	2	1
946	и цель	1	1
947	на этом	4	1
948	становится и	1	1
949	данный момент	1	1
950	кто-то другой	1	1
951	бытия но	1	1
952	предполагает что	11	1
953	ли это	9	1
954	и жизненной	1	1
955	две стороны	1	1
956	мы уже	3	1
957	он ничего	2	1
958	а всякая	1	1
959	столь важное	1	1
960	зрения в	1	1
961	на котором	1	1
962	определенным образом	6	1
963	то ни	13	1
