N	4gram	Vygotskiy_	TeoriaLi
1	в то же время	2	8
2	состоит в том что	1	5
3	одного и того же	1	4
4	в том числе и	1	2
5	ни в коем случае	1	2
6	с этой точки зрения	5	2
7	и в самом деле	3	2
8	в коем случае не	1	2
9	в том что он	1	2
10	одно и то же	1	2
11	бы то ни было	1	2
12	приводит к тому что	1	2
13	той мере в какой	1	1
14	но в таком случае	1	1
15	в том что в	1	1
16	не что иное как	2	1
17	заключается в том что	7	1
18	в той мере в	1	1
19	а между тем в	1	1
20	так же точно и	3	1
21	том и состоит чтобы	1	1
22	в том что она	4	1
23	понимается при этом как	1	1
24	с одной стороны и	1	1
25	включает в себя и	1	1
26	а с другой стороны	1	1
27	что в основе его	1	1
28	в том случае если	2	1
29	одном и том же	1	1
30	по себе а в	1	1
31	дело в том что	1	1
32	одного сознания к другому	1	1
33	одним и тем же	1	1
34	никак не может быть	3	1
35	в том и состоит	2	1
36	как бы вбирает в	1	1
37	в связи с этим	1	1
38	в обычной речи и	1	1
39	есть в конечном счете	1	1
40	подход к изучению искусства	1	1
41	точно так же как	3	1
42	бы вбирает в себя	1	1
43	в том или ином	1	1
44	от одного сознания к	1	1
45	есть не что иное	1	1
