N	2gram	Nazirov_Tr	OGranits
1	и в	18	13
2	и его	6	12
3	прежде всего	4	9
4	может быть	7	8
5	и не	7	8
6	не может	5	8
7	в его	3	7
8	и их	1	7
9	таким образом	1	6
10	не только	8	6
11	только в	1	6
12	то что	4	6
13	как бы	7	6
14	хотя бы	1	5
15	и т.д	1	5
16	все же	5	5
17	и эта	1	5
18	и наконец	1	5
19	не является	1	4
20	то же	5	4
21	все это	4	4
22	лишь в	1	4
23	в своей	1	4
24	в двух	1	4
25	но мы	1	4
26	но в	6	4
27	что в	4	3
28	к одному	1	3
29	понятно что	1	3
30	и то	2	3
31	так и	5	3
32	не как	1	3
33	в одном	2	3
34	не столько	1	3
35	за пределы	1	3
36	в ее	2	3
37	здесь мы	1	3
38	самом деле	1	3
39	не в	2	3
40	в которой	1	3
41	и все	4	3
42	в себе	4	3
43	вряд ли	2	3
44	похожим на	1	3
45	я хочу	1	3
46	но и	4	3
47	как и	5	3
48	никогда не	2	3
49	хочу быть	1	3
50	в области	1	2
51	к сожалению	1	2
52	своего рода	3	2
53	в самом	2	2
54	во всем	1	2
55	материалом для	1	2
56	мы видим	1	2
57	в данном	2	2
58	а как	2	2
59	в этом	9	2
60	в общем	1	2
61	случае и	1	2
62	данном случае	2	2
63	героя и	1	2
64	с одной	1	2
65	мог бы	3	2
66	и при	1	2
67	и должно	1	2
68	роль в	1	2
69	в другом	1	2
70	при этом	3	2
71	несмотря на	5	2
72	между тем	1	2
73	для него	3	2
74	с помощью	1	2
75	в том	2	2
76	с этой	1	2
77	что эта	1	2
78	этого социального	1	2
79	чем же	1	2
80	конечно в	1	2
81	так же	4	2
82	в них	1	2
83	самого начала	1	2
84	мы понимаем	1	2
85	а также	1	2
86	в книге	1	2
87	с г	2	2
88	на две	1	2
89	еще в	2	2
90	в ней	1	2
91	с самого	1	2
92	тем что	2	2
93	и др	1	2
94	могут быть	1	2
95	в связи	1	2
96	с ними	1	2
97	все эти	3	2
98	как в	3	2
99	не менее	1	2
100	нуждается в	1	2
101	не имеет	2	2
102	том что	4	2
103	в нем	4	2
104	уже в	3	2
105	не мог	2	2
106	а не	1	2
107	в чем	1	2
108	в целом	4	2
109	и ее	2	2
110	к тому	2	2
111	бы в	1	2
112	в дальнейшем	5	1
113	в особенности	1	1
114	но у	1	1
115	целей а	1	1
116	к речи	1	1
117	не нашел	1	1
118	к счастью	1	1
119	князь мышкин	2	1
120	только к	2	1
121	и он	3	1
122	один из	3	1
123	и здесь	2	1
124	отличие от	2	1
125	вопрос о	2	1
126	как же	2	1
127	на этом	1	1
128	мысль что	1	1
129	только что	1	1
130	творца и	1	1
131	встречался с	1	1
132	должно быть	3	1
133	того как	1	1
134	если он	1	1
135	которой он	1	1
136	и который	1	1
137	и вот	1	1
138	но при	2	1
139	эти слова	1	1
140	когда я	1	1
141	потому что	2	1
142	он всегда	4	1
143	того чтобы	1	1
144	и если	1	1
145	ту же	1	1
146	феномен который	1	1
147	это и	1	1
148	тому что	1	1
149	xvii века	1	1
150	быть не	1	1
151	его за	2	1
152	и должна	1	1
153	он и	2	1
154	ее жизни	2	1
155	в своем	3	1
156	и достоевский	1	1
157	к истории	1	1
158	что при	1	1
159	пустоту и	1	1
160	исследования в	1	1
161	тем не	1	1
162	как это	3	1
163	но может	1	1
164	и лучше	2	1
165	не думает	1	1
166	только на	1	1
167	об этом	4	1
168	никто не	3	1
169	и что	4	1
170	своей вечной	1	1
171	можно было	1	1
172	в этой	4	1
173	я ей	1	1
174	в виду	1	1
175	и один	1	1
176	быть может	1	1
177	и до	2	1
178	и есть	1	1
179	но это	4	1
180	позиции в	1	1
181	не вполне	1	1
182	по себе	1	1
183	в истории	1	1
184	вспомнить о	1	1
185	по своей	1	1
186	же время	6	1
187	его в	2	1
188	человека и	1	1
189	отметить что	1	1
190	на всю	1	1
191	или как	1	1
192	а на	1	1
193	событий и	1	1
194	не было	1	1
195	связи с	1	1
196	ко всем	1	1
197	в борьбе	1	1
198	же не	1	1
199	как свой	1	1
200	сильнее и	1	1
201	сказал что	1	1
202	в отличие	2	1
203	и вне	1	1
204	заключается в	1	1
205	одним из	1	1
206	и чисто	1	1
207	отношение к	2	1
208	жизнь как	1	1
209	на себя	1	1
210	речи в	1	1
211	в эпоху	1	1
212	ему в	1	1
213	всем протяжении	1	1
214	представление о	1	1
215	в конце	3	1
216	обратимся к	1	1
217	например в	1	1
218	детей и	1	1
219	литературы от	1	1
220	в образе	6	1
221	и тонкие	1	1
222	этом мы	1	1
223	роль играет	1	1
224	и как	3	1
225	же слова	1	1
226	ведь уже	1	1
227	вплоть до	1	1
228	отождествляется с	1	1
229	до конца	2	1
230	все время	1	1
231	что он	6	1
232	столь же	2	1
233	времени в	2	1
234	что она	2	1
235	и о	1	1
236	что без	1	1
237	в мире	3	1
238	вместе с	1	1
239	для понимания	1	1
240	который в	2	1
241	и вместе	1	1
242	одна из	2	1
243	этого слова	1	1
244	но не	1	1
245	форму то	1	1
246	но если	1	1
247	одно из	1	1
248	с его	2	1
249	при таком	1	1
250	по поводу	2	1
251	в такой	1	1
252	на всем	2	1
253	в то	5	1
254	связаны между	1	1
255	тут же	2	1
256	отнюдь не	3	1
257	под заглавием	1	1
258	не протекал	1	1
259	довольно распространенного	1	1
260	в условиях	1	1
261	когда в	1	1
262	с ее	3	1
263	не из	1	1
264	и это	2	1
265	эта связь	1	1
266	в самой	1	1
267	в виде	2	1
268	только о	2	1
269	от него	1	1
270	у в	1	1
271	к нему	3	1
272	часто и	1	1
273	не смог	1	1
274	как система	1	1
275	к обществу	2	1
276	обратиться к	1	1
277	на все	1	1
278	и особенно	1	1
279	еще не	4	1
