N	4gram	Nazirov_Tv	Freidism
1	в то же время	18	6
2	ни в чем не	1	4
3	но в то же	5	3
4	и не может быть	2	3
5	заключается в том что	1	2
6	и тем не менее	1	2
7	бы то ни было	1	2
8	на самом же деле	1	2
9	говорить о том что	1	2
10	нет и не может	1	2
11	только то что может	1	1
12	и на себе самом	1	1
13	не могут быть поняты	1	1
14	равно как и на	1	1
15	или во всяком случае	1	1
16	мы имеем в виду	1	1
17	в таком случае это	1	1
18	каких бы то ни	1	1
19	дело в том что	4	1
20	в том что в	3	1
21	с большим трудом и	1	1
22	не что иное как	1	1
23	и в то же	2	1
24	ответ на этот вопрос	1	1
25	если можно так выразиться	1	1
