N	3gram	Berdyaev_V	Russkaja
1	в том что	2	7
2	а между тем	2	5
3	бы то ни	1	4
4	во что бы	1	3
5	что бы то	1	3
6	в конце концов	1	3
7	вместе с тем	1	3
8	с тем чтобы	1	3
9	самого себя и	1	3
10	то ни стало	1	3
11	и во всяком	1	2
12	к тому что	3	2
13	и вместе с	1	2
14	тем что они	1	1
15	и в жизни	1	1
16	а с ним	2	1
17	за то что	3	1
18	к богу и	1	1
19	есть то что	1	1
20	по крайней мере	1	1
21	и то и	1	1
22	и что в	1	1
23	но все же	1	1
24	по этому пути	2	1
25	во всем мире	1	1
26	никогда не было	1	1
27	то и другое	1	1
28	тем чтобы сделать	1	1
29	и в этом	1	1
