N	3gram	Trubetskoy	Freidism
1	с точки зрения	9	15
2	не может быть	4	14
3	по отношению к	1	11
4	в самом деле	1	10
5	в том что	7	9
6	во всяком случае	6	8
7	и прежде всего	1	7
8	в то же	10	6
9	то же время	10	6
10	в большинстве случаев	2	5
11	с самого начала	1	5
12	в свою очередь	1	4
13	тем не менее	1	4
14	на самом деле	6	4
15	в данном случае	3	4
16	в этом отношении	1	4
17	только то что	1	3
18	мы уже знаем	1	3
19	отнюдь не является	1	3
20	для того чтобы	6	3
21	о том что	2	3
22	до сих пор	5	3
23	к тому чтобы	4	3
24	бы то ни	4	3
25	на этот вопрос	1	3
26	внутренней и внешней	1	3
27	но в то	1	3
28	и не может	3	3
29	в применении к	1	2
30	заключается в том	1	2
31	в культурном творчестве	1	2
32	но мы знаем	1	2
33	в конце концов	3	2
34	а следовательно и	2	2
35	говорить о том	1	2
36	по отношению ко	1	2
37	свою точку зрения	1	2
38	его жизни и	1	2
39	конечно не может	1	2
40	то ни было	1	2
41	к тому что	2	2
42	все что может	2	2
43	это и есть	1	2
44	в другом месте	1	2
45	в его целом	1	2
46	во всех областях	1	2
47	то же самое	1	2
48	впитывает в себя	1	2
49	быть не может	1	1
50	что он не	2	1
51	в этом случае	3	1
52	как и при	1	1
53	даже тогда когда	1	1
54	которой он принадлежит	1	1
55	еще на одну	1	1
56	того или иного	2	1
57	от того чтобы	1	1
58	той или иной	3	1
59	он еще не	1	1
60	сводится к тому	1	1
61	что же это	1	1
62	центр тяжести переносится	1	1
63	до известной степени	1	1
64	и только в	1	1
65	от того что	1	1
66	и вот в	1	1
67	в противоречие с	2	1
68	по крайней мере	1	1
69	но она не	2	1
70	что бы то	3	1
71	в себе и	2	1
72	критическом отношении к	1	1
73	может в этом	1	1
74	для обеих сторон	2	1
75	в том же	1	1
76	и дать ему	1	1
77	выражение в его	1	1
78	того и другого	1	1
79	для всех людей	1	1
80	с ним в	1	1
81	хотя бы ценою	1	1
82	во что бы	3	1
83	только с точки	1	1
84	только в этом	1	1
85	но даже и	1	1
86	можно согласиться с	1	1
87	зависит от того	1	1
88	элементов из которых	1	1
89	свою очередь является	1	1
90	друг с другом	14	1
91	но при этом	1	1
92	жизни и в	1	1
93	бы для него	1	1
94	а между тем	5	1
95	только один из	1	1
96	может и должно	1	1
97	дело в том	1	1
98	она не может	2	1
99	согласиться с ним	1	1
100	существенное изменение в	1	1
101	с другом и	2	1
102	мы не знаем	1	1
103	но для этого	1	1
104	так же как	1	1
105	смысле этого слова	1	1
106	и таким образом	1	1
107	того чтобы их	1	1
108	во всех этих	1	1
109	точки зрения в	1	1
110	то что же	1	1
111	к которой он	4	1
112	так как это	1	1
113	роль в истории	1	1
114	уже знаем что	1	1
115	всяком случае не	1	1
116	в этом вопросе	1	1
117	ее в этом	1	1
118	на первый взгляд	1	1
119	о себе самом	1	1
120	самом деле являются	1	1
121	мы говорили выше	1	1
122	и все же	1	1
123	что с точки	1	1
124	знаем что это	1	1
125	но все же	1	1
126	как бы ни	1	1
127	альфой и омегой	1	1
128	во всех странах	1	1
129	при таких условиях	3	1
130	яркое выражение в	1	1
131	тот или иной	1	1
132	можно было бы	3	1
133	или хотя бы	1	1
134	прежде всего на	1	1
135	не есть только	1	1
136	в настоящее время	2	1
137	то ни стало	3	1
