N	3gram	Berdyaev_N	Sovremen
1	в зависимости от	1	4
2	не может быть	4	4
3	во всяком случае	1	2
4	в отличие от	1	2
5	но для чего	1	1
6	в том что	1	1
7	века с ее	1	1
8	и до сих	1	1
9	не могут быть	1	1
10	но это уже	1	1
11	до сих пор	1	1
12	мы говорим о	1	1
13	то нет и	1	1
14	сами по себе	1	1
15	в новое время	1	1
16	хотим сказать что	1	1
17	в такой же	1	1
18	в том случае	1	1
19	не хотим сказать	1	1
20	и во всех	1	1
21	равно как и	2	1
22	совершенно так же	1	1
23	это значит что	1	1
24	когда мы говорим	2	1
25	с одной стороны	2	1
26	в известном смысле	1	1
27	такой же мере	1	1
28	так же как	2	1
29	не в том	1	1
30	она не может	2	1
31	заключает в себе	1	1
32	можно было бы	1	1
33	в этом смысле	2	1
34	и не может	1	1
35	может иметь только	1	1
36	может быть только	1	1
