N	2gram	Voloshinov	IolandNe
1	и с	3	3
2	что в	2	2
3	записок из	1	2
4	он не	2	2
5	ничего не	2	2
6	и не	10	2
7	в этом	4	2
8	все эти	3	1
9	и о	1	1
10	и та	2	1
11	что для	1	1
12	для него	3	1
13	не остается	2	1
14	с героем	3	1
15	от нее	1	1
16	художественного творчества	3	1
17	не так	2	1
18	и др	5	1
19	жизни и	4	1
20	с другой	4	1
21	в целом	1	1
22	точно и	1	1
23	другой стороны	2	1
24	себя в	1	1
25	произведения и	3	1
26	в материале	2	1
27	как только	2	1
28	если бы	9	1
29	отношению к	11	1
30	следующим образом	1	1
31	в художественном	3	1
32	того что	3	1
33	а с	1	1
34	для других	2	1
35	ненависть к	1	1
36	только для	1	1
37	из подполья	1	1
38	и тот	1	1
39	так и	4	1
40	автора и	2	1
41	в основе	1	1
42	в значительной	1	1
43	того чтобы	1	1
44	и без	1	1
45	с жизнью	1	1
46	есть только	1	1
47	и в	12	1
48	никогда не	5	1
49	все это	3	1
50	по отношению	11	1
51	как о	1	1
52	то она	1	1
53	в них	3	1
