N	2gram	Potebnia_M	Mirosoze
1	и в	48	97
2	может быть	46	64
3	не только	32	63
4	в этом	19	55
5	но и	30	54
6	он не	4	53
7	а не	22	53
8	в нем	16	49
9	не может	18	49
10	у него	3	47
11	и не	28	39
12	никогда не	2	38
13	человеческого духа	1	38
14	в ней	11	37
15	потому что	82	37
16	не было	12	36
17	не в	24	34
18	и есть	4	33
19	для него	14	31
20	не есть	24	30
21	но он	3	30
22	есть лишь	1	30
23	человека в	2	30
24	человеческой природы	2	30
25	как и	22	29
26	прежде всего	6	29
27	и он	1	27
28	в мире	3	27
29	но в	8	27
30	о человеке	5	26
31	человека и	8	26
32	в своей	2	25
33	он был	1	25
34	и это	6	25
35	свободы и	1	24
36	и все	5	24
37	у нас	2	24
38	ведет к	1	23
39	в своем	6	23
40	что в	30	23
41	что он	8	22
42	в самом	11	21
43	в себе	26	20
44	отношение к	2	20
45	как бы	10	19
46	человек не	4	19
47	в его	6	18
48	любви к	1	17
49	того что	24	17
50	и потому	9	17
51	том что	28	16
52	если нет	1	16
53	в том	47	16
54	то что	37	16
55	было бы	16	16
56	и его	4	16
57	быть может	7	15
58	духа в	2	15
59	в котором	7	15
60	не знает	4	15
61	в этой	3	15
62	она не	4	14
63	нет ничего	2	14
64	так как	20	14
65	та же	3	13
66	и на	5	13
67	друг друга	6	13
68	и вот	1	13
69	в них	9	12
70	он сам	2	12
71	к нему	7	12
72	но не	8	12
73	в человеке	4	12
74	это не	2	12
75	все это	4	12
76	и к	5	11
77	любовь к	1	11
78	с тем	9	11
79	уже не	11	11
80	хотя бы	3	11
81	духа и	1	11
82	в которой	9	11
83	был бы	2	11
84	только в	29	11
85	как в	17	11
86	и там	1	11
87	но это	9	11
88	жизни и	3	11
89	то же	35	10
90	и свобода	1	10
91	так же	6	10
92	для человека	8	10
93	один из	7	10
94	должна быть	2	10
95	не могут	7	10
96	не имеет	10	10
97	это и	2	10
98	связана с	1	10
99	в самой	1	10
100	человека к	1	10
101	есть не	9	10
102	все что	4	9
103	к тому	9	9
104	не мог	1	9
105	должно быть	9	9
106	что и	16	9
107	xix века	1	9
108	человек и	2	9
109	я не	1	9
110	не будет	4	9
111	он уже	1	9
112	то есть	53	9
113	с ним	10	9
114	вместе с	22	9
115	в свою	6	9
116	и во	1	9
117	свободу и	1	9
118	образ и	6	9
119	бы и	4	9
120	есть уже	13	9
121	есть и	3	9
122	а в	14	9
123	лишь в	2	9
124	от него	2	8
125	в этих	2	8
126	и с	4	8
127	тем что	13	8
128	человека есть	1	8
129	о том	7	8
130	вопрос о	2	8
131	себя в	1	8
132	что не	12	8
133	человеке и	2	8
134	за пределы	2	8
135	что есть	3	8
136	не так	1	8
137	не знал	1	8
138	того чтобы	5	8
139	отношении к	3	8
140	в человека	1	8
141	человек должен	2	8
142	нет и	2	8
143	с его	1	8
144	ничего не	1	8
145	уже в	10	8
146	мира и	1	8
147	для того	8	8
148	во всем	2	7
149	что человек	4	7
150	не существует	5	7
151	в нашем	1	7
152	что все	5	7
153	точки зрения	4	7
