N	2gram	Voloshinov	Stilisti
1	и в	28	42
2	как бы	19	30
3	не только	10	28
4	и т.п	4	25
5	прежде всего	26	22
6	и т.д	1	21
7	хотя бы	7	18
8	внутренней речи	5	18
9	то же	12	16
10	но и	10	16
11	социального общения	3	14
12	и не	34	14
13	может быть	28	13
14	не может	30	13
15	как и	13	12
16	что мы	3	11
17	мы уже	10	11
18	точки зрения	31	11
19	в этом	28	10
20	в себе	7	10
21	и как	3	10
22	мы должны	9	10
23	как мы	18	10
24	отнюдь не	5	10
25	мы не	9	9
26	при этом	8	9
27	все же	8	9
28	язык и	1	9
29	то что	17	9
30	для того	6	9
31	в то	7	9
32	таким образом	34	8
33	так как	15	8
34	с тем	1	8
35	и это	1	8
36	в ней	8	8
37	что же	10	8
38	с его	9	8
39	ничего не	5	8
40	и на	9	7
41	так и	14	7
42	слов и	1	7
43	мы можем	20	7
44	только в	11	7
45	в которой	5	7
46	зависимости от	4	7
47	и его	22	7
48	потому что	4	7
49	того чтобы	5	7
50	другими словами	5	7
51	и тем	2	7
52	же время	6	7
53	было бы	8	7
54	и той	3	7
55	той же	5	7
56	и от	3	7
57	в зависимости	4	7
58	а не	9	7
59	никогда не	10	7
60	во всех	13	6
61	в его	25	6
62	не в	10	6
63	в нем	7	6
64	в конце	2	6
65	в процессе	5	6
66	но ведь	4	6
67	и так	2	6
68	бы в	2	6
69	точкой зрения	1	6
70	в свою	6	6
71	речи и	2	6
72	с помощью	20	6
73	одно и	1	6
74	в форме	1	6
75	или как	3	6
76	когда мы	2	6
77	в этой	7	6
78	точку зрения	12	6
79	слова в	1	6
80	мы будем	1	6
81	или иной	2	6
82	в области	4	6
83	в самом	12	5
84	связанных с	4	5
85	то есть	1	5
86	уже в	3	5
87	и их	2	5
88	с точки	15	5
89	те же	9	5
90	не является	7	5
91	все время	4	5
92	внутренняя речь	4	5
93	самом деле	14	5
94	но все	2	5
95	и с	10	5
96	но в	13	5
97	тому что	5	5
98	мы никогда	2	5
99	вместе с	5	5
100	точек зрения	1	5
101	того или	1	5
102	а с	2	5
103	мы увидим	4	5
104	и следовательно	3	5
105	слова и	4	5
106	как это	5	5
107	и является	3	5
108	а в	8	5
109	у которого	1	5
110	же самое	2	5
111	в нашем	3	5
112	художественного творчества	1	5
113	в сознании	3	5
114	и то	3	5
115	же мы	3	5
116	обратное влияние	2	5
117	или иного	1	5
118	независимо от	3	5
