N	4gram	Ircho_Kome	slovoVRo
1	в то же время	5	18
2	и т п в	1	8
3	с этой точки зрения	1	2
4	ни в чем не	1	2
5	в то время как	6	2
6	то же время он	1	2
7	до сих пор не	1	2
8	в том случае если	1	1
9	при всем различии в	1	1
10	мы можем судить по	1	1
11	от которого он в	1	1
12	в том что в	1	1
13	сложнее обстоит дело с	1	1
14	в связи с этим	1	1
15	в основе его лежит	1	1
16	в том числе и	1	1
17	в том что он	4	1
18	бы то ни было	4	1
19	в целом ряде случаев	1	1
20	в большинстве случаев не	1	1
21	так же как и	1	1
