N	2gram	Losev_Vlad	RusskieA
1	и в	56	79
2	в том	26	64
3	том что	22	59
4	что в	24	57
5	не только	35	41
6	а а	7	40
7	во время	4	38
8	так как	11	34
9	и другие	2	33
10	в этом	30	33
11	как бы	5	31
12	но и	26	31
13	новый год	1	30
14	в других	1	30
15	в и	1	30
16	и п	1	30
17	как и	7	28
18	и на	7	28
19	может быть	12	28
20	в этот	5	26
21	и м	3	25
22	а н	14	25
23	одна из	1	24
24	о том	13	23
25	с в	6	23
26	и т	3	23
27	при этом	5	22
28	т д	3	21
29	там же	24	20
30	это не	3	20
31	е в	7	20
32	а в	20	20
33	как мы	17	20
34	из них	3	19
35	все это	7	18
36	с тем	4	17
37	таким образом	6	17
38	то что	30	17
39	вместе с	9	17
40	об этом	13	17
41	потому что	16	17
42	во многих	2	16
43	мы не	2	16
44	будто бы	2	15
45	один из	4	15
46	в них	5	14
47	и с	27	14
48	не менее	9	14
49	тем не	8	14
50	как это	11	14
51	и что	11	14
52	мы видели	1	14
53	и не	33	14
54	для нас	9	14
55	у нас	11	14
56	в день	1	13
57	уже не	6	13
58	к этому	11	13
59	так что	13	13
60	и по	10	13
61	как в	6	13
62	в которых	1	13
63	еще не	2	13
64	не может	12	13
65	тем что	2	12
66	этом случае	1	12
67	мы имеем	2	12
68	в виде	4	12
69	в дом	1	11
70	мы увидим	4	11
71	не имеет	2	11
72	но это	6	11
73	а на	1	11
74	далеко не	1	11
75	что на	2	11
76	все же	11	10
77	так например	3	10
78	представляет собой	1	10
79	том чтобы	4	10
80	его в	3	10
81	что и	6	10
82	в течение	13	10
83	так и	11	10
84	или в	1	10
85	а также	12	10
86	по существу	4	10
87	и других	2	10
88	то же	10	9
89	о чем	6	9
90	видно что	5	9
91	что они	4	9
92	к жизни	2	9
93	п с	1	9
94	с ней	3	9
95	и все	8	9
96	того как	2	9
97	том же	4	9
98	но в	19	9
99	в русском	2	9
100	в г	2	9
101	но не	5	9
102	одно из	1	8
103	в этих	5	8
104	представление о	2	8
105	что по	1	8
106	так же	4	8
107	после этого	2	8
108	связи с	7	8
109	на себя	3	8
110	во всех	4	8
111	что это	2	8
112	их в	3	8
113	в россии	7	8
114	того чтобы	4	8
115	как например	1	8
116	состояла в	1	8
117	того что	6	8
118	ее в	1	8
119	в данном	1	8
120	как уже	2	8
121	для того	4	8
122	же в	3	8
123	в это	6	7
124	в руках	1	7
125	настоящее время	2	7
126	в своем	10	7
127	на них	1	7
128	к нему	6	7
129	а и	1	7
130	не в	12	7
131	а с	5	7
132	было бы	7	7
133	главным образом	5	7
134	только в	11	7
135	еще в	5	7
136	это время	7	7
137	из этих	5	7
138	а не	5	7
139	н а	1	7
140	начиная с	3	7
141	до конца	8	7
142	в настоящее	2	7
143	ничего не	4	7
144	и как	7	7
145	мы должны	3	7
146	по этому	3	7
147	как будто	2	7
148	в эти	14	7
149	пишет в	2	7
150	в году	54	6
151	к тому	5	6
152	что этот	4	6
153	выше мы	3	6
154	только на	3	6
155	но они	1	6
156	в одном	2	6
157	что она	2	6
158	после того	2	6
159	в качестве	7	6
160	чем в	2	6
161	в разные	1	6
162	в таком	2	6
163	тому что	1	6
164	также в	1	6
165	на земле	2	6
166	и у	4	6
167	на этом	3	6
168	многих случаях	1	6
169	в этой	4	6
170	в нем	7	6
171	видели что	1	6
172	должен был	3	6
173	в в	4	6
174	с ними	2	6
175	и более	1	6
176	что здесь	2	6
177	друг друга	3	6
178	и пр	1	6
179	в первый	2	6
180	не будем	3	6
181	в их	2	6
182	на нее	1	6
183	все эти	6	6
184	так в	1	6
185	связаны с	1	6
186	она не	3	6
187	но она	4	6
188	этому поводу	2	6
189	и о	6	6
190	при изучении	1	6
191	и к	10	5
192	в разных	1	5
193	например в	1	5
194	тогда как	1	5
195	г в	3	5
196	с этим	3	5
197	вопрос о	1	5
198	с другой	3	5
199	связь между	1	5
200	к ним	1	5
201	по поводу	15	5
202	с целью	1	5
203	не было	12	5
204	как объяснить	1	5
205	под окнами	1	5
206	в связи	9	5
207	мы уже	8	5
208	в тех	3	5
209	в москве	13	5
210	в последний	3	5
211	и др	1	5
212	петра i	3	5
213	в то	15	5
214	прежде всего	5	5
215	нет никаких	2	5
216	в особенности	4	5
217	тогда когда	1	5
218	с ним	10	5
219	для них	2	5
220	что он	22	5
221	ничего общего	1	5
222	то и	3	5
223	в свою	3	5
224	к себе	2	5
225	заметить что	2	5
226	но если	1	5
227	и для	4	5
228	тот же	7	5
229	в его	18	5
230	на самом	1	5
231	или даже	1	5
232	к вам	1	5
233	и потому	8	5
234	отнюдь не	3	5
235	не с	1	5
236	в целом	3	5
237	вплоть до	4	5
238	во всем	4	4
239	кроме того	12	4
240	не столько	4	4
241	в своих	7	4
242	но все	3	4
243	именно в	4	4
244	всякого рода	3	4
245	во всяком	8	4
246	в котором	10	4
247	но эти	1	4
248	в домах	1	4
249	не что	2	4
250	на лето	1	4
251	под названием	5	4
252	во всей	1	4
253	от них	1	4
254	не просто	1	4
255	и из	5	4
256	влияние на	1	4
257	что у	4	4
258	что иное	2	4
259	она в	1	4
260	несмотря на	7	4
261	не соответствует	1	4
262	как можно	1	4
263	но он	7	4
264	а за	3	4
265	не был	6	4
266	мы приведем	3	4
267	здесь мы	4	4
268	тем и	1	4
269	ко времени	2	4
270	же а	1	4
271	природы и	2	4
272	что для	5	4
273	в доме	7	4
274	и от	6	4
275	для объяснения	1	4
276	своего рода	1	4
277	и здесь	3	4
278	та же	1	4
279	за ним	1	4
280	по всем	3	4
281	если в	1	4
282	в основном	5	4
283	и при	2	4
284	и другим	1	4
285	не на	1	4
286	то время	6	4
287	он же	2	4
288	и до	4	4
289	связанных с	1	4
290	и а	2	4
291	на две	1	4
292	этого слова	1	4
293	всяком случае	8	4
294	у них	2	4
295	и после	1	4
296	и многие	1	4
297	уже в	9	4
298	на кладбище	1	4
299	его и	2	4
300	пишет что	1	4
301	в таких	1	4
302	по своему	5	4
303	а к	24	4
304	в ней	5	4
305	дело не	3	4
306	к тем	1	4
