N	2gram	Tiupa_Teor	Dialekti
1	не есть	1	181
2	и не	17	120
3	по себе	2	79
4	а не	14	78
5	и в	24	77
6	точки зрения	11	72
7	может быть	22	71
8	не только	24	66
9	то что	6	59
10	и есть	1	55
11	не может	8	53
12	и даже	2	47
13	с точки	3	46
14	что это	1	46
15	так как	1	46
16	потому что	3	45
17	не просто	2	44
18	как бы	8	43
19	и что	4	42
20	ни в	5	42
21	не имеет	1	41
22	вовсе не	3	41
23	в том	20	40
24	в этом	12	39
25	то же	12	39
26	что такое	2	39
27	что она	2	38
28	в себе	14	38
29	что он	4	37
30	том что	11	37
31	прежде всего	3	37
32	так что	1	36
33	это не	4	36
34	– в	20	35
35	и –	3	35
36	что в	10	34
37	в нем	7	34
38	– не	4	33
39	того что	5	33
40	но и	14	32
41	он –	1	31
42	все это	2	31
43	сказать что	4	30
44	отнюдь не	3	30
45	и как	3	30
46	было бы	1	29
47	так и	14	29
48	как и	6	28
49	никогда не	4	27
50	в виду	5	26
51	крайней мере	1	26
52	не в	9	26
53	– это	33	26
54	по крайней	1	26
55	сама по	2	26
56	говорить о	4	25
57	и то	3	25
58	и пр	1	25
59	есть не	1	25
60	если бы	3	24
61	таким образом	3	23
62	в то	9	23
63	это и	2	23
64	и вот	3	23
65	я не	2	22
66	но –	2	22
67	что не	1	21
68	в чем	2	21
69	личности и	4	21
70	она не	1	21
71	о том	2	20
72	что и	2	20
73	что все	1	20
74	в таком	3	20
75	только в	9	20
76	– как	2	20
77	в каком	2	20
78	совершенно не	1	20
79	уже не	6	20
80	как раз	3	20
81	в самом	7	19
82	не менее	6	19
83	не существует	1	19
84	в своем	7	19
85	и притом	3	19
86	и это	2	19
87	как это	10	19
88	миф –	1	19
89	и его	11	19
90	же время	8	18
91	не что	1	18
92	с другой	9	18
93	что иное	1	18
94	жизни и	1	18
95	иное как	1	18
96	в особенности	1	17
97	можно сказать	5	17
98	в сущности	1	17
99	той или	3	17
100	должно быть	1	17
101	в основе	6	17
102	но если	1	17
103	одно и	2	16
104	к нему	2	16
105	только не	3	16
106	тем не	3	16
107	в своей	8	16
108	да и	1	16
109	об этом	2	16
110	же и	1	15
111	– тогда	1	15
112	все же	1	15
113	так же	2	15
114	– и	2	15
115	то в	2	15
116	несмотря на	2	15
117	но только	1	15
118	самом деле	2	15
119	хотя и	4	15
120	сознания и	1	15
121	личности в	4	15
122	также и	1	15
123	быть и	2	15
124	и о	5	15
125	на то	1	15
126	а именно	3	14
127	с ним	1	14
128	– все	3	14
129	не было	1	14
130	д и	1	14
131	и ее	4	14
132	таком случае	2	14
133	жизнь и	1	14
134	и потому	3	14
135	и только	1	14
136	и к	3	13
137	говорит о	1	13
138	другой стороны	6	13
139	отличается от	2	13
140	что они	2	13
141	он не	5	13
142	в силу	4	13
143	с ее	4	13
144	но в	12	13
145	субъекта и	4	13
146	собственно говоря	2	13
147	и объекта	1	12
148	оно –	1	12
149	именно в	3	12
150	с этим	1	12
151	вопрос о	1	12
152	не говорит	1	12
153	но как	2	12
154	но не	13	12
155	могут быть	5	12
156	иной раз	1	12
157	никак не	1	12
158	не могут	2	12
159	перед нами	3	12
160	еще не	6	12
161	все эти	3	12
162	тем более	2	12
163	и может	1	12
164	и жизни	1	12
165	а в	15	12
166	в них	2	11
167	от всего	1	11
168	в данном	9	11
169	только на	2	11
170	и тем	5	11
171	из них	1	11
172	тех или	3	11
173	мы говорим	1	11
174	мы имеем	7	11
175	или в	3	11
176	есть в	3	11
177	только то	1	11
178	в душе	9	10
179	с этой	3	10
180	одно из	1	10
181	в результате	1	10
182	в жизни	3	10
183	к тому	4	10
184	для того	5	10
185	на себе	1	10
186	мы видим	1	10
187	то или	1	10
188	в ее	6	10
189	от этого	1	10
190	себе и	1	10
191	и для	3	10
192	или иное	1	10
193	что для	1	10
194	чтобы не	2	10
195	содержит в	1	10
196	за пределы	2	10
197	оно не	2	10
198	то и	1	10
199	времени и	2	10
200	если мы	2	10
201	только о	2	10
202	в его	12	10
203	в их	4	10
204	это было	2	10
205	в частности	23	10
206	как мы	1	10
207	бытия и	1	10
208	как будто	2	10
209	может и	2	10
210	мир как	1	9
211	при этом	20	9
212	тому что	2	9
213	случае не	2	9
214	не как	1	9
215	быть может	1	9
216	в этих	4	9
217	и на	2	9
218	в котором	1	9
219	в противоположность	3	9
220	ничто не	1	9
221	в одном	3	9
222	превращается в	2	9
223	же как	1	9
224	бы в	1	9
225	на этом	2	9
226	иметь в	1	9
227	общего с	1	9
228	и по	3	9
229	была бы	3	9
230	подобно тому	3	9
231	с ними	2	9
232	то время	1	9
233	и более	1	9
234	той же	1	9
235	и от	1	9
236	или иной	7	9
237	в истории	1	9
238	та или	1	9
239	тому как	3	9
240	от него	1	8
241	даже в	3	8
242	в отношении	4	8
243	при условии	2	8
244	чего не	1	8
245	себя в	7	8
246	с одной	3	8
247	ни от	1	8
248	или иная	1	8
249	не будет	3	8
250	этом смысле	3	8
251	в этой	3	8
252	или иначе	6	8
253	в одной	1	8
254	один из	2	8
255	не на	4	8
256	когда мы	1	8
257	в сфере	1	8
258	в поэзии	2	8
259	у нас	2	8
260	– то	2	8
261	и без	1	8
262	только и	2	8
263	того или	6	8
264	но она	2	8
265	личность как	1	8
266	если она	1	8
267	все что	1	7
268	вещи в	1	7
269	тем что	1	7
270	зависимости от	1	7
271	но он	4	7
272	мира и	4	7
273	на первый	1	7
274	не всегда	2	7
275	не сама	2	7
276	точно так	1	7
277	личность и	1	7
278	думаю что	1	7
279	от себя	3	7
280	и сама	1	7
281	связи с	3	7
282	не знает	4	7
283	в конце	2	7
284	в связи	3	7
285	в мире	26	7
286	а только	4	7
287	то ни	2	7
288	его как	1	7
289	даже если	1	7
290	его с	1	7
291	из которых	2	7
292	так или	5	7
293	заключается в	2	7
294	отношения к	4	7
295	как в	5	7
296	со стороны	6	7
297	только одно	1	7
298	в сравнении	1	7
299	и больше	2	7
300	для меня	2	7
301	с его	6	7
302	он должен	3	7
303	есть нарушение	1	7
304	и где	1	7
305	и я	1	7
306	и их	1	7
307	из этих	3	7
308	тем самым	6	7
309	– только	3	7
310	нуждается в	1	7
311	эти два	1	7
312	более не	2	6
313	о чем	3	6
314	более или	6	6
315	одной стороны	3	6
316	в другом	4	6
317	в себя	5	6
318	если нет	1	6
319	в зависимости	1	6
320	одна из	1	6
321	коем случае	2	6
322	– во	1	6
323	во всех	3	6
324	она и	1	6
325	по своей	8	6
326	в которой	3	6
327	я и	2	6
328	можно было	1	6
329	смысла и	1	6
330	друг другу	1	6
331	с тем	1	6
332	вместе с	2	6
333	никто не	3	6
334	себя и	2	6
335	может не	1	6
336	о котором	1	6
337	еще и	2	6
338	ни к	3	6
339	того чтобы	5	6
340	не быть	1	6
341	на основании	1	6
342	мог бы	3	6
343	не будучи	1	6
344	для него	5	6
345	они не	1	6
346	внутреннее и	1	6
347	в коем	2	6
348	того и	1	6
349	сравнении с	1	6
350	ее в	2	6
351	с их	2	6
352	но с	1	6
353	по существу	1	6
354	чтобы быть	1	6
355	и религии	1	6
356	по своему	4	6
357	его в	4	6
358	или менее	6	6
359	бы ни	1	6
360	мере в	1	6
361	может иметь	1	6
362	дело не	2	6
363	но я	1	6
364	не с	3	6
365	стороны и	1	6
366	при всем	2	6
367	этой точки	2	6
368	отношение к	7	6
369	и прежде	2	6
370	для этого	1	6
371	и совершенно	1	6
372	в той	2	5
373	или –	1	5
374	их не	1	5
375	в своих	1	5
376	именно о	1	5
377	если он	1	5
378	например в	3	5
379	что по	1	5
380	их в	3	5
381	в одно	2	5
382	тем или	2	5
383	в это	1	5
384	речь идет	2	5
385	е о	2	5
386	не обязательно	3	5
387	я думаю	1	5
388	смысле не	1	5
389	как я	1	5
390	нет никаких	1	5
391	уже по	1	5
392	и становится	1	5
