N	3gram	Trubetskoy	StatiiOP
1	в том что	3	47
2	о том что	4	29
3	в этом отношении	2	24
4	для того чтобы	5	19
5	до сих пор	5	19
6	с точки зрения	6	14
7	с другой стороны	1	13
8	во всяком случае	6	13
9	не может быть	1	11
10	в самом деле	1	9
11	то же время	2	9
12	вместе с тем	8	9
13	на то что	2	9
14	в то же	2	9
15	тем не менее	3	8
16	не в том	1	7
17	в конце концов	3	7
18	в этой области	1	7
19	в данном случае	1	7
20	но все же	4	7
21	в то время	1	7
22	и в этом	2	7
23	так же как	3	6
24	по отношению к	1	6
25	так и в	1	6
26	не только не	1	6
27	речь идет о	1	6
28	по крайней мере	5	6
29	в одном из	1	6
30	с тем что	1	5
31	тем что в	1	5
32	тот факт что	1	5
33	с самого начала	2	5
34	после того как	1	5
35	то что он	2	4
36	так или иначе	3	4
37	сами по себе	1	4
38	с одной стороны	7	4
39	ничего общего с	2	4
40	тем или иным	1	4
41	что в этой	1	4
42	в связи с	3	4
43	иметь в виду	1	4
44	что и в	1	4
45	о том как	1	3
46	можно сказать что	2	3
47	то или иное	2	3
48	в том числе	5	3
49	совершенно так же	1	3
50	более или менее	5	3
51	виде в каком	1	3
52	сказать что в	1	3
53	таким образом в	2	3
54	а с другой	5	3
55	к тому же	4	3
56	на этот раз	1	3
57	но все это	2	3
58	бы то ни	2	3
59	и только в	1	3
60	это связано с	1	3
61	состоит в том	1	3
62	в прямом смысле	1	3
63	в первую очередь	1	3
64	всяком случае не	3	3
65	что в области	1	3
66	в котором он	1	2
67	но вместе с	2	2
68	в эту эпоху	1	2
69	и в результате	1	2
70	не представляется возможным	1	2
71	что мы знаем	1	2
72	все более и	1	2
73	а между тем	1	2
74	том числе и	4	2
75	и вместе с	4	2
76	точно так же	3	2
77	и в то	1	2
78	а потому что	1	2
79	в отличие от	1	2
80	что в этом	1	2
81	то ни было	2	2
82	не может не	1	2
83	то же самое	2	2
84	с тех пор	2	2
85	только тогда когда	1	2
86	в свою очередь	1	2
87	чуть ли не	1	2
88	той или иной	2	2
89	что это есть	1	2
90	русский народ в	1	2
91	вследствие того что	1	2
92	и что он	1	2
93	более и более	1	2
94	в настоящее время	1	2
95	в каком он	1	2
96	но в то	1	2
97	мы имеем в	1	2
98	не смотрел на	1	2
99	всяком случае в	1	2
100	но с другой	1	2
101	может быть и	2	2
102	между народом и	1	1
103	и только тогда	1	1
104	некоторые из них	2	1
105	и это слово	1	1
106	в этом направлении	1	1
107	с первого взгляда	1	1
108	из двух или	1	1
109	по сравнению с	2	1
110	и никогда не	1	1
111	с этой точки	2	1
112	нет в нем	1	1
113	таким образом уже	1	1
114	а в том	1	1
115	потому что в	1	1
116	свидетельствует о том	1	1
117	могло бы быть	1	1
118	на русскую почву	1	1
119	том виде в	2	1
120	его жизнь в	1	1
121	и некоторые другие	1	1
122	он не имеет	2	1
123	таким образом при	1	1
124	не потому что	1	1
125	таким образом если	2	1
126	смысле этого слова	1	1
127	то что эти	1	1
128	одно из таких	1	1
129	и сами по	1	1
130	камня на камне	1	1
131	в то что	1	1
132	и таким образом	3	1
133	на пути к	2	1
134	в соответствии с	1	1
135	что в таком	1	1
136	не всегда и	1	1
137	в которых он	1	1
138	в народных массах	1	1
139	одно из двух	1	1
140	только то что	1	1
141	это однако не	1	1
142	здесь идет речь	1	1
143	с отвлеченным значением	1	1
144	с нашей точки	1	1
145	именно в виде	1	1
146	сих пор не	1	1
147	было очень мало	1	1
148	даже там где	1	1
149	и потому что	2	1
150	друг к другу	1	1
151	каждая из этих	1	1
152	надо иметь в	1	1
153	в значительной мере	2	1
154	не для одной	1	1
155	все что мы	1	1
156	тем фактом что	1	1
157	и далее в	1	1
158	нашей точки зрения	1	1
159	так как по	1	1
160	не совсем так	1	1
161	может быть даже	2	1
162	и не потому	1	1
163	этой точки зрения	2	1
164	еще при жизни	1	1
165	в этом целом	1	1
166	в так называемой	1	1
167	на русской почве	2	1
168	в общем немало	1	1
169	его не представляется	1	1
170	следует заметить что	1	1
171	был сделан в	1	1
172	в эту сторону	1	1
173	не имеет никакого	1	1
174	лишь то что	1	1
175	но в конце	1	1
176	что и у	1	1
177	мы видели выше	1	1
178	но в общем	1	1
179	и так и	1	1
180	после его смерти	2	1
181	на них как	1	1
182	атмосферу в которой	1	1
183	кого больше не	1	1
184	них как на	1	1
185	сих пор еще	2	1
186	в связь с	1	1
187	ясно что и	1	1
188	и все же	1	1
189	все это было	1	1
190	в том виде	2	1
191	при таких условиях	1	1
