N	3gram	Ircho_Kome	VerxiiNi
1	вместе с тем	5	8
2	с одной стороны	4	7
3	с точки зрения	6	6
4	во всяком случае	3	6
5	друг с другом	3	5
6	по крайней мере	1	5
7	до сих пор	12	5
8	для того чтобы	8	5
9	в том числе	2	5
10	более или менее	2	5
11	том числе и	2	4
12	но все же	3	4
13	о том что	7	4
14	к тому же	9	4
15	в том что	15	3
16	в конце концов	3	3
17	так же как	1	3
18	главным образом в	1	3
19	в связи с	3	3
20	точно так же	1	3
21	тем не менее	3	3
22	так или иначе	3	3
23	ничего общего с	1	2
24	то что он	1	2
25	на то что	1	2
26	сих пор еще	1	2
27	на пути к	2	2
28	таким образом в	1	2
29	с самого начала	5	2
30	то ясно что	1	2
31	может быть даже	1	2
32	но вместе с	1	2
33	то ни было	3	2
34	этой точки зрения	1	2
35	то же самое	3	2
36	к одной из	1	2
37	по сравнению с	3	2
38	можно сказать что	1	2
39	бы то ни	3	2
40	в этом отношении	2	2
41	то же время	11	2
42	в том виде	1	2
43	в то же	11	2
44	с этой точки	1	2
45	друг на друга	1	2
46	таким образом если	1	2
47	и в этом	1	2
48	как бы то	2	2
49	начинается с того	1	1
50	так и в	1	1
51	на каждом шагу	1	1
52	что и у	1	1
53	или иначе связанные	1	1
54	у него в	1	1
55	но при этом	1	1
56	сих пор не	2	1
57	в силу этого	1	1
58	в первом случае	1	1
59	отличаются от людей	1	1
60	точки зрения того	1	1
61	потому что в	2	1
62	именно потому что	2	1
63	в свою очередь	10	1
64	найти его в	1	1
65	в его героях	1	1
66	и тот же	3	1
67	в настоящее время	1	1
68	по своему характеру	1	1
69	чуть ли не	2	1
70	не отличаются от	1	1
71	ни один из	1	1
72	речь идет о	3	1
73	в этой области	1	1
74	в соответствии с	1	1
75	сих пор были	1	1
76	не может быть	1	1
77	по отношению к	4	1
78	и в то	2	1
79	ней и не	1	1
80	мы имеем в	2	1
81	и все же	2	1
82	нет ничего кроме	1	1
83	в отличие от	3	1
84	и никогда не	1	1
85	ничем не отличаются	1	1
86	же что и	1	1
87	из всех богов	1	1
88	после того как	3	1
89	из них не	1	1
90	в первую очередь	2	1
91	примыкает именно к	1	1
92	и того же	1	1
93	не имеет больше	1	1
94	один и тот	3	1
95	в так называемом	1	1
96	на задний план	1	1
97	имеем в виду	2	1
98	сам он не	1	1
99	прежде всего отдать	1	1
100	по целому ряду	1	1
101	на этот раз	2	1
102	в самом деле	13	1
103	в котором он	1	1
104	к этому что	1	1
105	состоит в том	2	1
106	лицом к лицу	1	1
107	как бы в	1	1
108	но не следует	1	1
109	с другой стороны	2	1
110	целый ряд черт	2	1
111	к нему в	1	1
112	о том как	5	1
113	по тому же	1	1
114	иначе связанные с	1	1
115	к лицу с	1	1
116	в то время	3	1
117	тому же пути	1	1
118	обстоит дело с	3	1
119	но не всегда	1	1
120	в которых этот	1	1
121	что и в	2	1
122	ввести в заблуждение	1	1
123	из этих слов	1	1
124	а с точки	1	1
125	одного и того	1	1
126	да и сами	1	1
127	всего отдать себе	1	1
128	и здесь не	1	1
129	на первое место	1	1
