N	2gram	Trubetskoy	FransuaR
1	и в	24	367
2	то есть	2	209
3	в этом	13	112
4	и не	9	101
5	таким образом	34	100
6	и его	2	99
7	в его	5	98
8	прежде всего	3	92
9	не только	10	87
10	мы уже	4	85
11	но и	11	84
12	как бы	10	82
13	все эти	19	79
14	вовсе не	2	77
15	как и	10	76
16	в нем	3	75
17	но в	5	75
18	и на	6	72
19	в том	31	71
20	как мы	3	71
21	то же	4	66
22	и все	9	66
23	в них	2	65
24	в этой	7	65
25	так и	10	65
26	и с	5	64
27	в сущности	2	64
28	в то	6	63
29	во всех	10	62
30	все это	13	62
31	же время	2	55
32	что в	9	52
33	в своем	12	51
34	только в	6	48
35	так как	7	46
36	и до	3	46
37	том что	20	45
38	уже говорили	1	44
39	то что	18	41
40	у него	5	40
41	жизни и	2	40
42	в самом	8	38
43	точки зрения	14	37
44	в ней	3	37
45	с его	1	36
46	о том	7	35
47	может быть	17	35
48	мы видим	1	35
49	сказать что	1	34
50	и даже	1	34
51	в себе	5	34
52	рядом с	1	32
53	мы видели	2	32
54	в конце	4	32
55	он не	4	32
56	для него	2	32
57	до конца	1	31
58	связаны с	1	31
59	в своей	1	31
60	так же	8	30
61	но он	1	30
62	один из	1	30
63	потому что	9	30
64	той же	2	30
65	и потому	3	30
66	никогда не	4	30
67	в духе	1	29
68	еще не	6	29
69	связи с	4	29
70	в этих	3	29
71	что он	7	29
72	не может	18	29
73	при этом	9	29
74	его в	5	29
75	не в	9	29
76	и к	5	28
77	из них	5	28
78	всех этих	4	28
79	также и	2	28
80	в основе	2	28
81	и другие	1	27
82	сих пор	15	27
83	до сих	15	27
84	том числе	1	27
85	все же	15	27
86	по своему	5	27
87	роль в	1	27
88	и их	5	27
89	кроме того	1	26
90	все они	6	26
91	на самом	7	25
92	в области	4	25
93	он и	1	24
94	но не	3	24
95	например в	1	24
96	в ее	1	24
97	и у	4	24
98	и от	5	24
99	как в	1	24
100	того чтобы	8	24
101	в частности	2	24
102	отношение к	4	24
103	с ним	6	23
104	и для	6	23
105	в их	4	23
106	к нему	2	23
107	это не	3	23
108	еще и	1	23
109	даже в	3	22
110	не было	2	22
111	а в	3	22
112	тем что	1	22
113	что и	7	22
114	и других	3	22
115	поэтому и	1	22
116	вместе с	7	22
117	в своих	2	21
118	именно в	5	21
119	культуры и	11	21
120	в отношении	1	21
121	уже в	1	21
122	и как	1	21
123	есть в	2	21
124	в качестве	1	21
125	одним из	4	21
126	в себя	2	21
127	что это	5	21
128	и наконец	3	21
129	в виду	2	20
130	в связи	3	20
131	и это	3	20
132	в значительной	1	20
133	с точки	8	20
134	они были	1	20
135	самом деле	12	20
136	во всем	3	19
137	их в	2	19
138	к этому	5	19
139	в эту	2	19
140	того же	9	19
141	было бы	3	19
142	с ее	2	19
