N	4gram	Bakhtin_Pr	Russkaja
1	в то же время	3	10
2	во что бы то	1	3
3	что бы то ни	1	3
4	бы то ни стало	1	3
5	в том и в	1	2
6	или в лучшем случае	1	2
7	и в том и	1	2
8	том и в другом	1	2
9	бы то ни было	2	1
10	ни к чему не	1	1
11	дело в том что	1	1
12	и с точки зрения	1	1
13	отнюдь не может быть	1	1
14	о которых идет речь	1	1
15	по отношению ко всякой	1	1
16	но в то же	1	1
17	то же время она	1	1
18	той или иной культурной	1	1
19	несмотря на то что	1	1
20	и не может быть	1	1
21	на том основании что	1	1
