N	2gram	Bakhtin_Pr	VelikijI
1	и не	41	20
2	и в	83	16
3	так как	12	9
4	то что	14	9
5	в истории	4	8
6	еще не	10	8
7	и потому	6	7
8	что они	2	7
9	а не	19	7
10	на земле	14	7
11	человека и	10	6
12	не есть	1	6
13	что есть	1	5
14	хотя и	10	5
15	того что	1	5
16	все это	11	5
17	как бы	27	5
18	бога и	2	5
19	на себя	3	5
20	великом инквизиторе	1	5
21	в мире	8	5
22	но и	16	5
23	все что	1	4
24	в котором	8	4
25	в этом	24	4
26	что мы	2	4
27	потому что	9	4
28	в его	15	4
29	и свободного	1	4
30	в ней	8	4
31	так и	9	4
32	это еще	2	4
33	говорить о	2	4
34	и есть	1	4
35	и все	14	4
36	что не	1	4
37	в образе	3	4
38	что все	3	4
39	как и	13	4
40	что он	6	4
41	в нем	21	4
42	о великом	1	4
43	во всех	15	3
44	что в	5	3
45	нет ничего	3	3
46	бы и	3	3
47	за ним	1	3
48	то это	4	3
49	и сильных	1	3
50	в конце	5	3
51	должно быть	4	3
52	хотя бы	6	3
53	в том	22	3
54	любовь к	4	3
55	тому что	1	3
56	личности и	2	3
57	не в	10	3
58	и что	3	3
59	что и	4	3
60	ни в	4	3
61	они в	1	3
62	превращается в	5	3
63	в этих	8	3
64	в абсолютном	1	3
65	в них	4	3
66	не было	5	3
67	лишь в	1	3
68	в жизни	14	3
69	что я	2	3
70	человечества и	1	3
71	и они	4	3
72	их в	3	3
73	в своей	5	3
74	должна быть	1	3
75	с его	4	3
76	от этого	1	3
77	не имеет	1	3
78	но это	7	3
79	и для	5	3
80	жизни и	13	3
81	в чем	1	3
82	все эти	9	3
83	тот же	2	3
84	но в	12	3
85	к тому	2	3
86	никогда не	10	3
87	людей в	2	3
88	чтобы сделать	1	2
89	что было	2	2
90	всего в	1	2
91	тоска по	1	2
92	государства и	1	2
93	во всяком	2	2
94	от него	3	2
95	материалом для	1	2
96	уже на	4	2
97	ее и	1	2
98	один из	7	2
99	мы и	4	2
100	не могли	2	2
101	в последнем	1	2
102	они и	3	2
103	а остальные	1	2
104	свободе о	1	2
105	которые не	2	2
106	чтобы овладеть	1	2
107	это не	10	2
108	земли и	1	2
109	это все	2	2
110	между тем	2	2
111	не только	14	2
112	и над	1	2
113	для него	1	2
114	что истина	1	2
115	вот почему	1	2
116	человека как	1	2
117	ивана карамазова	4	2
118	их жизнь	2	2
119	и тогда	1	2
120	с ним	3	2
121	выше всего	2	2
122	на этих	1	2
123	под разными	4	2
124	но теперь	2	2
125	ее в	4	2
126	и то	2	2
127	не с	1	2
128	прежде всего	20	2
129	для них	2	2
130	можно было	2	2
131	в форме	6	2
132	людей и	6	2
133	а между	3	2
134	и это	3	2
135	от этих	1	2
136	мы не	7	2
137	конечно не	11	2
138	и теперь	1	2
139	только в	10	2
140	все равно	6	2
141	а с	1	2
142	людей что	1	2
143	а в	4	2
144	до того	1	2
145	в духе	10	2
146	истории и	2	2
147	и сам	1	2
148	я думаю	1	2
149	нет и	3	2
150	но не	9	2
151	и никогда	2	2
152	тем что	2	2
153	вера в	1	2
154	легенда о	1	2
155	духа и	1	2
156	и во	6	2
157	судьбе человечества	1	2
158	могут быть	5	2
159	одна из	9	2
160	мы слышим	4	2
161	свободной и	1	2
162	не могут	4	2
163	да и	3	2
164	есть уже	1	2
165	том что	9	2
166	но мы	1	2
167	в себя	8	2
168	нем нет	3	2
169	что их	1	2
170	уже не	5	2
171	не к	3	2
172	от своей	2	2
173	людей не	1	2
174	свобода и	1	1
175	всем людям	1	1
176	жизни но	1	1
177	и мир	1	1
178	с которыми	1	1
179	в самом	7	1
180	во всем	5	1
181	ли они	1	1
182	мире и	2	1
183	перестает быть	1	1
184	в образах	1	1
185	могли бы	2	1
186	связь с	4	1
187	и другие	14	1
188	то есть	86	1
189	его личности	1	1
190	гораздо шире	1	1
191	только себя	1	1
192	истина и	1	1
193	а потому	1	1
194	и пусть	2	1
195	человека в	6	1
196	но как	2	1
197	все в	3	1
198	в окончательном	1	1
199	и уничтожающий	1	1
200	это одна	1	1
201	мы видим	2	1
202	и самое	2	1
203	если оно	3	1
204	самой жизни	2	1
205	для нашего	1	1
206	это тот	1	1
207	с гордостью	1	1
208	человеческой жизни	3	1
209	вообще в	2	1
210	только слово	1	1
211	тоже не	2	1
212	он говорит	1	1
213	и на	27	1
214	ничем не	3	1
215	она и	1	1
216	на части	2	1
217	вопрос о	1	1
218	на этом	4	1
219	же и	1	1
220	может быть	23	1
221	хоть и	1	1
222	чтобы заставить	1	1
223	они не	5	1
224	видим что	1	1
225	после того	1	1
226	между собою	2	1
227	очень важное	3	1
228	к человеку	2	1
229	униженным и	1	1
230	раз и	2	1
231	свое место	1	1
232	здесь есть	1	1
233	если в	2	1
234	дел и	1	1
235	люди которых	1	1
236	под землей	1	1
237	тебе в	1	1
238	указать на	1	1
239	того как	4	1
240	которая в	1	1
241	где есть	1	1
242	мы увидим	1	1
243	и вообще	3	1
244	в роли	2	1
245	и вот	1	1
246	его с	2	1
247	с любовью	1	1
248	она не	4	1
249	но она	3	1
250	уже в	3	1
251	сходятся и	1	1
252	есть прежде	1	1
253	и два	1	1
254	что уже	2	1
255	с этой	1	1
256	то же	10	1
257	и если	4	1
258	для всякого	1	1
259	живет в	3	1
260	и полюбил	1	1
261	свое дело	1	1
262	по сравнению	6	1
263	для того	1	1
264	сложное и	1	1
265	и могли	1	1
266	этом мире	1	1
267	веков все	1	1
268	с жаждой	1	1
269	образ и	1	1
270	сбудется и	1	1
271	нельзя не	1	1
272	освободиться от	1	1
273	и свободе	1	1
274	не для	1	1
275	у самого	1	1
276	и любовь	2	1
277	с каким-то	1	1
278	ушел от	1	1
279	что это	2	1
280	образа в	1	1
281	не всегда	3	1
282	в разных	4	1
283	него в	1	1
284	в глазах	1	1
285	о чем	2	1
286	своей сущности	1	1
287	они только	1	1
288	в ее	3	1
289	смертью и	2	1
290	и тем	4	1
291	важное место	1	1
292	и уже	2	1
293	души и	1	1
294	сознании и	1	1
295	если б	7	1
296	говорит о	2	1
297	нашего времени	1	1
298	как это	2	1
299	чем у	1	1
300	и тут	2	1
301	от этой	1	1
302	мы в	2	1
303	мы все	2	1
304	с ненавистью	2	1
305	что человек	1	1
306	свой предмет	3	1
307	в которую	1	1
308	что люди	1	1
309	истины не	1	1
310	и всегда	2	1
311	более глубокое	3	1
312	в человеке	1	1
313	миру в	1	1
314	есть и	4	1
315	если нет	1	1
316	слова не	2	1
317	что сделал	1	1
318	в одном	4	1
319	у нас	2	1
320	нового времени	8	1
321	и современная	1	1
322	в этой	3	1
323	других людей	2	1
324	со словами	1	1
325	это слово	1	1
326	в результате	2	1
327	природу человека	1	1
328	в виду	3	1
329	другой стороны	3	1
330	человека что	1	1
331	я не	6	1
332	его по	2	1
333	как можно	1	1
334	человека к	3	1
335	уже и	1	1
336	у него	5	1
337	образом по	1	1
338	власти и	2	1
339	не существует	1	1
340	так же	4	1
341	себя от	1	1
342	над ним	1	1
343	не была	2	1
344	не был	3	1
345	но с	2	1
346	и всех	1	1
347	и самые	2	1
348	в своих	4	1
349	карамазова и	1	1
350	является и	1	1
351	их и	1	1
352	формах в	1	1
353	человеческой природы	1	1
354	проявляется и	2	1
355	о возможности	1	1
356	в платоновском	2	1
357	есть перед	2	1
358	и остается	1	1
359	с другой	4	1
360	на разных	1	1
361	конечно в	2	1
362	в которой	2	1
363	его совесть	1	1
364	но все	1	1
365	самыми крайними	1	1
366	и идеи	7	1
367	вот что	2	1
368	и с	10	1
369	наших дней	3	1
370	о мире	1	1
371	к ним	5	1
372	жизнь в	4	1
373	отношение к	14	1
374	ко всем	2	1
375	на нее	1	1
376	жизнь как	1	1
377	он возвестил	1	1
378	идея в	1	1
379	бытия и	5	1
380	в мир	1	1
381	и полное	2	1
382	или даже	1	1
383	но вот	1	1
384	ее но	1	1
385	и ложь	1	1
386	не надо	1	1
387	него не	1	1
388	лишь как	1	1
389	еще с	1	1
390	предощущение небытия	1	1
391	как мы	12	1
392	ведет к	3	1
393	еще недостаточно	3	1
394	и до	6	1
395	в процессе	4	1
396	но прежде	1	1
397	дух в	1	1
398	же они	1	1
399	на высокие	1	1
400	современные люди	1	1
401	близок к	2	1
402	истина не	1	1
403	в последних	2	1
404	царство и	1	1
405	смысле и	3	1
406	царства и	1	1
407	на него	2	1
408	в своем	2	1
409	человек и	2	1
410	это очень	5	1
411	его на	1	1
412	еще и	4	1
413	будем говорить	2	1
414	к жизни	2	1
415	целое и	1	1
416	и от	4	1
417	лишь на	3	1
418	мы будем	3	1
419	их сознания	1	1
420	как она	1	1
421	но дух	1	1
422	ничего не	8	1
423	истины и	3	1
424	с ними	2	1
425	всегда в	1	1
426	им и	1	1
427	к миру	2	1
428	к человеческой	2	1
429	в сознании	2	1
430	и очень	1	1
431	с неверием	1	1
432	ней и	1	1
433	по крайней	2	1
434	человек с	1	1
435	нам уже	3	1
436	о которой	1	1
437	о судьбе	1	1
438	в атмосфере	4	1
439	и так	4	1
440	вместе с	5	1
441	все же	3	1
442	в одно	1	1
443	и вместе	1	1
444	если они	1	1
445	и которые	2	1
446	как в	10	1
447	этого слова	3	1
448	в которых	2	1
449	жизни в	4	1
450	находится в	1	1
451	значение в	4	1
452	по законам	1	1
453	день в	1	1
454	роль в	1	1
455	им в	1	1
456	в высшую	1	1
457	это символ	1	1
458	небом и	2	1
459	будет еще	1	1
460	в словах	2	1
461	христом то	1	1
462	себя и	3	1
463	и по	5	1
464	и могут	2	1
465	менее всего	4	1
466	всем мире	2	1
467	к этому	5	1
468	в их	7	1
469	со своей	2	1
470	и внешней	1	1
471	пуст и	1	1
472	это в	1	1
473	ними как	1	1
474	в двух	3	1
475	сравнению с	6	1
476	мира и	3	1
477	для чего	1	1
478	конце концов	1	1
479	зависимости от	3	1
480	в другие	4	1
481	людям и	2	1
482	таким же	1	1
483	себе и	2	1
484	не просто	1	1
485	он был	1	1
486	слияние с	1	1
487	в целом	3	1
488	их во	1	1
489	им не	1	1
490	крайней мере	2	1
491	жизни не	2	1
492	человек на	1	1
493	в теоретическом	1	1
494	нет бога	2	1
495	и ее	8	1
496	вовсе не	12	1
497	человечества мы	1	1
498	но к	4	1
499	что на	2	1
500	есть не	1	1
501	категории не	1	1
502	бы в	2	1
503	иван карамазов	1	1
504	к нему	3	1
505	освобождается от	1	1
506	слово от	1	1
507	от них	2	1
508	и смерти	3	1
509	идея эта	1	1
