N	2gram	Tiupa_Lite	Tragedij
1	и в	26	18
2	в романе	1	10
3	в этом	19	9
4	в году	18	9
5	не только	29	8
6	и на	5	7
7	и не	19	7
8	может быть	24	7
9	и с	4	7
10	как бы	8	7
11	он сам	2	7
12	что он	8	6
13	у него	5	6
14	ивана петровича	1	6
15	же время	12	6
16	в образе	1	6
17	но в	5	6
18	и его	7	6
19	это не	4	5
20	несмотря на	3	5
21	что это	1	5
22	так и	7	5
23	к жизни	2	5
24	все же	6	5
25	у достоевского	2	5
26	в дальнейшем	1	5
27	то же	13	5
28	как и	13	5
29	не может	10	5
30	в то	12	5
31	а я	2	5
32	что в	7	4
33	в себе	8	4
34	и даже	9	4
35	прежде всего	14	4
36	и все	1	4
37	я не	8	4
38	этот образ	1	4
39	еще не	4	4
40	но и	25	4
41	том что	19	4
42	и что	2	4
43	так же	1	4
44	то что	14	4
45	в этой	7	4
46	что я	4	4
47	я люблю	3	4
48	в нем	4	4
49	но это	2	4
50	в целом	10	4
51	своего рода	22	3
52	и он	3	3
53	один из	7	3
54	достоевского в	1	3
55	должно быть	1	3
56	в основном	1	3
57	уже в	7	3
58	в его	9	3
59	для него	6	3
60	в своем	12	3
61	с ним	2	3
62	что вы	1	3
63	и сам	6	3
64	в конце	6	3
65	и как	2	3
66	в мире	9	3
67	как в	5	3
68	никто не	1	3
69	в поле	2	3
70	что образ	1	3
71	то есть	11	3
72	при этом	23	3
73	на страницах	1	3
74	один в	1	3
75	как это	9	3
76	тем самым	8	3
77	с ее	3	3
78	мог бы	1	3
79	как будто	2	3
80	отнюдь не	4	3
81	все эти	2	3
82	к нему	1	3
83	о жизни	1	2
84	в самом	4	2
85	не так	1	2
86	и то	3	2
87	автора но	1	2
88	человеческой личности	1	2
89	в душе	3	2
90	xix веке	1	2
91	и здесь	1	2
92	со мной	2	2
93	и лучше	1	2
94	данном случае	6	2
95	сам говорит	1	2
96	ненависть к	1	2
97	и за	2	2
98	в том	22	2
99	это уже	2	2
100	он и	5	2
101	с тем	2	2
102	в ее	1	2
103	для искусства	1	2
104	говорит о	1	2
105	бунта против	1	2
106	длинные и	1	2
107	что и	3	2
108	из своих	2	2
109	но при	2	2
110	чем он	1	2
111	я все	3	2
112	по словам	1	2
113	не могут	1	2
114	в виде	1	2
115	его в	4	2
116	не в	11	2
117	в первом	1	2
118	но все	1	2
119	еще в	7	2
120	в силах	1	2
121	от всего	1	2
122	роман о	1	2
123	в таком	1	2
124	между этими	1	2
125	одном из	3	2
126	вопрос о	1	2
127	этого романа	1	2
128	состоит из	1	2
129	имеет в	1	2
130	знает что	1	2
131	нет в	2	2
132	она как	1	2
133	но особенно	1	2
134	уже не	9	2
135	к тому	3	2
136	о том	3	2
137	перед нами	1	2
138	не был	1	2
139	с первого	1	2
140	не имеет	2	2
141	и я	7	2
142	в данном	7	2
143	права на	4	2
144	что этот	1	2
145	отличие от	6	2
146	и личность	1	2
147	раз и	2	2
148	он был	1	2
149	то и	5	2
150	потому что	5	2
151	я к	1	2
152	личности и	1	2
153	так что	4	2
154	времени в	1	2
155	в рассказе	1	2
156	он не	4	2
157	по поводу	2	2
158	если б	2	2
159	в частности	18	2
160	но они	1	2
161	в это	1	2
162	в одном	2	2
163	и до	1	2
164	я буду	1	2
165	в отличие	6	2
166	отношение к	1	2
167	году в	1	2
168	в ходе	2	2
169	не за	1	2
170	о его	1	2
171	до конца	3	2
172	достоевским в	1	2
173	в глазах	4	2
174	столь же	5	2
175	русской литературы	3	2
176	который в	2	2
177	одна из	8	2
178	с его	5	2
179	а как	2	2
180	тут же	1	2
181	не мог	3	2
182	тем что	6	2
183	не просто	2	2
184	не случайно	5	2
185	никогда не	5	2
186	ничего не	3	2
187	друг друга	5	2
188	в той	1	1
189	в особенности	2	1
190	сердца в	1	1
191	все в	1	1
192	протест против	1	1
193	во всем	1	1
194	н толстой	1	1
195	то в	3	1
196	в кругу	1	1
197	от него	2	1
198	этом случае	2	1
199	романа с	1	1
200	могут быть	4	1
201	проникает в	1	1
202	в последующих	1	1
203	пафос его	1	1
204	знакомые черты	1	1
205	в центре	1	1
206	и прямо	1	1
207	в настоящем	1	1
208	что ему	4	1
209	жизни столь	1	1
210	сама собой	1	1
211	таким образом	4	1
212	сам же	2	1
213	по определению	1	1
214	например что	1	1
215	от самой	1	1
216	не знал	1	1
217	после того	1	1
218	этого персонажа	1	1
219	на неудачу	1	1
220	в целый	1	1
221	с начала	1	1
222	только что	1	1
223	на вопрос	1	1
224	свидетельствует о	3	1
225	того как	1	1
226	к этой	2	1
227	свою личную	1	1
228	в последней	1	1
229	перестает быть	5	1
230	которой не	1	1
231	и который	1	1
232	с одной	9	1
233	и вот	2	1
234	что даже	1	1
235	должна быть	3	1
236	к себе	3	1
237	с такой	1	1
238	что уже	1	1
239	с этой	6	1
240	другие и	1	1
241	ко всему	4	1
242	дело с	1	1
243	в стиле	1	1
244	не меньшей	1	1
245	на работу	1	1
246	собственной личности	1	1
247	в финале	2	1
248	эта новая	1	1
249	неизмеримо более	1	1
250	с образом	2	1
251	на деле	1	1
252	что при	1	1
253	того что	7	1
254	общим местом	2	1
255	тем не	4	1
256	в недрах	1	1
257	по слову	1	1
258	о нем	1	1
259	любит и	1	1
260	сам автор	1	1
261	не как	4	1
262	а затем	3	1
263	для нас	3	1
264	и всегда	2	1
265	одно из	3	1
266	как он	2	1
267	xix века	6	1
268	х годов	5	1
269	в результате	2	1
270	говорил что	1	1
271	перед сном	1	1
272	в виду	4	1
273	превратиться в	1	1
274	быть может	2	1
275	разговоре с	2	1
276	с собой	4	1
277	только в	8	1
278	него нет	1	1
279	не столько	8	1
280	мы вновь	1	1
281	а на	1	1
282	не было	5	1
283	мире при	1	1
284	в борьбе	1	1
285	и прозе	1	1
286	это должно	1	1
287	натуральной школы	1	1
288	но он	1	1
289	здесь мы	1	1
290	значение только	1	1
291	знал и	1	1
292	исходит от	1	1
293	этого не	2	1
294	а также	5	1
295	начала в	1	1
296	его собственная	1	1
297	года а	1	1
298	героя с	2	1
299	признается что	1	1
300	в россии	2	1
301	тот кто	1	1
302	на нее	2	1
303	одним из	8	1
304	мысль о	2	1
305	на себя	4	1
306	что не	3	1
307	в эпоху	1	1
308	не есть	2	1
309	xviii века	2	1
310	именно в	1	1
311	ведет к	5	1
312	и пусть	1	1
313	при которой	1	1
314	я и	10	1
315	тому что	1	1
316	из тех	2	1
317	в связи	4	1
318	с жизнью	2	1
319	является по	2	1
320	есть в	1	1
321	на земле	1	1
322	в переводе	1	1
323	в своей	5	1
324	рядом с	1	1
325	вместе с	5	1
326	что писал	1	1
327	что ж	1	1
328	на этом	3	1
329	при таком	1	1
330	создает и	1	1
331	жизни в	5	1
332	них он	1	1
333	роль в	2	1
334	не менее	11	1
335	и т	2	1
336	перед собой	1	1
337	так сказать	1	1
338	именно такую	1	1
339	бы не	3	1
340	в такой	1	1
341	со своей	3	1
342	века в	3	1
343	роли в	1	1
344	к личности	1	1
345	в иной	1	1
346	феномен который	1	1
347	это было	1	1
348	но уже	2	1
349	в стихах	8	1
350	героя и	2	1
351	в чем	2	1
352	людям в	1	1
353	в момент	1	1
354	но мы	1	1
355	и стал	1	1
356	а он	1	1
357	тогда как	20	1
358	могло бы	1	1
359	он заявляет	1	1
360	это самое	1	1
361	именно таков	1	1
362	всем его	1	1
363	становится не	2	1
364	случае как	1	1
365	бы в	1	1
366	труда в	1	1
367	в них	1	1
368	во всех	4	1
369	на свете	2	1
370	к одному	1	1
371	во всяком	3	1
372	и потому	1	1
373	о себе	7	1
374	ненависти в	1	1
375	в жизнь	2	1
376	совершенно не	1	1
377	что вот	1	1
378	но как	3	1
379	более чем	4	1
380	он же	2	1
381	не является	3	1
382	в противовес	2	1
383	за то	2	1
384	а к	2	1
385	это как	3	1
386	в диалог	1	1
387	в котором	1	1
388	виду не	2	1
389	ему в	2	1
390	с самого	1	1
391	не сводится	3	1
392	творческий процесс	2	1
393	не могли	1	1
394	в обществе	1	1
395	и новые	1	1
396	и начинает	1	1
397	даже отчасти	1	1
398	это мне	1	1
399	восходит к	2	1
400	связи с	7	1
401	показал на	1	1
402	на противоположной	1	1
403	с творческой	3	1
404	в становлении	2	1
405	не любил	2	1
406	хотя бы	3	1
407	она не	1	1
408	строится как	1	1
409	эти слова	2	1
410	помогает уяснить	1	1
411	стихах и	2	1
412	того чтобы	1	1
413	и если	1	1
414	от самого	2	1
415	нашел в	1	1
416	исключительное значение	1	1
417	века а	1	1
418	одну из	2	1
419	но не	8	1
420	и глубоким	1	1
421	в другом	3	1
422	между тем	2	1
423	представляет собой	5	1
424	быть не	2	1
425	общеизвестно что	1	1
426	в ней	4	1
427	вот почему	1	1
428	обстоит дело	1	1
429	в ход	1	1
430	его речь	1	1
431	в отношениях	1	1
432	мы узнаем	1	1
433	в условиях	1	1
434	черты лица	1	1
435	характерный для	2	1
436	в новой	1	1
437	самом деле	2	1
438	к своей	2	1
439	самого автора	1	1
440	он стал	1	1
441	больше в	1	1
442	уже было	1	1
443	этой связи	1	1
444	в развитии	1	1
445	в которой	1	1
446	правда ли	1	1
447	и такую	1	1
448	в образах	2	1
449	лишь в	4	1
450	ориентация на	1	1
451	над которым	1	1
452	но может	1	1
453	в эпилоге	1	1
454	никого не	1	1
455	а не	28	1
456	а за	3	1
457	а по	2	1
458	в душу	1	1
459	только на	3	1
460	свою жизнь	1	1
461	есть и	1	1
462	отказ от	7	1
463	можно было	3	1
464	за пределы	3	1
465	к смерти	2	1
466	шагать по	1	1
467	но только	3	1
468	в xix	1	1
469	не вполне	1	1
470	в истории	1	1
471	по своей	3	1
472	которую я	1	1
473	человека с	1	1
474	ту же	4	1
475	это может	1	1
476	где мы	1	1
477	человека и	2	1
478	на всю	1	1
479	самого начала	1	1
480	такие как	3	1
481	жизни на	3	1
482	князе мышкине	1	1
483	это его	1	1
484	перед ним	2	1
485	и т.д	8	1
486	у которого	1	1
487	полагал что	2	1
488	годов в	2	1
489	а вы	2	1
490	не раз	2	1
491	с другим	1	1
492	того кто	2	1
493	опять к	1	1
494	могло быть	2	1
495	знает и	1	1
496	на груди	1	1
497	я в	12	1
498	и еще	1	1
499	но без	2	1
500	т п	2	1
501	ту сторону	1	1
502	сердце мое	1	1
503	он в	1	1
504	что ты	2	1
505	как мы	2	1
506	литературы на	1	1
507	жизнь как	1	1
508	казалось что	1	1
509	не для	2	1
510	и особенно	1	1
511	на две	1	1
512	и о	1	1
513	я вам	1	1
514	самой смерти	1	1
515	претензии на	1	1
516	над собою	1	1
517	наряду с	1	1
518	той же	5	1
519	и др	4	1
520	искусства но	1	1
521	это мы	1	1
522	только по	1	1
523	именно так	3	1
524	вызова и	1	1
525	быть в	1	1
526	из первых	1	1
527	я я	2	1
528	с дороги	1	1
529	за два	1	1
530	как прямой	1	1
531	слова в	2	1
532	и от	1	1
533	этого чувства	1	1
534	и есть	3	1
535	же слова	1	1
536	отождествляется с	1	1
537	все время	1	1
538	в общем	1	1
539	xx века	2	1
540	мировой революции	1	1
541	исходит из	3	1
542	всю жизнь	2	1
543	видение мира	1	1
544	для понимания	2	1
545	перед смертью	1	1
546	с сыном	2	1
547	например в	3	1
548	году и	1	1
549	к женщине	1	1
550	от литературы	2	1
551	писателя в	2	1
552	себя а	1	1
553	право на	4	1
554	и мой	1	1
555	и толпы	1	1
556	время он	1	1
557	достоевского но	1	1
558	а жизнь	1	1
559	мать и	1	1
560	в литературе	2	1
561	в сфере	7	1
562	в области	5	1
563	и по	1	1
564	и эта	1	1
565	нуждается в	3	1
566	и навязывает	1	1
567	я вижу	2	1
568	всяком случае	2	1
569	в разговоре	2	1
570	на котором	1	1
571	теперь уже	1	1
572	в ревизоре	1	1
573	конце концов	1	1
574	насилия и	1	1
575	к ее	1	1
576	чтобы не	2	1
577	за счет	1	1
578	и наконец	2	1
579	эту тему	1	1
580	и усиливает	1	1
581	вплоть до	4	1
582	государства но	1	1
583	с каким	1	1
584	не к	3	1
585	людей в	1	1
586	поэтому он	1	1
