N	2gram	Medvedev_F	Mirosoze
1	и в	54	97
2	может быть	30	64
3	не только	14	63
4	в этом	39	55
5	но и	18	54
6	он не	8	53
7	а не	11	53
8	в нем	25	49
9	не может	26	49
10	у него	1	47
11	и не	34	39
12	никогда не	6	38
13	в ней	15	37
14	потому что	2	37
15	не было	7	36
16	не в	16	34
17	и есть	1	33
18	для него	9	31
19	не есть	4	30
20	но он	2	30
21	есть лишь	3	30
22	как и	18	29
23	прежде всего	34	29
24	в мире	4	27
25	но в	9	27
26	в своей	16	25
27	он был	1	25
28	и это	4	25
29	и все	9	24
30	у нас	6	24
31	и достоевский	1	23
32	ведет к	1	23
33	в своем	12	23
34	что в	10	23
35	что он	8	22
36	в самом	17	21
37	в себе	4	20
38	отношение к	4	20
39	в россии	4	19
40	как бы	10	19
41	до конца	9	19
42	человек не	3	19
43	в его	30	18
44	того что	7	17
45	и потому	9	17
46	том что	3	16
47	в том	17	16
48	то что	14	16
49	было бы	10	16
50	и его	27	16
51	духа в	1	15
52	в котором	2	15
53	не был	1	15
54	не знает	1	15
55	в этой	10	15
56	к отрицанию	3	14
57	в конце	2	14
58	она не	8	14
59	так как	4	14
60	та же	3	13
61	и на	10	13
62	друг друга	4	13
63	и вот	2	13
64	в русском	2	13
65	в них	4	12
66	к нему	3	12
67	но не	5	12
68	смысле слова	1	12
69	это не	4	12
70	все это	11	12
71	и к	7	11
72	любовь к	1	11
73	с тем	11	11
74	уже не	9	11
75	хотя бы	10	11
76	в которой	5	11
77	в русской	1	11
78	был бы	2	11
79	только в	6	11
80	как в	12	11
81	и там	1	11
82	но это	4	11
83	и для	5	11
84	менее всего	4	11
85	жизни и	10	11
86	то же	16	10
87	так же	5	10
88	для человека	1	10
89	один из	4	10
90	должна быть	11	10
91	не могут	8	10
92	не имеет	2	10
93	это и	7	10
94	в самой	2	10
95	есть не	1	10
96	из самых	1	9
97	к тому	6	9
98	не мог	1	9
99	должно быть	13	9
100	что и	10	9
101	xix века	1	9
102	х годов	1	9
103	не будет	2	9
104	он уже	1	9
105	с ним	3	9
106	вместе с	8	9
107	человека на	1	9
108	в свою	8	9
109	и во	2	9
110	образ и	1	9
111	бы и	1	9
112	есть и	1	9
113	а в	11	9
114	лишь в	15	9
115	от него	2	8
116	в этих	3	8
117	и с	17	8
118	тем что	6	8
119	о том	1	8
120	вопрос о	3	8
121	себя в	1	8
122	т е	50	8
123	что не	4	8
124	за пределы	2	8
125	не так	4	8
126	в отношении	3	8
127	еще в	2	8
128	нет в	2	8
129	того чтобы	4	8
130	отношении к	2	8
131	нет и	2	8
132	с его	12	8
133	ничего не	5	8
134	они не	7	8
135	уже в	1	8
136	мира и	1	8
137	только и	7	8
138	достоевский и	1	8
139	для того	3	8
140	во всем	3	7
141	в духе	1	7
142	если он	4	7
143	не существует	1	7
144	в нашем	2	7
145	точки зрения	21	7
146	она есть	2	7
147	все в	3	7
148	те же	1	7
149	чем в	1	7
150	на этом	2	7
151	от нее	6	7
152	в жизни	3	7
153	отношения к	6	7
154	жизни в	2	7
155	он в	3	7
156	мог бы	1	7
157	но если	1	7
158	высшей степени	4	7
159	в высшей	4	7
160	должен быть	5	7
161	также и	1	7
162	как он	2	7
163	же и	2	6
164	с этой	4	6
165	не как	7	6
166	и нет	1	6
167	было в	3	6
168	увидим что	1	6
169	людей и	1	6
170	и те	2	6
171	когда человек	1	6
172	русской литературы	2	6
173	всего в	5	6
174	что у	1	6
175	его в	5	6
176	у них	3	6
177	совсем не	2	6
178	можно было	1	6
179	по своей	1	6
180	вера в	1	6
181	чтобы не	2	6
182	и от	9	6
183	и здесь	8	6
184	что это	1	6
185	его на	1	6
186	или к	1	6
187	него нет	1	6
188	если бы	8	6
189	бы не	1	6
190	у человека	1	6
191	в образе	1	6
192	в ее	10	6
193	должен был	3	6
194	и более	4	6
195	на все	3	6
196	нет у	1	6
197	жизнь и	3	6
198	его не	2	6
199	быть и	5	6
200	к ней	3	6
201	на то	2	6
202	не к	2	6
203	еще не	6	5
204	бы в	6	5
205	он хочет	1	5
206	с собой	1	5
207	и как	6	5
208	отличается от	4	5
209	с этим	6	5
210	во всяком	6	5
211	для этого	6	5
212	мы увидим	5	5
213	сказать что	3	5
214	к которому	2	5
215	все время	7	5
216	момент в	1	5
217	по преимуществу	6	5
218	от этого	3	5
219	сих пор	7	5
220	вопроса о	2	5
221	природы от	1	5
222	должны быть	6	5
223	культуры и	3	5
224	в то	14	5
225	который был	1	5
226	когда он	3	5
227	до сих	7	5
228	и этот	2	5
229	они и	2	5
230	оно не	6	5
231	да и	1	5
232	его и	2	5
233	то он	1	5
234	в основе	7	5
235	и если	2	5
236	той же	2	5
237	в самую	2	5
238	человека но	1	5
239	в более	2	5
240	этот процесс	1	5
241	не для	4	5
242	которых он	1	5
243	так и	24	5
244	и тут	1	5
245	как у	1	5
246	в их	16	5
247	связано с	1	5
248	думать что	4	5
249	к новому	3	5
250	в той	3	4
251	что было	2	4
252	к этой	4	4
253	еще более	6	4
254	на деле	1	4
255	потому не	1	4
256	в своих	3	4
257	и даже	7	4
258	отношением к	2	4
259	культуры в	1	4
260	в такой	3	4
261	было не	1	4
262	на природу	1	4
263	в него	2	4
264	по отношению	4	4
265	не что	1	4
266	себе в	2	4
267	его собственной	1	4
268	что они	4	4
269	ее и	3	4
270	мы видим	1	4
271	что иное	1	4
272	в каждом	3	4
273	и через	2	4
274	и этим	2	4
275	не от	3	4
276	лежит в	1	4
277	не была	2	4
278	тому что	3	4
279	он лишь	1	4
280	в свете	1	4
281	в чем	2	4
282	а для	1	4
283	а с	1	4
284	так что	2	4
285	и что	2	4
286	и по	3	4
287	от всякого	2	4
288	и против	1	4
289	его с	5	4
290	для них	4	4
291	ни в	3	4
292	с ней	1	4
293	как о	8	4
294	вряд ли	2	4
295	от его	3	4
296	никто не	2	4
297	на своем	3	4
298	к другому	2	4
299	к которой	1	4
300	по сравнению	1	4
301	и тогда	1	4
302	и до	8	4
303	в истории	10	4
304	к миру	2	4
305	только с	1	4
306	они были	4	4
307	он должен	4	4
308	как к	5	4
309	могут быть	7	4
310	мир в	1	4
311	может не	1	4
312	сам он	2	4
313	мы не	6	4
314	быть лишь	1	4
315	сознания и	1	4
316	социальной среды	2	4
317	все равно	1	4
318	у всех	1	4
319	в эпоху	2	4
320	все эти	12	4
321	по своему	1	4
322	особенно в	6	4
323	значит что	1	4
324	и их	13	4
325	для русского	1	4
326	в пустыне	1	4
327	от того	2	4
328	отношению к	4	4
329	место в	8	4
330	и только	5	4
331	конце концов	2	4
332	иное как	1	4
333	является в	2	3
334	в душе	2	3
335	и всю	2	3
336	можно и	2	3
337	это значит	1	3
338	к системе	1	3
339	в виду	2	3
340	ко всем	2	3
341	но нельзя	1	3
342	все же	8	3
343	и русский	1	3
344	своем творчестве	1	3
345	то это	1	3
346	очень важное	1	3
347	даже и	5	3
348	входит в	8	3
349	в этот	2	3
350	с трудом	1	3
351	в одном	2	3
352	превращается в	2	3
353	значительной степени	3	3
354	конечно не	5	3
355	не вполне	1	3
356	с другим	1	3
357	то чтобы	2	3
358	находится в	1	3
359	идей и	1	3
360	к этому	3	3
361	доступ к	1	3
362	не принадлежит	1	3
363	и еще	1	3
364	не ведет	1	3
365	хотя и	3	3
366	от всякой	2	3
367	и сама	1	3
368	одним из	1	3
369	но ведь	4	3
370	же как	3	3
371	лишь для	3	3
372	великое и	1	3
373	во всех	9	3
374	остается в	1	3
375	о себе	1	3
376	всю свою	2	3
377	человек его	1	3
378	ту же	1	3
379	между тем	4	3
380	к этим	2	3
381	и судьба	2	3
382	и тем	3	3
383	и та	1	3
384	должны были	1	3
385	соединение с	1	3
386	не значит	1	3
387	и самый	3	3
388	мире и	1	3
389	и самое	1	3
390	жизни а	2	3
391	и должно	4	3
392	на почве	20	3
393	учение о	4	3
394	это уже	1	3
395	со всеми	3	3
396	в пределах	13	3
397	как не	1	3
398	к его	3	3
399	приводит к	4	3
400	сравнению с	1	3
401	только одно	1	3
402	в значительной	3	3
403	роль в	2	3
404	это все	1	3
405	и поэтому	1	3
406	его нельзя	1	3
407	которую он	1	3
408	а лишь	4	3
409	что же	6	3
410	на этот	1	3
411	он может	1	3
412	всяком случае	6	3
413	из него	2	3
414	мира не	1	3
415	же он	1	3
416	жизни не	2	3
417	выходит за	1	3
418	литературы и	6	3
419	из этой	2	3
420	проникает в	1	3
421	и то	1	3
422	что оно	4	3
423	и всякий	2	3
424	для нас	1	3
