N	3gram	Tiupa_Hudo	Poddanst
1	то же время	7	7
2	в то же	7	7
3	в отношении к	2	5
4	в том что	8	4
5	в сравнении с	1	3
6	с точки зрения	3	3
7	с одной стороны	3	3
8	в полной мере	1	2
9	заключается в том	1	2
10	заключает в себе	1	2
11	и в то	2	2
12	в том числе	3	2
13	одной стороны и	1	2
14	именно потому что	1	1
15	не только мы	1	1
16	и в частности	1	1
17	но в то	1	1
18	и тем самым	1	1
19	том числе и	2	1
20	не может быть	4	1
21	в этом мире	2	1
22	та или иная	1	1
23	только в условиях	1	1
24	мы видим в	1	1
25	в отличие от	7	1
26	в отдельности и	1	1
27	можно говорить о	1	1
28	в этом смысле	3	1
29	в xix веке	1	1
30	есть как бы	1	1
31	сколько бы ни	1	1
32	в русской культуре	1	1
33	для того чтобы	5	1
34	ни к чему	1	1
35	видим в нем	1	1
36	и тем более	1	1
37	с другой стороны	6	1
38	тем и другим	1	1
39	в известном смысле	2	1
40	в настоящее время	1	1
41	но в отличие	1	1
42	более или менее	6	1
43	так же как	1	1
44	в душе своей	1	1
45	эти могут быть	1	1
46	и теперь в	1	1
47	тот или иной	3	1
48	в частности в	1	1
