N	3gram	Propp_Russ	Stilisti
1	для того чтобы	6	7
2	с тем у	1	5
3	с точки зрения	3	5
4	в свою очередь	2	4
5	но и в	1	3
6	как мы уже	2	3
7	на самом деле	1	3
8	как мы видели	1	3
9	не только в	1	3
10	в этом случае	9	3
11	но все же	2	3
12	мы видели что	1	2
13	вместе с тем	10	2
14	и том же	1	2
15	и те же	1	2
16	мы видим что	1	2
17	не может быть	1	2
18	по отношению к	1	2
19	о том что	6	2
20	одни и те	1	2
21	мы увидим что	1	2
22	можно сказать что	1	2
23	и как бы	1	2
24	для наших целей	2	2
25	что было в	1	2
26	одном и том	1	2
27	не что иное	3	2
28	с тем и	3	2
29	только потому что	1	2
30	тех случаях когда	2	2
31	как мы увидим	5	2
32	на первый взгляд	1	2
33	в связи с	4	2
34	к тому что	4	2
35	что иное как	3	2
36	в этом отношении	1	2
37	и не только	1	2
38	в тех случаях	2	2
39	эти теории не	1	1
40	в том что	27	1
41	до того как	2	1
42	в одном из	1	1
43	это не совсем	2	1
44	мы наблюдаем в	1	1
45	были связаны с	1	1
46	мы уже знаем	2	1
47	но вместе с	3	1
48	как нет и	1	1
49	еще до того	1	1
50	за столом и	1	1
51	только одна из	1	1
52	в большинстве случаев	2	1
53	мы увидим ниже	2	1
54	не совсем так	1	1
55	в нашем сознании	1	1
56	в другом месте	1	1
57	в собственном смысле	1	1
58	в себе и	1	1
59	как и в	1	1
60	было бы говорить	1	1
61	по мере их	1	1
62	тем не менее	3	1
63	что при этом	1	1
64	в одном и	1	1
65	который мы наблюдаем	1	1
66	при этом не	1	1
67	об этом мы	1	1
68	всякой связи с	1	1
69	более или менее	1	1
70	независимо от того	1	1
71	таким образом в	1	1
72	на этот вопрос	1	1
73	и та же	1	1
74	вопросов и ответов	1	1
75	эту точку зрения	1	1
76	одного и того	1	1
77	магический обряд который	1	1
78	как это ни	1	1
79	но не только	1	1
80	из них в	1	1
81	иметь в виду	2	1
82	бросается в глаза	3	1
83	как мы видим	1	1
84	и от этого	1	1
85	мы должны будем	2	1
86	у нас на	1	1
87	но иногда и	1	1
88	не только на	3	1
89	и того же	1	1
90	главным образом о	1	1
91	влияние и на	1	1
92	не может не	1	1
93	не можем считать	1	1
94	одна и та	1	1
95	вопрос о том	1	1
96	только тогда когда	3	1
97	в виду что	2	1
98	так как в	2	1
99	можно было бы	2	1
100	мы не можем	5	1
101	и в этом	2	1
