N	3gram	Bakhtin_sl	VLabPisa
1	и т д	7	16
2	в этом отношении	2	14
3	и т п	49	9
4	не может быть	11	8
5	с другой стороны	5	8
6	по отношению к	2	7
7	более или менее	5	6
8	в том что	4	5
9	в процессе работы	1	5
10	хотя бы и	5	5
11	в зависимости от	4	5
12	в то же	15	5
13	то же время	15	5
14	в одном из	1	4
15	равно как и	1	4
16	можно сказать что	1	4
17	можно утверждать что	1	4
18	не могут быть	3	4
19	в связи с	2	4
20	к тому что	2	4
21	мы видели что	1	3
22	вот что говорит	1	3
23	бы и не	1	3
24	большей или меньшей	5	3
25	для того чтобы	1	3
26	о том что	2	3
27	о том же	2	3
28	и в то	6	3
29	одной стороны и	2	2
30	которая не может	1	2
31	во всяком случае	7	2
32	по крайней мере	1	2
33	в чем же	1	2
34	и в другом	2	2
35	во всех его	8	2
36	точном смысле слова	1	2
37	как пародия на	1	2
38	этой точки зрения	1	2
39	в том числе	1	2
40	всего произведения в	1	2
41	таким образом в	4	2
42	в точном смысле	1	2
43	в большей или	3	2
44	в противном случае	1	2
45	до сих пор	4	2
46	не только не	2	2
47	иметь в виду	1	2
48	том числе и	1	2
49	или меньшей степени	3	2
50	не только в	3	2
51	во всех этих	2	2
52	таким образом даже	1	2
53	не может не	5	2
54	в частности в	1	2
55	с одной стороны	7	2
56	все эти явления	1	2
57	также и в	1	2
58	можно было бы	2	2
59	и не может	2	2
60	на этой почве	1	1
61	что он не	1	1
62	проблемы в плане	1	1
63	в различных его	1	1
64	сих пор не	2	1
65	в той или	12	1
66	отцы и дети	1	1
67	а как бы	1	1
68	в свою очередь	3	1
69	того или иного	2	1
70	все то что	1	1
71	прямо и непосредственно	4	1
72	это и создает	1	1
73	но по существу	2	1
74	той или иной	13	1
75	форм и жанров	1	1
76	слова все это	1	1
77	в применении к	1	1
78	т п все	1	1
79	в какой мере	1	1
80	мы видим что	1	1
81	и связанное с	1	1
82	на то что	1	1
83	и может быть	1	1
84	но и в	2	1
85	однако отметить что	1	1
86	как это было	1	1
87	его роль в	1	1
88	с большей или	1	1
89	не обязательно должен	1	1
90	ни в какой	1	1
91	имеем в виду	1	1
92	имеют громадное значение	1	1
93	то время как	2	1
94	мы говорим о	1	1
95	в этом случае	4	1
96	том же о	1	1
97	с этой точки	1	1
98	и др но	1	1
99	в виду не	1	1
100	хотя может быть	1	1
101	как один из	1	1
102	между тем это	1	1
103	и во всех	2	1
104	в то время	2	1
105	они не только	1	1
106	тех или иных	1	1
107	а между тем	2	1
108	и то же	2	1
109	говорит о том	1	1
110	т п эти	2	1
111	но у него	1	1
112	так или иначе	1	1
113	со всех сторон	1	1
114	в процессе творчества	1	1
115	хотя и не	1	1
116	сами по себе	1	1
117	то прежде всего	1	1
118	произведения в этом	1	1
119	этой проблемы в	1	1
120	органически связано с	1	1
121	на то или	1	1
122	для правильного понимания	1	1
123	одно и то	2	1
124	но в то	6	1
125	выйти за пределы	1	1
126	то или иное	1	1
127	быть включен в	1	1
128	п все это	1	1
129	по аналогии с	1	1
130	между этими двумя	1	1
131	в данном случае	3	1
132	все же и	1	1
133	всего может быть	1	1
134	могут быть отнесены	1	1
135	что они не	1	1
136	именно в том	1	1
137	а в том	1	1
138	обязательно должен быть	1	1
139	могут быть сведены	1	1
140	может быть включен	1	1
141	между всеми этими	1	1
142	и непосредственно как	1	1
143	одна из форм	1	1
144	сводится именно к	2	1
145	и др и	2	1
146	в новое время	2	1
147	как сказал бы	1	1
148	никогда не может	2	1
149	сама по себе	2	1
150	в каком направлении	1	1
151	в процессе этого	1	1
152	у тургенева и	1	1
153	том что оно	1	1
154	этом случае она	1	1
155	но все же	1	1
156	как бы сами	1	1
157	во всей ее	1	1
158	предмета в его	1	1
159	в последнем счете	1	1
160	точки зрения на	4	1
161	варьируются в зависимости	1	1
162	оказывается перед необходимостью	1	1
163	а не только	1	1
164	т п это	1	1
165	в поэзии и	1	1
166	даже и не	1	1
167	те или иные	4	1
168	неизбежно приводит к	1	1
169	но с другой	1	1
170	лежит в основе	1	1
171	может быть при	1	1
172	может быть и	2	1
173	можно говорить только	1	1
