N	4gram	Vinokur_Ku	Analitik
1	в то же время	4	14
2	состоит в том что	4	7
3	не что иное как	2	6
4	одного и того же	2	6
5	есть не что иное	1	5
6	в том что он	3	4
7	в том или ином	1	4
8	не в том чтобы	4	3
9	по крайней мере в	1	3
10	дело в том что	1	3
11	одной и той же	1	3
12	бы то ни было	1	3
13	той мере в какой	6	2
14	с этой точки зрения	3	2
15	в той мере в	6	2
16	в тех случаях когда	2	2
17	не говоря уже о	1	2
18	какой бы то ни	1	2
19	заключается в том что	2	2
20	одно и то же	1	2
21	и в том что	1	1
22	лишь в том чтобы	1	1
23	в виду не только	1	1
24	мы имеем в виду	1	1
25	и в самом деле	4	1
26	в том случае если	3	1
27	не для того чтобы	1	1
28	ни то ни другое	1	1
29	хотя бы и в	1	1
30	до тех пор пока	1	1
31	не сам по себе	1	1
32	в том смысле что	1	1
33	для того чтобы быть	2	1
34	в большей или меньшей	2	1
35	большей или меньшей степени	2	1
36	а в том что	2	1
37	позицию по отношению к	1	1
38	свидетельствует о том что	1	1
39	и вместе с тем	1	1
40	никак не может быть	1	1
41	только в том что	1	1
42	не только в том	1	1
43	широком смысле этого слова	1	1
44	имеем в виду не	1	1
45	сами по себе они	1	1
46	с тех пор как	1	1
47	однако с другой стороны	1	1
48	в самом деле в	1	1
49	лишь в том случае	1	1
50	в широком смысле этого	1	1
51	несмотря на то что	1	1
52	но с другой стороны	1	1
53	в собственном смысле слова	1	1
54	не следует думать что	1	1
55	во всех этих случаях	1	1
56	иметь дело не с	1	1
57	в каждом из этих	1	1
58	в том что мы	1	1
59	не в том что	1	1
60	ответ на этот вопрос	1	1
61	из уст в уста	1	1
62	и если бы он	1	1
