N	2gram	Losev_Vlad	Problemy
1	и в	56	106
2	и не	33	90
3	как бы	5	70
4	может быть	12	66
5	в его	18	56
6	в этом	30	52
7	в нем	7	51
8	не может	12	49
9	как и	7	44
10	что он	22	44
11	у достоевского	2	43
12	точки зрения	4	40
13	но и	26	40
14	для него	16	39
15	и его	12	39
16	а не	5	38
17	то же	10	36
18	не только	35	36
19	то что	30	33
20	но в	19	33
21	прежде всего	5	32
22	он не	13	29
23	в то	15	29
24	все это	7	29
25	и все	8	28
26	в одном	2	27
27	не в	12	27
28	к себе	2	26
29	же время	7	26
30	в самом	3	25
31	и с	27	25
32	к нему	6	25
33	в сущности	2	25
34	и т	3	25
35	с самим	2	24
36	не как	1	24
37	вовсе не	8	24
38	самом деле	1	24
39	и на	7	23
40	по себе	3	22
41	в каждом	1	22
42	что я	5	22
43	таким образом	6	22
44	как мы	17	21
45	все же	11	20
46	никогда не	15	20
47	только в	11	20
48	потому что	16	20
49	что же	11	19
50	что в	24	19
51	с его	15	19
52	уже не	6	18
53	по отношению	1	18
54	т п	1	18
55	в себе	5	18
56	еще не	2	18
57	о нем	9	18
58	на самом	1	18
59	но не	5	18
60	все эти	6	18
61	и к	10	17
62	с ним	10	17
63	а в	20	17
64	в том	26	17
65	это не	3	17
66	так и	11	17
67	так же	4	16
68	если бы	2	16
69	в своей	7	16
70	этом смысле	4	16
71	у него	28	15
72	до конца	8	15
73	и для	4	15
74	и наконец	2	15
75	и сам	7	14
76	в своем	10	14
77	как раз	7	14
78	в конце	22	14
79	а как	1	14
80	другого человека	1	14
81	в отношении	5	14
82	так как	11	14
83	я не	8	14
84	он и	8	14
85	лишь в	3	14
86	но все	3	13
87	на него	3	13
88	точка зрения	1	13
89	с другими	1	13
90	его в	3	13
91	и это	4	13
92	себя и	1	13
93	перед нами	1	13
94	в целом	3	13
95	при этом	5	12
96	даже в	4	12
97	отношении к	2	12
98	и как	7	12
99	и даже	23	12
100	к тому	5	12
101	во всяком	8	12
102	в котором	10	12
103	что и	6	12
104	так сказать	2	12
105	себе и	2	12
106	так что	13	12
107	и что	11	12
108	за пределы	3	12
109	было бы	7	12
110	как в	6	12
111	том что	22	12
112	у меня	3	12
113	но это	6	12
114	ничего не	4	12
115	в одной	1	12
116	последнее слово	1	12
117	тем что	2	11
118	их в	3	11
119	с другой	3	11
120	ни одного	2	11
121	он сам	3	11
122	должно быть	1	11
123	бы в	1	11
124	видения и	1	11
125	мы уже	8	11
126	не могут	2	11
127	бы и	1	11
128	этого слова	1	11
129	она не	3	11
130	или как	1	11
131	как будто	2	11
132	конце концов	6	11
133	в произведении	2	10
134	что не	3	10
135	в него	1	10
136	для себя	6	10
137	с собою	1	10
138	той же	6	10
139	в самой	1	10
140	к одному	1	10
141	слова с	1	10
142	далеко не	1	10
143	отношение к	7	10
144	ведь и	1	10
145	в той	2	9
146	другой стороны	3	9
147	в них	5	9
148	хотя бы	5	9
149	достоевского но	2	9
150	что у	4	9
151	хотя и	9	9
