N	2gram	Losev_Prob	Poddanst
1	не только	33	17
2	и в	62	14
3	и не	56	12
4	в области	2	11
5	в этом	25	10
6	в отношении	4	10
7	в том	35	9
8	то же	23	9
9	в качестве	10	9
10	но в	17	9
11	хотя бы	6	8
12	в пределах	3	8
13	только в	33	7
14	в то	18	7
15	в ней	12	6
16	xix века	2	6
17	быть может	1	6
18	было бы	14	6
19	но и	20	6
20	в смысле	2	6
21	может быть	39	5
22	о в	2	5
23	с другой	14	5
24	не в	21	5
25	и о	8	5
26	в которых	3	5
27	а н	1	5
28	и к	9	4
29	что в	11	4
30	в котором	3	4
31	по себе	36	4
32	на путях	1	4
33	и если	11	4
34	и потому	13	4
35	но также	2	4
36	мы должны	13	4
37	на пути	1	4
38	не может	14	4
39	в гораздо	1	4
40	а в	9	4
41	то что	42	4
42	как бы	11	4
43	если бы	9	4
44	а также	6	4
45	россии и	1	4
46	в своем	7	4
47	же в	6	4
48	том что	25	4
49	в сравнении	4	3
50	в себе	23	3
51	сравнении с	4	3
52	что мы	12	3
53	с одной	3	3
54	мы не	15	3
55	это не	10	3
56	одной стороны	2	3
57	для того	5	3
58	с точки	9	3
59	хотя и	9	3
60	т е	1	3
61	с тем	9	3
62	потому что	40	3
63	она есть	2	3
64	прежде всего	13	3
65	тем самым	9	3
66	сами по	8	3
67	заключается в	8	3
68	но не	6	3
69	могут быть	2	3
70	и т	20	3
71	и как	4	3
72	с ними	2	3
73	столь же	1	3
74	в порядке	3	3
75	в нем	13	3
76	и без	9	3
77	тот же	1	3
78	точки зрения	14	3
79	с этим	5	2
80	во всех	4	2
81	м а	1	2
82	и резко	1	2
83	именно как	1	2
84	является в	3	2
85	и это	11	2
86	и других	1	2
87	и мы	1	2
88	ней не	1	2
89	которую мы	1	2
90	в европе	1	2
91	если в	1	2
92	м и	1	2
93	и вот	1	2
94	время в	1	2
95	в значительной	2	2
96	том числе	1	2
97	не будем	4	2
98	еще более	3	2
99	начала и	1	2
100	по сравнению	3	2
101	так называемые	1	2
102	для тех	2	2
103	и весьма	3	2
104	в ее	6	2
105	и тем	16	2
106	того что	10	2
107	никак не	13	2
108	как раз	11	2
109	в частности	4	2
110	в его	10	2
111	не о	2	2
112	а не	28	2
113	для нас	23	2
114	все это	9	2
115	говорить о	7	2
116	в тот	1	2
117	русской революции	1	2
118	для них	4	2
119	и есть	9	2
120	стороны и	3	2
121	и и	1	2
122	в виде	20	2
123	метафизика это	1	2
124	в них	6	2
125	здесь нужно	1	2
126	не было	6	2
127	и с	11	2
128	в начале	3	2
129	может ли	2	2
130	как на	2	2
131	слова но	3	2
132	которое в	3	2
133	потому в	1	2
134	она ни	2	2
135	духа и	1	2
136	именно в	4	2
137	значительной мере	2	2
138	должно быть	1	2
139	в жизни	1	2
140	отношения к	3	2
141	во всей	3	2
142	есть нечто	22	2
143	между прочим	4	2
144	например в	1	2
145	не менее	24	2
146	не столько	2	2
147	думать что	1	2
148	отнюдь не	16	2
149	да и	9	2
150	не нужно	2	2
151	исключительно в	2	2
152	из них	4	2
153	но к	2	2
154	о и	2	2
155	есть не	13	2
156	весьма мало	1	2
157	тем более	8	2
158	есть в	6	2
159	и пусть	1	2
160	образом на	1	2
161	что из	2	2
162	не к	2	2
163	бы ни	1	2
164	иного и	1	1
