N	4gram	Bakhtin_Pr	Myshleni
1	заключается в том что	1	43
2	в то время как	2	20
3	так же как и	1	16
4	в том числе и	1	10
5	с одной стороны и	1	10
6	как мы уже говорили	2	9
7	в собственном смысле слова	1	9
8	в том что он	4	8
9	что с точки зрения	1	4
10	одну и ту же	1	4
11	подобно тому как в	1	4
12	как более или менее	1	4
13	мы уже говорили что	1	3
14	мы имеем в виду	1	3
15	друг с другом но	1	3
16	до самого последнего времени	1	3
17	дело в том что	1	3
18	и во всяком случае	1	3
19	в том и другом	1	3
20	бы то ни было	2	3
21	то же самое слово	1	2
22	само по себе не	1	2
23	но тем не менее	1	2
24	так как если бы	1	2
25	как мы увидим в	1	2
26	в сущности ничего не	1	2
27	в зависимости от того	1	2
28	в то же время	13	2
29	и не могут быть	1	2
30	в том что это	1	2
31	и в другом случае	1	2
32	в другом месте и	1	2
33	рядом друг с другом	1	2
34	в той или иной	1	2
35	с другой стороны мы	1	2
36	она не может быть	1	2
37	с таким же успехом	1	2
38	слова с точки зрения	1	2
39	и не может быть	1	2
40	как если бы он	1	2
41	но на самом деле	1	2
42	с точки зрения того	1	2
43	и по отношению к	1	2
44	никогда не может быть	1	1
45	что дело идет не	1	1
46	не может найти своего	1	1
47	как бы глубоки они	1	1
48	в том и в	1	1
49	слово как бы вбирает	1	1
50	бы глубоки они ни	1	1
51	с самого начала все	1	1
52	том и в другом	1	1
53	во всяком случае не	1	1
54	не с точки зрения	1	1
55	как бы рядом с	1	1
56	уже сама по себе	1	1
57	взаимно исключающих друг друга	1	1
58	то что он не	1	1
59	над всеми остальными и	1	1
60	мы увидим дальше что	1	1
61	о том что он	1	1
62	таким образом как бы	1	1
63	друг с другом как	1	1
64	найти своего выражения в	1	1
65	лежащие в основе этого	1	1
66	отношении друг к другу	1	1
67	то что должно быть	1	1
68	он сам по себе	1	1
69	в этом отношении не	1	1
70	с двух точек зрения	1	1
71	том или другом слове	1	1
72	не могли войти в	1	1
73	в том или другом	1	1
74	то же время не	3	1
75	ничем не отличается от	1	1
76	но с таким же	1	1
77	точки зрения своей собственной	1	1
78	слова к тому же	1	1
79	и в то же	2	1
80	то время как обычно	1	1
81	можно прямо сказать что	1	1
82	и в этом смысле	2	1
83	следует за ней в	1	1
84	до сих пор остается	1	1
85	глубоки они ни были	1	1
86	с точки зрения своей	1	1
87	по отношению к себе	2	1
88	в виду прежде всего	1	1
89	как бы он ни	1	1
90	такие разнородные явления как	1	1
91	не может быть понято	1	1
92	по мере того как	1	1
93	но с другой стороны	2	1
94	по себе не имеет	1	1
95	можно было бы сказать	1	1
96	которые сами по себе	1	1
97	на то что он	1	1
98	свое последнее слово в	1	1
99	само по себе но	1	1
100	только и могут быть	1	1
101	в неразрывной связи с	1	1
102	в той же плоскости	1	1
103	и в этом отношении	2	1
104	в этом смысле он	1	1
105	и не потому что	1	1
106	может найти своего выражения	1	1
107	совершенно в той же	1	1
108	с точки зрения ее	1	1
