N	3gram	Losev_Vesc	Vladivir
1	в том что	9	29
2	о том что	4	22
3	тем не менее	11	18
4	и то что	5	14
5	в то время	4	13
6	дело в том	4	13
7	во всяком случае	2	12
8	в связи с	1	12
9	содержит в себе	11	11
10	более или менее	4	11
11	в конце концов	2	11
12	не может быть	22	10
13	в то же	5	10
14	вместе с тем	3	10
15	с точки зрения	6	10
16	то что он	2	9
17	в этом смысле	2	9
18	как раз и	2	9
19	то же время	4	9
20	на то что	7	8
21	это значит что	25	7
22	на первый план	1	7
23	в свое время	2	7
24	так или иначе	5	6
25	само по себе	4	6
26	в данном случае	2	6
27	также и то	1	6
28	с другой стороны	3	6
29	и в этом	2	6
30	как мы знаем	1	6
31	в истории философии	1	6
32	никакого отношения к	2	6
33	том что он	2	6
34	ничего не говорит	1	5
35	но даже и	2	5
36	и в то	3	5
37	бы то ни	12	5
38	и потому что	1	5
39	то что в	1	5
40	не только в	5	5
41	то время как	4	5
42	что и в	1	5
43	не содержит в	1	4
44	можно сказать что	3	4
45	для того чтобы	2	4
46	в этом отношении	2	4
47	сам по себе	4	4
48	и вместе с	1	4
49	то это значит	3	4
50	и т д	36	4
51	в том чтобы	2	4
52	по крайней мере	10	4
53	заключается в том	3	4
54	в себе и	1	4
55	не что иное	12	4
56	мы будем говорить	1	4
57	вовсе не есть	6	4
58	можно было бы	3	4
59	что иное как	12	4
60	с одной стороны	3	4
61	на эту тему	1	4
62	еще и потому	1	4
63	что он не	1	3
64	в последние годы	2	3
65	ни в каком	6	3
66	и больше ничего	12	3
67	а не к	2	3
68	по существу же	1	3
69	хотя бы и	2	3
70	в самом деле	7	3
71	не в том	1	3
72	то в чем	1	3
73	то что философ	1	3
74	свидетельствует о том	3	3
75	даже и в	1	3
76	а в том	1	3
77	не только не	4	3
78	даже больше того	6	3
79	к тому что	2	3
80	самом же деле	1	3
81	только то что	3	3
82	на самом же	1	3
83	для тех кто	1	3
84	в свою очередь	5	3
85	не имеет никакого	2	3
86	несмотря на все	1	3
87	мы должны сказать	1	3
88	только в том	1	3
89	должны сказать что	1	3
90	что бы то	1	3
91	и в частности	2	3
92	так что в	3	3
93	между прочим и	1	3
94	и в смысле	2	3
95	мы уже сказали	1	3
96	что несмотря на	1	3
97	так же как	2	2
98	нельзя сказать что	2	2
99	но только в	1	2
100	также и для	1	2
101	но то что	3	2
102	одной стороны и	1	2
103	и тот же	1	2
104	но еще и	3	2
105	и не в	3	2
106	не говорит о	2	2
107	по вопросу о	1	2
108	есть уже нечто	1	2
109	у него и	1	2
110	в подлинном смысле	2	2
111	имеет никакого отношения	2	2
112	что у него	1	2
113	но и она	1	2
114	в себе не	1	2
115	и в конце	1	2
116	до сих пор	1	2
117	есть не что	8	2
118	и прежде всего	1	2
119	то ни было	12	2
120	не может не	3	2
121	в своем месте	1	2
122	подойти к делу	1	2
123	но как раз	1	2
124	или по крайней	2	2
125	но что же	2	2
126	прибавить еще и	1	2
127	и не есть	2	2
128	а не только	2	2
129	не то что	1	2
130	даже и не	2	2
131	те или иные	1	2
132	только и может	1	2
133	то что у	2	2
134	заметим что в	1	2
135	как бы его	2	2
136	и тем не	5	2
