N	2gram	Bakhtin_Pr	Sovremen
1	не может	26	17
2	может быть	43	12
3	точки зрения	31	12
4	таким образом	15	11
5	мы не	4	9
6	в каждом	15	8
7	в этом	33	7
8	и в	64	7
9	мы можем	1	6
10	в результате	7	6
11	как и	25	6
12	ничего не	8	6
13	и не	55	6
14	с точки	21	5
15	прежде всего	16	5
16	что же	9	5
17	каждом отдельном	1	5
18	все эти	13	5
19	в условиях	2	5
20	и наконец	7	5
21	а в	10	4
22	так как	9	4
23	вопрос о	3	4
24	это не	12	4
25	не только	26	4
26	мы должны	3	4
27	с помощью	2	4
28	как бы	33	4
29	нет и	1	4
30	если мы	3	4
31	в зависимости	5	4
32	их в	8	4
33	жизни и	3	4
34	вместе с	1	4
35	в целом	8	4
36	же это	1	4
37	в том	12	4
38	зависимости от	5	4
39	из них	3	4
40	точку зрения	7	4
41	мы видели	1	4
42	и к	5	3
43	и потому	7	3
44	на этой	1	3
45	и мы	2	3
46	с самого	1	3
47	уже в	5	3
48	всех элементов	2	3
49	то же	18	3
50	у каждого	1	3
51	при этом	8	3
52	поэтому мы	1	3
53	не в	15	3
54	а не	29	3
55	для нас	2	3
56	все это	9	3
57	как он	3	3
58	в одном	20	3
59	у нас	3	3
60	основной вопрос	1	3
61	самого начала	2	3
62	в конце	8	3
63	ведь это	4	3
64	было бы	8	3
65	в первом	2	3
66	в этой	5	3
67	из двух	1	3
68	он в	3	3
69	и все	6	3
70	на две	1	3
71	в себе	11	3
72	что она	7	3
73	он может	4	3
74	одна из	5	3
75	все же	11	3
76	в области	1	3
77	может не	1	3
78	отличается от	5	3
79	между собой	2	3
80	в нем	28	3
81	но в	14	3
82	еще не	10	3
83	с этим	3	2
84	что в	11	2
85	этих двух	1	2
86	тем не	2	2
87	в самом	17	2
88	совершенно не	5	2
89	мы видим	3	2
90	значение в	2	2
91	каждая из	2	2
92	и что	5	2
93	и пространства	1	2
94	отличие от	4	2
95	такие же	1	2
96	друг с	4	2
97	ее на	1	2
98	и пр	5	2
99	то и	3	2
100	с одной	1	2
101	принципиально не	1	2
102	в отличие	4	2
103	это за	1	2
104	такого рода	1	2
105	в свою	1	2
106	из этих	3	2
107	в его	30	2
108	во всяком	7	2
109	мы знаем	1	2
110	не дает	3	2
111	еще более	2	2
112	можно назвать	1	2
113	то ни	3	2
114	только так	2	2
115	что это	2	2
116	или же	2	2
117	еще мало	1	2
118	быть и	2	2
119	из которых	3	2
120	только один	1	2
121	что такое	2	2
122	он приводит	1	2
123	может иметь	1	2
124	если же	7	2
125	на его	2	2
126	все те	3	2
127	конечно в	2	2
128	в живом	1	2
129	на их	2	2
130	у него	11	2
131	для его	4	2
132	не могут	10	2
133	со всеми	2	2
134	а на	1	2
135	свою очередь	1	2
136	вне времени	1	2
137	и даже	5	2
138	самом деле	10	2
139	в которой	2	2
140	но все	6	2
141	ни одна	1	2
142	к чему	1	2
143	же самое	1	2
144	как мы	13	2
145	наконец не	1	2
146	настоящее время	3	2
147	она может	2	2
148	развития в	1	2
149	тем же	3	2
150	и во	3	2
151	той же	8	2
152	могут быть	9	2
153	в таком	3	2
154	в нашем	2	2
155	уже не	15	2
156	не знаем	1	2
157	и есть	3	2
158	и они	2	2
159	что все	2	2
160	или иной	1	2
161	и именно	1	2
162	на этот	4	2
163	такой же	4	2
164	говорить об	1	2
165	на этом	2	2
166	роль в	1	2
167	не менее	3	2
168	так сказать	9	2
169	же мы	1	2
170	приводит к	8	2
171	и по	1	2
172	времени и	2	2
173	своего предмета	1	2
174	на котором	3	2
175	форма в	1	2
176	с другом	3	2
177	свою собственную	1	2
178	из одного	8	2
179	в настоящее	3	2
180	в один	2	2
181	тот же	2	2
182	пока наконец	2	2
183	всяком случае	4	2
184	он должен	2	2
185	во всех	4	1
186	все они	2	1
187	лишь там	2	1
188	бы то	3	1
189	которые в	1	1
190	рядом и	2	1
191	и отчетливого	2	1
192	с двух	1	1
193	к которому	2	1
194	именно к	2	1
195	это и	5	1
196	с новой	1	1
197	объективные качества	1	1
198	его и	3	1
199	этом случае	1	1
200	реагирует на	2	1
201	распределены между	1	1
202	объяснение этого	1	1
203	только не	2	1
204	каждый элемент	3	1
205	но можно	1	1
206	искать в	2	1
207	образом все	2	1
208	а потому	2	1
209	во втором	1	1
210	то он	3	1
211	человека в	8	1
212	к различным	2	1
213	но как	4	1
214	то они	2	1
215	только из	1	1
216	всего необходимо	1	1
217	не допускает	1	1
218	в данном	2	1
219	до сих	9	1
220	только к	1	1
221	все его	3	1
222	ему принадлежит	1	1
223	при условии	2	1
224	бы к	2	1
225	он уже	1	1
226	та же	1	1
227	по преимуществу	2	1
228	зрения может	1	1
229	же они	1	1
230	в постановке	1	1
231	в действительности	1	1
232	опирается на	2	1
233	всеми ее	1	1
234	хотя конечно	1	1
235	все элементы	1	1
236	от его	1	1
237	ведь именно	1	1
238	в процессе	6	1
239	данном случае	2	1
240	ведь в	2	1
241	зрения своего	2	1
242	связи с	3	1
243	например у	3	1
244	здесь нет	4	1
245	раз и	6	1
246	если в	1	1
247	разобранная нами	2	1
248	что сказать	1	1
249	очень часто	1	1
250	это последнее	2	1
251	должно быть	8	1
252	мы уже	4	1
253	к области	1	1
254	это как	1	1
255	человек и	2	1
256	трагической катастрофы	1	1
257	почти не	3	1
258	случае и	1	1
259	в первый	1	1
260	его с	1	1
261	идет о	5	1
262	она не	10	1
263	не нарушает	2	1
264	наших целей	1	1
265	да еще	1	1
266	на ее	1	1
267	она в	1	1
268	образная аналогия	1	1
269	ним и	3	1
270	позволяет ему	1	1
271	единства в	1	1
272	одной стороны	1	1
273	на друга	2	1
274	ничто не	1	1
275	мы имеем	1	1
276	и у	3	1
277	для наших	2	1
278	и речи	1	1
279	в другом	3	1
280	сложное и	1	1
281	такого сведения	1	1
282	несмотря на	7	1
283	с тою	1	1
284	это только	1	1
285	приведения к	1	1
286	в ней	2	1
287	которых он	1	1
288	из всех	1	1
289	на ней	2	1
290	состав и	1	1
291	мы очень	1	1
292	друг на	2	1
293	ни было	4	1
294	элементов и	1	1
295	мира но	2	1
296	своими собственными	2	1
297	положение в	2	1
298	человека как	1	1
299	а может	1	1
300	хотя и	5	1
301	человек с	2	1
302	всей совокупности	1	1
303	с другой	7	1
304	и тогда	1	1
305	с ним	8	1
306	этот третий	1	1
307	она уже	1	1
308	на которых	1	1
309	что вся	2	1
310	он не	14	1
311	кроме того	5	1
312	себя самого	3	1
313	имеет с	1	1
314	последнею целью	1	1
315	за собой	1	1
316	он ищет	2	1
317	и т.п	1	1
318	собственными законами	1	1
319	громадную роль	1	1
320	но тем	1	1
321	какой бы	2	1
322	не будет	1	1
323	что с	1	1
324	может развиваться	1	1
325	те же	3	1
326	между двумя	1	1
327	вследствие этого	2	1
328	что дело	1	1
329	а затем	1	1
330	далее что	1	1
331	всеми этими	1	1
332	как у	1	1
333	увидим что	1	1
334	поэтому в	3	1
335	только на	3	1
336	но они	2	1
337	и их	3	1
338	и всегда	2	1
339	быть поняты	1	1
340	и соответственно	1	1
341	качествами его	1	1
342	нужно сказать	1	1
343	все что	4	1
344	не приходится	1	1
345	и та	1	1
346	какую бы	2	1
347	для своего	2	1
348	и критика	1	1
349	и при	2	1
350	совершенно невозможно	1	1
351	в известном	1	1
352	на самом	5	1
353	одному и	1	1
354	здесь в	2	1
355	на которой	1	1
356	что каждый	1	1
357	для них	1	1
358	определенным образом	1	1
359	все построение	1	1
360	можно было	3	1
361	и наиболее	1	1
362	одновременно как	1	1
363	разобраться в	2	1
364	ни в	5	1
365	от другого	1	1
366	но только	1	1
367	случае он	1	1
368	и от	3	1
369	в начале	1	1
370	нами в	3	1
371	по отношению	12	1
372	стремится быть	1	1
373	утверждает что	1	1
374	почти совершенно	1	1
375	стороны и	4	1
376	конечно не	4	1
377	весь мир	1	1
378	и само	2	1
379	но что	1	1
380	только в	13	1
381	такие определения	1	1
382	не способна	2	1
383	в совершенно	1	1
384	этот вопрос	4	1
385	функции в	2	1
386	все равно	2	1
387	различия между	1	1
388	же время	13	1
389	из каждого	1	1
390	видим не	1	1
391	так же	8	1
392	нет свободы	1	1
393	его в	8	1
394	ведь если	1	1
395	то она	1	1
396	перед глазами	1	1
397	может играть	1	1
398	отметить что	1	1
399	нам важен	1	1
400	или как	8	1
401	себе в	1	1
402	в большинстве	11	1
403	без труда	1	1
404	природы но	1	1
405	нуждаются в	2	1
406	должен был	1	1
407	с человеком	1	1
408	сравнительно с	1	1
409	чем в	3	1
410	наличны в	1	1
411	в своих	4	1
412	не вытекает	1	1
413	наконец мы	1	1
414	не было	5	1
415	не опирается	1	1
416	как например	2	1
417	с его	11	1
418	волевого акта	3	1
419	другом как	2	1
420	одно направление	1	1
421	один из	3	1
422	всегда и	1	1
423	в духе	4	1
424	может находиться	1	1
425	силу и	1	1
426	и всюду	1	1
427	на это	1	1
428	если бы	12	1
429	не знает	6	1
430	или в	7	1
431	а о	1	1
432	центр тяжести	1	1
433	ни одного	3	1
434	ничего общего	1	1
435	и навсегда	1	1
436	к одному	7	1
437	их по	1	1
438	и еще	2	1
439	их и	2	1
440	как их	4	1
441	и цельное	1	1
442	как его	4	1
443	вообще и	1	1
444	находиться в	3	1
445	но эта	5	1
446	теперь мы	1	1
447	дело в	2	1
448	крайней мере	2	1
449	известном смысле	1	1
450	во многом	1	1
451	сами по	4	1
452	в данной	1	1
453	же как	2	1
454	только такой	1	1
455	по существу	6	1
456	сказать что	4	1
457	и эта	2	1
458	форму и	1	1
459	быть только	1	1
460	смысле т.е	1	1
461	на конкретном	1	1
462	жизни как	1	1
463	но для	3	1
464	это сравнение	1	1
465	и благодаря	2	1
466	xviii века	1	1
467	именно в	5	1
468	и начала	1	1
469	и действительно	1	1
470	план целого	1	1
471	и до	6	1
472	одном направлении	1	1
473	мы это	1	1
474	на какое-нибудь	1	1
475	благодаря этому	3	1
476	и чисто	1	1
477	и ставит	1	1
478	не нарушила	1	1
479	отношению к	12	1
480	в основу	1	1
481	одной из	1	1
482	конечно во	1	1
483	случае не	1	1
484	в своем	12	1
485	общего не	1	1
486	собой поэтому	1	1
487	в корне	1	1
488	мы конечно	1	1
489	она и	1	1
490	то чем	3	1
491	мы ее	2	1
492	но ведь	3	1
493	этом смысле	12	1
494	в связи	1	1
495	в какой	2	1
496	между ними	6	1
497	вопрос ставит	1	1
498	появляются новые	1	1
499	мы будем	2	1
500	значение этих	1	1
501	конечно совершенно	1	1
502	эти три	1	1
503	во всей	3	1
504	может стать	5	1
505	же в	2	1
506	том что	8	1
507	что такой	1	1
508	характерное для	1	1
509	рядом с	19	1
510	в мире	7	1
511	же остается	1	1
512	всеми его	1	1
513	собственную точку	1	1
514	но не	12	1
515	дело идет	6	1
516	так в	1	1
517	бы эти	1	1
518	нельзя сказать	2	1
519	нет нужды	1	1
520	но если	1	1
