N	2gram	Nazirov_Tv	KulturaY
1	и т	14	143
2	т е	1	102
3	т п	4	93
4	и в	40	84
5	в том	13	74
6	потому что	10	68
7	не только	16	60
8	в этом	11	57
9	было бы	2	53
10	и не	12	52
11	может быть	11	47
12	что в	17	44
13	том что	14	44
14	т д	10	42
15	в самом	6	41
16	у нас	2	38
17	хотя бы	5	37
18	самом деле	4	37
19	так как	6	36
20	в области	1	34
21	таким образом	14	33
22	а не	9	33
23	если бы	4	32
24	можно было	1	32
25	не в	3	30
26	в его	19	30
27	прежде всего	10	30
28	все же	9	29
29	не менее	8	28
30	того что	3	28
31	все эти	3	28
32	уже не	6	26
33	то что	9	25
34	вовсе не	5	25
35	не может	9	25
36	с другой	4	24
37	еще не	5	24
38	то же	19	23
39	с помощью	1	23
40	только в	7	23
41	так и	5	23
42	иными словами	2	22
43	тем не	2	21
44	по себе	2	20
45	во всяком	2	20
46	и что	2	20
47	но и	10	20
48	тем что	2	19
49	о том	9	19
50	что он	11	19
51	что же	1	19
52	всяком случае	2	19
53	но в	11	19
54	и с	9	18
55	с тем	1	18
56	к тому	2	18
57	в сущности	1	18
58	в качестве	2	18
59	связи с	2	18
60	между тем	2	18
61	вместе с	4	18
62	как бы	26	18
63	все это	14	18
64	можно говорить	1	17
65	другой стороны	2	17
66	как это	2	17
67	что это	1	17
68	слова и	1	17
69	как раз	2	17
70	это не	9	17
71	в виду	3	16
72	что и	3	16
73	что не	5	16
74	тот же	3	16
75	ничего не	3	16
76	в русском	1	16
77	но не	7	16
78	при этом	14	15
79	именно в	6	15
80	в данном	2	15
81	как на	1	15
82	том чтобы	1	15
83	не было	3	15
84	и тем	2	15
85	один из	5	15
86	по отношению	3	15
87	ни к	2	15
88	целый ряд	1	15
89	только потому	1	15
90	а в	10	15
91	лишь в	1	15
92	должно быть	1	15
93	в них	1	14
94	и на	12	14
95	сказать что	3	14
96	хотя и	5	14
97	что такое	1	14
98	в связи	2	14
99	я не	5	14
100	сих пор	1	14
101	в ней	2	14
102	до сих	1	14
103	если мы	1	14
104	как мы	1	14
105	мы имеем	1	14
106	также и	1	14
107	отношению к	3	14
108	что она	5	13
109	к языку	1	13
110	крайней мере	4	13
111	между прочим	1	13
112	в этой	7	13
113	не случайно	6	13
114	не могут	2	13
115	в которых	3	13
116	по крайней	4	13
117	той же	4	13
118	это и	4	13
119	в пределах	1	13
120	и его	14	13
121	с этой	4	12
122	говорить о	1	12
123	в результате	1	12
124	того же	2	12
125	ясно что	1	12
126	а только	1	12
127	этот вопрос	4	12
128	могут быть	4	12
129	как в	10	12
130	этого слова	1	12
131	однако не	1	12
132	в рамках	1	12
133	для этого	1	12
134	должен быть	1	11
135	в своем	4	11
136	на себе	1	11
137	он не	10	11
138	в нем	4	11
