N	2gram	Trubetskoy	Retstnzi
1	не может	4	4
2	и в	26	3
3	если в	3	2
4	один из	2	2
5	может и	1	1
6	несмотря на	6	1
7	может быть	10	1
8	не только	10	1
9	точки зрения	13	1
10	с точки	6	1
11	может не	1	1
12	для него	3	1
13	в ней	1	1
14	связи с	9	1
15	с другими	4	1
16	его от	2	1
17	если бы	3	1
18	с самых	2	1
19	и взаимное	1	1
20	в его	5	1
21	ничего кроме	1	1
22	не менее	3	1
23	и заставляет	2	1
24	но и	9	1
25	мы видим	1	1
26	к тому	6	1
27	можно назвать	2	1
28	языка как	1	1
29	от связи	3	1
30	в то	4	1
31	из этих	10	1
32	и больше	2	1
33	на русской	2	1
34	он в	2	1
35	ни один	2	1
36	же время	2	1
37	то же	4	1
38	по своим	2	1
39	а не	5	1
40	бы в	1	1
41	и должно	1	1
42	и не	8	1
43	так называемая	1	1
44	на нее	3	1
45	и все	2	1
46	и на	2	1
47	русской почве	2	1
