N	2gram	Tiupa_Teor	EvropaiC
1	таким образом	3	34
2	в том	20	31
3	и в	24	24
4	том что	11	20
5	все эти	3	19
6	то что	6	18
7	не может	8	18
8	может быть	22	17
9	все же	1	15
10	точки зрения	11	14
11	в этом	12	13
12	все это	2	13
13	самом деле	2	12
14	с этим	1	12
15	между тем	5	12
16	в своем	7	12
17	по отношению	10	11
18	но и	14	11
19	культуры и	1	11
20	отношению к	10	11
21	все что	1	10
22	не только	24	10
23	так и	14	10
24	как и	6	10
25	культуры в	3	10
26	во всех	3	10
27	как бы	8	10
28	что в	10	9
29	при этом	20	9
30	в результате	1	9
31	не в	9	9
32	и не	17	9
33	потому что	3	9
34	и что	4	9
35	на то	1	9
36	того же	4	9
37	в самом	7	8
38	с точки	3	8
39	чем у	1	8
40	более или	6	8
41	или менее	6	8
42	к тому	4	8
43	для того	5	8
44	если бы	3	8
45	того чтобы	5	8
46	а между	1	8
47	так же	2	8
48	а и	5	8
49	из этих	3	8
50	так как	1	7
51	того что	5	7
52	приобщение к	1	7
53	что и	2	7
54	что он	4	7
55	не менее	6	7
56	о котором	1	7
57	из этого	1	7
58	о том	2	7
59	вместе с	2	7
60	по своей	8	7
61	в этой	3	7
62	в сознании	1	7
63	в силу	4	7
64	по существу	1	7
65	для этого	1	7
66	и на	2	6
67	несмотря на	2	6
68	с ним	1	6
69	только в	9	6
70	тому же	1	6
71	от друга	1	6
72	в мире	26	6
73	отличается от	2	6
74	друг от	1	6
75	еще не	6	6
76	все они	1	6
77	так что	1	6
78	тогда как	18	6
79	что касается	1	6
80	в каждый	1	6
81	начало и	1	6
82	с другой	9	6
83	в то	9	6
84	и для	3	6
85	и к	3	5
86	как к	5	5
87	должно быть	1	5
88	тех кто	1	5
89	в состоянии	1	5
90	в его	12	5
91	что это	1	5
92	другой стороны	6	5
93	у него	2	5
94	его в	4	5
95	так или	5	5
96	в которой	3	5
97	или иначе	6	5
98	именно в	3	5
99	эволюции человечества	1	5
100	и без	1	5
101	по своему	4	5
102	случае если	1	5
103	быть и	2	5
104	не будет	3	5
105	между двумя	3	5
106	и их	1	5
107	далеко не	4	5
108	лишь в	10	5
109	так называемого	1	5
110	в себе	14	5
111	и от	1	5
112	что все	1	5
113	столь же	3	5
114	как будто	2	5
115	в целом	4	5
116	из них	1	5
117	но в	12	5
118	иначе говоря	5	4
119	не так	1	4
120	и то	3	4
121	на вопрос	2	4
122	из того	1	4
123	этом случае	1	4
124	хотя и	4	4
125	тем не	3	4
126	совершенно не	1	4
127	из которых	2	4
128	в европейской	2	4
129	все прочие	3	4
130	в их	4	4
131	связи с	3	4
132	что его	1	4
133	одним из	3	4
134	в конце	2	4
135	в таком	3	4
136	с тем	1	4
137	не есть	1	4
138	не могут	2	4
139	между собой	3	4
140	том случае	1	4
141	а с	3	4
142	данный момент	2	4
143	то ни	2	4
144	в такой	1	4
145	для меня	2	4
146	целый ряд	1	4
147	и т.д	4	4
148	отношение к	7	4
149	что для	1	4
150	том же	1	4
151	и конец	1	4
152	в области	7	4
153	культуры как	1	4
154	он не	5	4
155	если мы	2	4
156	есть культура	1	4
157	то же	12	4
158	никогда не	4	4
159	ближе к	1	3
160	бы то	2	3
161	на почве	5	3
162	от него	1	3
163	данном случае	5	3
164	и по	3	3
165	с одной	3	3
166	даже в	3	3
167	ни было	2	3
168	в нашем	4	3
169	как у	1	3
170	для нас	1	3
171	прежде всего	3	3
172	у нас	2	3
173	одно из	1	3
174	целом ряде	1	3
175	в этих	4	3
176	что по	1	3
177	в нем	7	3
178	заключается в	2	3
179	в жизни	3	3
180	можно назвать	1	3
181	в связи	3	3
182	не подлежит	1	3
183	же как	1	3
184	но по	1	3
185	на земле	1	3
186	настоящее время	1	3
187	в истории	1	3
188	может не	1	3
189	вследствие этого	2	3
190	и это	2	3
191	в сторону	3	3
192	тем более	2	3
193	жизнь и	1	3
194	только одно	1	3
195	и того	4	3
196	и потому	3	3
197	в данном	9	3
198	отличие от	7	3
199	вопрос о	1	3
200	и может	1	3
201	с этой	3	3
202	может служить	2	3
203	это не	4	3
204	тем самым	6	3
205	и до	1	3
206	не вполне	2	3
207	в совершенно	1	3
208	каждый из	1	3
209	а в	15	3
210	было бы	1	3
211	как мы	1	3
212	даже если	1	3
213	но не	13	3
214	таким же	1	3
215	бы в	1	3
216	в настоящее	1	3
217	одного и	4	3
218	тот же	1	3
219	с которыми	1	2
220	представить себе	1	2
221	к такому	1	2
222	что они	2	2
223	только не	3	2
224	во втором	3	2
225	образом и	2	2
226	но на	2	2
227	в на	1	2
228	многих других	1	2
229	то есть	22	2
230	то в	2	2
231	для себя	3	2
232	начале этой	1	2
233	для него	5	2
234	же образом	1	2
235	тем как	1	2
236	те же	1	2
237	а затем	2	2
238	то и	1	2
239	но как	2	2
240	не от	2	2
241	в виду	5	2
242	сводится к	12	2
243	том и	1	2
244	которые будут	1	2
245	однако при	3	2
246	но с	1	2
247	в своих	1	2
248	не было	1	2
249	все то	1	2
250	не знает	4	2
251	и некоторые	2	2
252	и сам	4	2
253	из нее	1	2
254	и где	1	2
255	на нее	1	2
256	то с	1	2
257	вовсе не	3	2
258	этом что	2	2
259	жизни и	1	2
260	и будет	1	2
261	то время	1	2
262	чтобы быть	1	2
263	если он	1	2
264	между этими	1	2
265	тому что	2	2
266	имеет место	3	2
267	я не	2	2
268	между ними	6	2
269	с ними	2	2
270	их в	3	2
271	есть в	3	2
272	между прочим	1	2
273	в одно	2	2
274	при таком	1	2
275	никто не	3	2
276	однако это	1	2
277	они не	1	2
278	себя и	2	2
279	поскольку такое	1	2
280	не имеет	1	2
281	со своей	4	2
282	приобщения к	1	2
283	ему и	1	2
284	зависимости от	1	2
285	в себя	5	2
286	ни для	2	2
287	на каждом	1	2
288	нет в	1	2
289	должен быть	2	2
290	на себе	1	2
291	при виде	1	2
292	по его	1	2
293	в них	2	2
294	вступают в	1	2
295	этих двух	2	2
296	и состоит	2	2
297	со временем	2	2
298	а для	2	2
299	в основе	6	2
300	и более	1	2
301	в котором	1	2
302	и только	1	2
303	на этом	2	2
304	по тем	1	2
305	эти последние	1	2
306	совершенно иной	2	2
307	что несмотря	1	2
308	она не	1	2
309	нам всегда	1	2
310	к нему	2	2
311	в свою	4	2
312	именно потому	1	2
313	одной стороны	3	2
314	можно лишь	1	2
315	также и	1	2
316	ту же	1	2
317	одну из	2	2
318	только мы	1	2
319	в другом	4	2
320	и поэтому	1	2
321	культуры ибо	1	2
322	не более	1	2
323	нашем случае	2	2
324	говорить о	4	2
325	в противоречие	1	2
326	тех же	1	2
327	заключает в	1	2
328	не следует	4	2
329	только то	1	2
330	и те	1	2
331	же время	8	2
332	от своей	1	2
333	это может	2	2
334	свою очередь	3	2
335	я в	18	2
336	к ним	1	2
337	между людьми	1	2
338	общего с	1	2
339	той же	1	2
340	при условии	2	2
341	на первый	1	2
342	только при	1	2
343	по этому	1	2
344	во всей	3	2
345	все без	1	2
346	что она	2	2
347	в частности	23	2
348	одна из	1	2
349	этого слова	4	2
350	в сущности	1	2
351	но если	1	2
352	и его	11	2
353	от себя	3	2
354	отнюдь не	3	2
355	в отдельных	1	2
356	в точке	3	2
357	независимо от	1	2
358	с ее	4	2
359	тем же	2	2
360	в самой	2	2
361	они могут	1	2
362	пришлось бы	1	2
363	и особенно	2	2
364	и ее	4	2
365	друг друга	1	2
366	он должен	3	2
367	открытие и	1	1
368	на время	2	1
369	культура есть	1	1
370	к действительности	3	1
371	и другие	2	1
372	на деле	2	1
373	между всеми	1	1
374	не принадлежат	2	1
375	и идет	1	1
