N	3gram	Tiupa_Hudo	Psycholo
1	в том что	15	78
2	для того чтобы	2	70
3	на то что	2	55
4	в самом деле	5	51
5	и т п	10	37
6	заключается в том	1	36
7	о том что	14	34
8	то же самое	3	31
9	с точки зрения	5	29
10	с одной стороны	4	28
11	не может быть	5	23
12	до сих пор	3	23
13	и т д	5	22
14	и в самом	4	22
15	к тому что	8	20
16	с другой стороны	1	20
17	на самом деле	1	17
18	не только не	3	16
19	с самого начала	1	16
20	так же как	2	14
21	во всяком случае	1	14
22	в этом отношении	4	14
23	заключает в себе	1	13
24	можно было бы	5	13
25	и в этом	3	13
26	этой точки зрения	1	12
27	в конце концов	1	12
28	в конечном счете	4	11
29	подобно тому как	4	11
30	к тому чтобы	1	10
31	с этой точки	1	10
32	только в том	4	10
33	и то что	1	10
34	не в том	2	10
35	том что она	1	10
36	сами по себе	1	10
37	том что он	1	10
38	в отличие от	1	9
39	и что в	1	9
40	в том случае	2	9
41	потому что он	1	9
42	точно так же	1	9
43	в данном случае	3	9
44	что он не	3	9
45	в том и	1	9
46	не в состоянии	1	9
47	друг с другом	1	8
48	речь идет о	2	8
49	с тем что	1	8
50	мы знаем что	1	8
51	то что она	1	8
52	та же самая	1	7
53	состоит в том	3	7
54	том случае если	2	7
55	в этом смысле	1	7
56	а с другой	1	7
57	на то чтобы	2	7
58	в свою очередь	1	7
59	можно сказать что	1	7
60	именно то что	1	7
61	как и в	5	7
62	и та же	1	6
63	сводится к тому	1	6
64	тем не менее	6	6
65	более или менее	1	6
66	что у него	2	6
67	именно потому что	1	6
68	того или иного	4	6
69	в противоречие с	2	6
70	то что мы	1	6
71	не только в	4	6
72	о том как	4	5
73	в первый раз	1	5
74	в таком случае	1	5
75	в жизни и	1	5
76	в том смысле	1	5
77	как бы в	2	5
78	как раз в	2	5
79	же как и	2	5
80	вместо того чтобы	2	5
81	как будто бы	3	4
82	а между тем	3	4
83	в настоящее время	1	4
84	каждый из них	1	4
85	а в том	1	4
86	лежит в основе	1	4
87	за то что	1	4
88	того и другого	1	4
89	мы уже говорили	1	4
90	это было бы	1	4
91	то или иное	1	4
92	формы и содержания	1	4
93	в приложении к	1	4
94	том что в	4	4
95	все более и	1	4
96	же самое что	2	4
97	более и более	1	4
98	только потому что	2	4
99	несет в себе	4	4
100	одна и та	1	4
101	по себе а	1	3
102	в том как	1	3
103	в себя и	1	3
104	и не будет	1	3
105	друг от друга	2	3
106	не потому что	1	3
107	нечто такое что	1	3
108	на наших глазах	1	3
109	все дело в	1	3
110	характеры действующих лиц	2	3
111	и там где	1	3
112	по отношению к	15	3
113	дело в том	1	3
114	по его словам	1	3
115	на одном полюсе	1	3
116	тому что он	4	3
117	между тем в	2	3
118	несмотря на то	1	3
119	но это только	1	3
120	интеллигенции х годов	1	3
121	и в конце	1	3
122	что все эти	1	3
123	легко заметить что	1	3
124	в высшей степени	1	3
125	бы то ни	1	3
126	то же время	11	3
127	в это время	2	3
128	едва ли не	1	3
129	ничего общего с	1	3
130	это действительно так	1	3
131	в то же	11	3
132	то и другое	2	3
133	я не могу	1	3
134	в этом случае	1	3
135	и то и	1	3
136	приводит к тому	2	3
137	одной стороны и	1	2
138	мы уже знаем	2	2
139	говорится о том	1	2
140	такой же мере	2	2
141	не в этом	1	2
142	только о том	1	2
143	а не как	1	2
144	с ним в	1	2
145	бы не было	1	2
146	у него в	1	2
147	она не может	1	2
148	так или иначе	3	2
149	так и в	1	2
150	но при этом	3	2
151	в котором она	1	2
152	именно в этой	1	2
153	том и состоит	1	2
154	что она не	2	2
155	между тем как	1	2
156	при этом он	1	2
157	уже знаем что	1	2
158	в первой главе	3	2
159	потому что не	1	2
160	все же не	2	2
161	но в этом	1	2
162	в одном из	1	2
163	мы имеем дело	1	2
164	в связи с	3	2
165	в ответ на	1	2
166	той или иной	1	2
167	т п все	1	2
168	прежде всего на	1	2
169	каждого из нас	3	2
170	не до конца	1	2
171	не означает что	1	2
172	при этом не	1	2
173	самом деле в	2	2
174	мы узнаем о	1	2
175	как и все	1	2
176	это еще не	1	2
177	здесь нет и	1	2
178	жизни и смерти	4	2
179	и это не	2	2
180	не согласиться с	2	2
181	и это так	1	2
182	и все же	1	2
183	как она есть	1	2
184	ничем не замечательная	1	2
185	случае если бы	1	2
186	потому что это	1	2
187	мы имели дело	1	2
188	перед нами в	1	2
189	всякий раз в	1	2
190	может быть только	1	2
191	что для него	1	2
192	в первом случае	2	2
193	в такой же	2	2
194	потому что оно	1	2
195	не может не	1	2
196	то что было	2	2
197	в узком смысле	1	2
198	с той же	1	2
199	что одна из	1	2
200	в литературном произведении	1	2
201	именно в этом	1	2
202	тот и другой	1	2
203	я не понимаю	2	2
204	только для того	1	2
205	превращает их в	1	2
206	то что я	2	2
207	что не только	1	2
208	того факта что	1	2
