N	3gram	Vygotskiy_	VrazhdaK
1	то же время	1	4
2	в то же	2	4
3	в том что	24	2
4	не может быть	6	2
5	как раз в	3	2
6	с точки зрения	31	2
7	и что в	1	2
8	все же в	1	1
9	но при этом	1	1
10	в котором он	1	1
11	в ответ на	1	1
12	что я хотел	1	1
13	его отношения к	1	1
14	в этот период	2	1
15	в свою очередь	3	1
16	в то время	8	1
17	в конце концов	1	1
18	одно и то	3	1
19	речь идет о	1	1
20	о том как	1	1
21	в той же	2	1
22	точно так же	3	1
23	так же как	13	1
24	на то что	5	1
25	по нашему мнению	1	1
26	в соответствии с	1	1
27	шаг за шагом	1	1
28	в этом смысле	2	1
29	заключается в том	9	1
30	и то что	5	1
31	не только не	11	1
32	о том что	4	1
33	но мы знаем	1	1
34	от того как	1	1
35	не переставал любить	1	1
36	до сих пор	6	1
37	в высшей степени	1	1
38	мы знаем о	1	1
39	его отношение к	1	1
40	ему нужно было	2	1
41	в том же	3	1
42	в каком направлении	1	1
43	во всяком случае	1	1
44	а следовательно и	1	1
45	тем не менее	4	1
46	в ней благодаря	1	1
47	едва ли не	3	1
48	на первый план	1	1
49	с другой стороны	3	1
50	в известном смысле	2	1
51	не с точки	1	1
52	в момент его	1	1
53	что у него	1	1
54	это и есть	1	1
55	тем более что	1	1
56	независимо от того	1	1
57	и то же	3	1
58	тем что он	1	1
59	в этом отношении	7	1
60	и не может	2	1
61	и в этом	2	1
