N	2gram	Bakhtin_fo	BTomashe
1	у нас	2	3
2	все это	10	2
3	литературных произведений	1	2
4	в ней	4	2
5	больше чем	1	2
6	и не	19	2
7	видеть в	1	2
8	для которой	2	1
9	вопрос о	2	1
10	говорить о	1	1
11	и о	1	1
12	забывать что	1	1
13	было и	4	1
14	со всем	1	1
15	и нет	2	1
16	не только	16	1
17	остановиться на	1	1
18	всего в	4	1
19	таким образом	14	1
20	не было	8	1
21	в эпоху	5	1
22	прежде всего	28	1
23	и в	84	1
24	на самом	1	1
25	так и	17	1
26	в своей	2	1
27	во всяком	5	1
28	и потому	4	1
29	и во	13	1
30	за пределы	1	1
31	с другой	4	1
32	об этом	3	1
33	совершенно не	3	1
34	не о	2	1
35	другой стороны	1	1
36	всяком случае	1	1
37	кроме того	7	1
38	было бы	2	1
39	не следует	1	1
40	и ее	4	1
41	исторической поэтике	1	1
42	одной из	3	1
43	в значительной	3	1
44	в пределах	8	1
45	в данном	4	1
46	более что	2	1
47	должна быть	1	1
48	необходимо отметить	3	1
49	в области	1	1
50	является только	1	1
51	далеко не	3	1
52	тем более	4	1
53	не вполне	1	1
54	и более	3	1
55	что все	4	1
56	по этим	2	1
57	значительной степени	1	1
58	и полно	1	1
59	исторических условиях	1	1
60	а не	7	1
61	отнюдь не	7	1
62	до конца	5	1
63	переходя к	1	1
64	и на	13	1
65	выходит за	1	1
66	между ними	5	1
67	свою книгу	1	1
68	еще не	8	1
69	нет но	3	1
70	к ней	2	1
71	все же	12	1
72	работа по	1	1
73	что в	9	1
74	меньше чем	1	1
