N	2gram	Bakhtin_Fr	ViktorSh
1	в книге	2	3
2	конце концов	1	2
3	книге в	1	2
4	в конце	12	2
5	и в	67	2
6	в том	16	2
7	том что	13	2
8	в другом	4	1
9	все время	3	1
10	но это	10	1
11	одно и	1	1
12	столь же	1	1
13	том же	3	1
14	по существу	4	1
15	ведь это	3	1
16	в самом	7	1
17	чем больше	1	1
18	и т.д	2	1
19	что слово	1	1
20	для них	2	1
21	хотел сказать	1	1
22	именно в	5	1
23	этому и	1	1
24	все то	6	1
25	имеется в	2	1
26	самом деле	6	1
27	более чем	1	1
28	другом месте	3	1
29	ясно что	1	1
30	речи и	1	1
31	в частности	4	1
32	и то	2	1
33	так в	3	1
34	время в	1	1
35	и его	19	1
36	под влиянием	1	1
37	значительной степени	1	1
38	хотя бы	2	1
39	и положения	1	1
40	по поводу	5	1
41	далеко не	6	1
42	тем более	3	1
43	в которых	3	1
44	к этому	4	1
45	о теории	1	1
46	только в	6	1
47	одном и	1	1
48	потому что	8	1
49	дело именно	1	1
50	в значительной	2	1
51	в их	4	1
52	образом связаны	1	1
53	и почти	2	1
54	и только	2	1
55	то же	18	1
56	не будем	3	1
57	и том	1	1
58	и не	23	1
59	дело в	5	1
60	да и	2	1
61	сводится в	1	1
62	в этом	27	1
63	так как	16	1
64	все это	15	1
65	совершенно ясно	1	1
66	в устах	1	1
