N	2gram	Vygotskiy_	Stilisti
1	и в	55	42
2	как бы	11	30
3	не только	25	28
4	прежде всего	5	22
5	и т.д	1	21
6	хотя бы	4	18
7	то же	17	16
8	но и	12	16
9	и не	24	14
10	может быть	35	13
11	не может	30	13
12	как и	25	12
13	что мы	9	11
14	точки зрения	32	11
15	в этом	21	10
16	в себе	6	10
17	и как	9	10
18	общественной жизни	1	10
19	мы должны	4	10
20	как мы	2	10
21	отнюдь не	11	10
22	мы не	15	9
23	при этом	28	9
24	все же	9	9
25	то что	47	9
26	для того	12	9
27	в то	8	9
28	таким образом	38	8
29	так как	28	8
30	с тем	11	8
31	и это	6	8
32	в ней	3	8
33	тем самым	2	8
34	что же	4	8
35	с его	3	8
36	ничего не	4	8
37	и на	6	7
38	так и	6	7
39	слов и	1	7
40	мы можем	6	7
41	только в	18	7
42	в которой	6	7
43	зависимости от	7	7
44	и его	14	7
45	потому что	27	7
46	того чтобы	13	7
47	и тем	5	7
48	же время	2	7
49	было бы	14	7
50	и той	5	7
51	той же	9	7
52	и от	4	7
53	в зависимости	6	7
54	а не	18	7
55	никогда не	13	7
56	во всех	4	6
57	в его	8	6
58	не в	19	6
59	в нем	5	6
60	в конце	6	6
61	в процессе	7	6
62	но ведь	1	6
63	и так	7	6
64	на его	3	6
65	бы в	3	6
66	точкой зрения	2	6
67	в свою	3	6
68	речи и	1	6
69	с помощью	1	6
70	одно и	1	6
71	или как	2	6
72	когда мы	4	6
73	в этой	5	6
74	точку зрения	3	6
75	слова в	5	6
76	мы будем	2	6
77	в области	12	6
78	в той	2	5
79	в самом	18	5
80	связанных с	1	5
81	то есть	44	5
82	уже в	3	5
83	и их	4	5
84	с точки	12	5
85	те же	9	5
86	не является	5	5
87	все время	6	5
88	самом деле	19	5
89	но все	1	5
90	и с	5	5
91	но в	5	5
92	тому что	7	5
93	мы никогда	5	5
94	вместе с	10	5
95	точек зрения	3	5
96	того или	2	5
97	а с	2	5
98	мы увидим	4	5
99	и следовательно	4	5
100	слова и	1	5
101	как это	8	5
102	и является	1	5
103	а в	10	5
104	же самое	8	5
105	в нашем	1	5
106	художественного творчества	6	5
107	в сознании	6	5
108	и то	4	5
109	же мы	2	5
110	или иного	1	5
111	независимо от	3	5
112	и наконец	2	5
113	мы видели	2	5
114	одной и	6	4
115	были бы	2	4
116	и к	5	4
117	мы видим	8	4
118	один из	6	4
119	всех своих	1	4
120	слов в	2	4
121	что это	12	4
122	на него	2	4
123	что такое	2	4
124	все это	11	4
125	в качестве	3	4
126	или иную	1	4
127	в одном	4	4
128	его в	3	4
129	если бы	10	4
130	и все	8	4
131	с самого	1	4
132	в слове	3	4
133	к своему	2	4
134	у нас	4	4
135	как только	3	4
136	на другого	1	4
137	уже не	3	4
138	к тому	8	4
139	о том	11	4
140	связаны с	1	4
141	и без	3	4
142	вопроса о	1	4
143	человека не	3	4
144	самого начала	1	4
145	в каждом	5	4
146	можно сказать	2	4
147	если мы	21	4
148	и пр	1	4
149	языка и	1	4
150	было в	1	4
151	не существует	4	4
152	зрения в	1	4
