N	2gram	Savitsky_E	UchenyiS
1	и в	37	14
2	не только	18	10
3	а не	2	10
4	и не	14	8
5	прежде всего	9	8
6	то что	6	7
7	в этом	12	7
8	не может	9	7
9	может быть	6	6
10	хотя бы	15	5
11	то же	15	5
12	и только	3	5
13	с другой	7	4
14	в этой	2	4
15	в россии	5	4
16	конечно не	1	4
17	но и	14	4
18	в их	11	4
19	к сожалению	1	3
20	бы то	4	3
21	было бы	8	3
22	не о	1	3
23	и то	2	3
24	по нашему	3	3
25	только к	2	3
26	или точнее	2	3
27	для этого	1	3
28	очевидно что	3	3
29	как и	7	3
30	то ни	4	3
31	для него	1	3
32	в своей	8	3
33	все же	1	3
34	ни было	4	3
35	в области	11	3
36	в частности	5	3
37	в то	16	3
38	не как	1	3
39	у нас	1	3
40	пришлось бы	1	3
41	другой стороны	2	3
42	но в	14	3
43	же время	14	3
44	нашему мнению	2	3
45	литературы и	1	2
46	таким образом	2	2
47	в самом	4	2
48	если не	1	2
49	в противном	1	2
50	могли бы	1	2
51	если бы	2	2
52	могут быть	2	2
53	является в	1	2
54	не в	5	2
55	бы и	3	2
56	для всех	1	2
57	и с	2	2
58	как таковой	1	2
59	но не	5	2
60	тем что	3	2
61	более чем	2	2
62	в себе	9	2
63	в его	2	2
64	должна быть	2	2
65	мы не	4	2
66	мы получаем	1	2
67	всех этих	1	2
68	между тем	8	2
69	не есть	2	2
70	при таком	1	2
71	этом отношении	3	2
72	противном случае	1	2
73	в некоторых	2	2
74	тех или	1	2
75	не могут	2	2
76	что мы	1	2
77	сводится к	1	2
78	в том	11	2
79	том что	6	2
80	или иных	1	2
81	нас в	1	2
82	но это	1	2
83	этом смысле	3	2
84	но даже	4	2
85	и для	3	2
86	что и	3	2
87	к области	1	2
88	в сторону	2	2
89	меньшей степени	2	2
90	смысле этого	1	2
91	с его	1	2
92	только в	9	2
93	по себе	4	2
94	что все	2	2
95	нам представляется	1	2
96	было у	1	1
97	в той	5	1
98	признать что	1	1
99	так то	1	1
100	что в	21	1
101	с которыми	1	1
102	иначе говоря	2	1
103	не было	1	1
104	бы только	1	1
105	и даже	6	1
106	более или	1	1
107	и потому	5	1
108	конечно это	1	1
109	как самостоятельной	1	1
110	отказаться от	1	1
111	в не	2	1
112	в свое	1	1
113	сводить к	1	1
114	можно сказать	4	1
115	какой именно	1	1
116	или меньшей	1	1
117	мы можем	3	1
118	имеются не	1	1
119	ли для	1	1
120	что же	2	1
121	или иначе	1	1
122	в данном	3	1
123	существует в	1	1
124	больше чем	1	1
125	а для	1	1
126	как на	3	1
127	сводится именно	1	1
128	религии и	1	1
129	он в	1	1
130	и все	2	1
131	в точном	1	1
132	принципа в	1	1
133	же как	5	1
134	но нам	1	1
135	сказать что	4	1
136	в сфере	3	1
137	как нам	5	1
138	и эта	2	1
139	в исторической	1	1
140	в процессе	4	1
141	которой принадлежит	1	1
142	данном случае	2	1
143	него не	1	1
144	то есть	6	1
145	и всей	1	1
146	этот процесс	2	1
147	бы значение	1	1
148	не делает	1	1
149	сдвиг в	1	1
150	тех и	1	1
151	переходит в	1	1
152	в таком	3	1
153	такой момент	1	1
154	тех кто	1	1
155	то и	1	1
156	которое мы	1	1
157	и разнообразие	1	1
158	она не	2	1
159	степени и	1	1
160	быть в	1	1
161	чем то	1	1
162	в течение	5	1
163	но именно	2	1
164	она в	3	1
165	относятся к	2	1
166	в своем	14	1
167	говорить не	1	1
168	тогда когда	2	1
169	с тем	3	1
170	в значительной	2	1
171	входит в	1	1
172	для себя	1	1
173	стороны в	2	1
174	тем в	3	1
175	его на	2	1
176	в последние	6	1
