N	2gram	Losev_Prob	UchenyiS
1	и в	64	14
2	не только	37	10
3	а не	21	10
4	и не	63	8
5	прежде всего	17	8
6	то что	72	7
7	вот почему	1	7
8	в этом	30	7
9	не может	18	7
10	может быть	29	6
11	в искусстве	3	6
12	перестает быть	3	5
13	хотя бы	15	5
14	то же	10	5
15	в художественном	1	5
16	и только	7	5
17	все это	11	5
18	художественное произведение	1	5
19	с другой	8	4
20	в этой	14	4
21	в россии	1	4
22	конечно не	3	4
23	что такое	23	4
24	но и	23	4
25	в их	7	4
26	к сожалению	6	3
27	бы то	2	3
28	было бы	16	3
29	не о	7	3
30	и то	15	3
31	по нашему	1	3
32	только к	1	3
33	или точнее	4	3
34	как такового	4	3
35	этой области	5	3
36	для этого	5	3
37	это не	7	3
38	как и	7	3
39	то ни	3	3
40	для него	2	3
41	в своей	8	3
42	все же	7	3
43	ни было	1	3
44	в области	8	3
45	в частности	5	3
46	в то	7	3
47	не как	2	3
48	у нас	31	3
49	другой стороны	7	3
50	не следует	1	3
51	но в	19	3
52	нашему мнению	1	3
53	этого термина	8	2
54	литературы и	5	2
55	все они	2	2
56	таким образом	9	2
57	в самом	10	2
58	если не	6	2
59	же не	1	2
60	не приходится	2	2
61	могли бы	2	2
62	его и	1	2
63	если бы	8	2
64	самом деле	10	2
65	могут быть	2	2
66	является в	3	2
67	не в	6	2
68	ни от	2	2
69	это было	3	2
70	бы и	5	2
71	для всех	3	2
72	и с	12	2
73	до сих	6	2
74	их и	1	2
75	же самое	9	2
76	думается что	2	2
77	одним из	2	2
78	еще ничего	1	2
79	крайней мере	8	2
80	как таковой	4	2
81	но не	13	2
82	по существу	2	2
83	мы и	8	2
84	тем что	10	2
85	как принцип	1	2
86	в себе	16	2
87	в его	12	2
88	в конце	13	2
89	даже и	18	2
90	должна быть	2	2
91	мы не	6	2
92	мы получаем	3	2
93	сколько угодно	4	2
94	именно как	7	2
95	ничего не	20	2
96	всех этих	11	2
97	между тем	3	2
98	что она	8	2
99	не есть	49	2
100	художественного произведения	1	2
101	что он	11	2
102	конце концов	11	2
103	на эту	2	2
104	при таком	2	2
105	этом отношении	2	2
106	о чем	11	2
107	художественном произведении	1	2
108	как раз	20	2
109	а его	2	2
110	в некоторых	1	2
111	тех или	5	2
112	не могут	6	2
113	что мы	23	2
114	сводится к	3	2
115	в буквальном	3	2
116	в том	19	2
117	представляется нам	2	2
118	том что	26	2
119	или иных	2	2
120	с проблемой	1	2
121	нас в	4	2
122	но это	11	2
123	этом смысле	8	2
124	но даже	3	2
125	и для	10	2
126	в системе	3	2
127	и является	9	2
128	что и	2	2
129	не случайно	1	2
130	а между	1	2
131	конечно нет	1	2
132	с его	3	2
133	превращается в	1	2
134	на первый	5	2
135	сих пор	6	2
136	по крайней	8	2
137	только в	19	2
138	по себе	20	2
139	что все	9	2
140	не все	4	2
141	вопроса о	3	2
142	но конечно	1	2
143	нам представляется	1	2
144	присущи и	1	1
145	еще один	1	1
146	этот путь	1	1
147	на большую	1	1
148	без труда	1	1
149	первый взгляд	2	1
150	в той	2	1
151	было и	2	1
152	и эстетически	1	1
153	признать что	1	1
154	что было	2	1
155	и эстетики	3	1
156	что в	21	1
157	к лицу	1	1
158	в точных	2	1
159	может обойтись	1	1
160	с которыми	4	1
161	построения и	1	1
162	и понятий	1	1
163	то сколько	1	1
164	не было	7	1
165	остается в	1	1
166	вне его	1	1
167	так или	7	1
168	бы только	1	1
169	методе и	1	1
170	и даже	19	1
171	связанных с	1	1
172	первый план	3	1
173	этого и	1	1
174	слова правда	1	1
175	она все	1	1
176	более или	7	1
177	для начала	1	1
178	первую очередь	1	1
179	и потому	3	1
180	и этого	2	1
181	аристотеля при	1	1
182	и творчество	1	1
183	а смыслом	1	1
184	столько же	2	1
185	буквальном смысле	3	1
186	но он	3	1
187	отказаться от	2	1
188	этом случае	6	1
189	образом на	1	1
190	в которой	2	1
191	сколько и	2	1
192	все и	1	1
193	имеем в	1	1
194	можно сказать	9	1
195	трудно подыскать	1	1
196	но идея	1	1
197	мы можем	8	1
198	имеются не	1	1
199	что же	18	1
200	или иначе	7	1
201	в данном	16	1
202	равносильно тому	1	1
203	что под	3	1
204	что ему	1	1
205	он уже	1	1
206	как таковая	1	1
207	при построении	2	1
208	больше чем	2	1
209	а для	1	1
210	нет и	5	1
211	наука о	1	1
212	как на	3	1
213	вообще в	1	1
214	и вы	2	1
215	это содержание	2	1
216	представляется что	1	1
217	с момента	1	1
218	только одним	2	1
219	со своими	1	1
220	он в	2	1
221	и все	9	1
222	понятие не	1	1
223	что этот	2	1
224	определений и	1	1
225	в точном	1	1
226	содержание и	1	1
227	из самых	3	1
228	состоит из	1	1
229	только более	1	1
230	же как	2	1
231	сказать что	33	1
232	в сфере	1	1
233	как нам	2	1
234	и эта	1	1
235	достаточно ясно	1	1
236	в процессе	1	1
237	она должна	3	1
238	данном случае	10	1
239	является наиболее	1	1
240	он будет	2	1
241	его как	2	1
242	но для	3	1
243	количество и	1	1
244	то есть	61	1
245	свести только	2	1
246	об ее	1	1
247	свое место	2	1
248	взятого в	1	1
249	и др	2	1
250	ее как	1	1
251	и действительно	1	1
252	очень часто	1	1
253	этого общего	1	1
254	не имеется	1	1
255	об анне	1	1
256	того как	3	1
257	переходит в	2	1
258	точном смысле	2	1
259	общего и	2	1
260	в таком	18	1
261	исходить из	1	1
262	то и	7	1
263	принципов и	1	1
264	которое мы	2	1
265	и свое	1	1
266	она не	5	1
267	быть в	1	1
268	смысле и	2	1
269	в течение	1	1
270	но именно	5	1
271	до конца	1	1
272	является только	3	1
273	впрочем не	1	1
274	относятся к	3	1
275	в своем	7	1
276	насколько нам	2	1
277	говорить не	1	1
278	тогда когда	4	1
279	с тем	6	1
280	в значительной	2	1
281	входит в	4	1
282	для себя	9	1
283	только как	2	1
284	есть конечно	1	1
285	его на	1	1
286	в последние	3	1
287	только при	1	1
288	современные формалисты	1	1
289	еще одно	1	1
290	одной стороны	4	1
291	именно к	1	1
292	нам думается	1	1
293	относится к	6	1
294	он становится	1	1
295	время не	2	1
296	или по	5	1
297	мы имеем	3	1
298	для читателя	1	1
299	начала и	1	1
300	анализа в	1	1
301	в отдельности	4	1
302	тому чтобы	2	1
303	искусства и	3	1
304	гораздо больше	2	1
305	что по	1	1
306	их в	6	1
307	же в	5	1
308	не для	3	1
309	он может	1	1
310	с самим	3	1
311	в ней	1	1
312	но по	2	1
313	или даже	3	1
314	что такой	1	1
315	где же	2	1
316	вообще во	3	1
317	но что	3	1
318	теории и	4	1
319	в порядке	1	1
320	в данное	2	1
321	и теоретической	1	1
322	самим же	1	1
323	и необходимо	1	1
324	всего только	2	1
325	даже не	3	1
