N	4gram	Tiupa_Hudo	Vladivir
1	в то же время	7	9
2	и в то же	2	5
3	не что иное как	1	4
4	еще и потому что	1	4
5	не содержит в себе	1	4
6	а с другой стороны	1	3
7	в том что он	2	3
8	заключается в том что	1	3
9	с одной стороны и	1	2
10	одно и то же	3	2
11	в связи с этим	1	2
12	бы то ни было	2	2
13	в том случае если	1	2
14	себе отчет в том	1	2
15	но в то же	1	2
16	есть не что иное	1	2
17	с этой точки зрения	2	1
18	и не могло быть	2	1
19	состоит в том что	4	1
20	в том что она	1	1
21	ни к чему не	1	1
22	чего бы то ни	1	1
23	том что он не	1	1
24	иметь в виду что	1	1
25	что несмотря на свою	1	1
26	тем не менее не	1	1
27	и те и другие	1	1
28	включает в себя и	1	1
29	мы имеем дело с	1	1
30	а также еще и	1	1
31	с другой стороны не	1	1
32	а иной раз и	1	1
33	какой бы то ни	1	1
34	и тем и другим	1	1
