N	3gram	Bakhtin_Fr	VelikijI
1	то что мы	1	3
2	в том что	6	2
3	в вопросе о	1	2
4	а между тем	1	2
5	в нем нет	1	2
6	но и в	5	2
7	том что он	1	2
8	так и в	3	1
9	находится в состоянии	1	1
10	для него не	1	1
11	и в духе	1	1
12	себя и своих	1	1
13	в конце концов	1	1
14	но прежде всего	3	1
15	человека в его	1	1
16	мы видим что	1	1
17	его связь с	4	1
18	в духе его	1	1
19	это одна из	1	1
20	в ней и	1	1
21	по сравнению с	2	1
22	самой жизни в	2	1
23	в средство для	1	1
24	в xx веке	1	1
25	как и в	1	1
26	и теперь в	1	1
27	не могут быть	2	1
28	во всех формах	1	1
29	имеет своим предметом	1	1
30	как бы в	1	1
31	есть еще и	1	1
32	но все же	3	1
33	с другой стороны	1	1
34	в известном смысле	1	1
35	и все это	1	1
36	жизни в этом	1	1
37	в них и	1	1
38	но от этого	1	1
